PE_L1_1 PE_L1_2 PE_L1_3 PE_L1_4 PE_L1_5 PE_L1_6 PE_L1_7 PE_L1_8 PE_L1_9 PE_L2_1 PE_L2_2 PE_L2_3 PE_L2_4 PE_L2_5 PE_L2_6 PE_L2_7 PE_L2_8 PE_L2_9 
34 31 32 50 23 0 64 0 0 0 0 0 0 0 0 0 0 0 
34 31 32 50 23 0 64 0 0 0 0 0 0 0 0 0 0 0 
34 31 32 50 23 0 64 0 0 0 0 0 0 0 0 0 0 0 
34 31 32 50 23 0 64 0 0 0 0 0 0 0 0 0 0 0 
34 31 32 50 23 0 64 0 0 0 0 0 0 0 0 0 0 0 
34 31 32 50 23 0 64 0 0 0 0 0 0 0 0 0 0 0 
34 31 32 50 23 0 64 0 0 0 0 0 0 0 0 0 0 0 
34 31 32 50 23 0 64 0 0 0 0 0 0 0 0 0 0 0 
34 31 32 50 23 0 64 0 0 0 0 0 0 0 0 0 0 0 
34 31 32 50 23 0 64 0 0 0 0 0 0 0 0 0 0 0 
34 0 32 50 0 0 0 0 81 31 0 0 0 0 0 0 0 0 
34 0 32 50 0 0 0 0 81 31 0 0 0 0 0 0 0 0 
34 0 32 50 0 0 0 0 81 31 0 0 0 0 0 0 0 0 
34 0 32 50 0 0 0 0 81 31 0 0 0 0 0 0 0 0 
34 0 32 50 0 0 0 0 81 31 0 0 0 0 0 0 0 0 
34 0 32 50 0 0 0 0 81 31 0 0 0 0 0 0 0 0 
34 0 32 50 0 0 0 0 81 31 0 0 0 0 0 0 0 0 
34 0 32 50 0 0 0 0 81 31 0 0 0 0 0 0 0 0 
34 0 32 50 0 0 0 0 81 31 0 0 0 0 0 0 0 0 
34 0 32 50 0 0 0 0 81 31 0 0 0 0 0 0 0 0 
34 0 32 50 0 0 0 0 81 31 0 0 0 0 0 0 0 0 
34 0 32 50 0 0 0 0 81 31 0 0 0 0 0 0 0 0 
34 0 32 50 0 0 0 0 81 31 0 0 0 0 0 0 0 0 
34 0 32 50 0 0 0 0 81 31 0 0 0 0 0 0 0 0 
34 0 32 50 0 0 0 0 81 31 0 0 0 0 0 0 0 0 
34 0 32 50 0 0 0 0 81 31 0 0 0 0 0 0 0 0 
34 0 32 50 0 0 0 0 81 31 0 0 0 0 0 0 0 0 
34 0 32 50 0 0 0 0 81 31 0 0 0 0 0 0 0 0 
34 0 32 50 0 0 0 0 81 31 0 0 0 0 0 0 0 0 
34 0 32 50 0 0 0 0 81 31 0 0 0 0 0 0 0 0 
34 34 0 50 0 0 0 0 81 31 0 0 0 0 0 0 0 0 
34 34 0 50 0 0 0 0 81 31 0 0 0 0 0 0 0 0 
34 34 0 50 0 0 0 0 81 31 0 0 0 0 0 0 0 0 
34 34 0 50 0 0 0 0 81 31 0 0 0 0 0 0 0 0 
34 34 0 50 0 0 0 0 81 31 0 0 0 0 0 0 0 0 
34 34 0 50 0 0 0 0 81 31 0 0 0 0 0 0 0 0 
34 34 0 50 0 0 0 0 81 31 0 0 0 0 0 0 0 0 
34 34 0 50 0 0 0 0 81 31 0 0 0 0 0 0 0 0 
34 34 0 50 0 0 0 0 81 31 0 0 0 0 0 0 0 0 
34 34 0 50 0 0 0 0 81 31 0 0 0 0 0 0 0 0 
34 34 0 50 0 0 0 0 81 31 0 0 0 0 0 0 0 0 
34 34 0 50 0 0 0 0 81 31 0 0 0 0 0 0 0 0 
34 34 0 50 0 0 0 0 81 31 0 0 0 0 0 0 0 0 
34 34 0 50 0 0 0 0 81 31 0 0 0 0 0 0 0 0 
34 34 0 50 0 0 0 0 81 31 0 0 0 0 0 0 0 0 
34 34 0 50 0 0 0 0 81 31 0 0 0 0 0 0 0 0 
34 34 0 50 0 0 0 0 81 31 0 0 0 0 0 0 0 0 
34 34 0 50 0 0 0 0 81 31 0 0 0 0 0 0 0 0 
34 34 0 50 0 0 0 0 81 31 0 0 0 0 0 0 0 0 
34 34 0 50 0 0 0 0 81 31 0 0 0 0 0 0 0 0 
34 34 0 50 0 0 0 0 81 31 0 0 0 0 0 0 0 0 
34 34 0 50 0 0 0 0 81 31 0 0 0 0 0 0 0 0 
34 34 0 50 0 0 0 0 81 31 0 0 0 0 0 0 0 0 
34 34 0 50 0 0 0 0 81 31 0 0 0 0 0 0 0 0 
34 34 0 50 0 0 0 0 81 31 0 0 0 0 0 0 0 0 
34 34 0 50 0 0 0 0 81 31 0 0 0 0 0 0 0 0 
34 34 0 50 0 0 0 0 81 31 0 0 0 0 0 0 0 0 
34 34 0 50 0 0 0 0 81 31 0 0 0 0 0 0 0 0 
34 34 0 50 0 0 0 0 81 31 0 0 0 0 0 0 0 0 
34 34 0 50 0 0 0 0 81 31 0 0 0 0 0 0 0 0 
34 34 20 50 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 34 20 50 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 34 20 50 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 34 20 50 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 34 20 50 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 34 20 50 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 34 20 50 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 34 20 50 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 34 20 50 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 34 20 50 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 34 20 50 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 34 20 50 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 34 20 50 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 34 20 50 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 34 20 50 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 34 20 50 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 34 20 50 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 34 20 50 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 34 20 50 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 34 20 50 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 34 20 50 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 34 20 50 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 34 20 50 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 34 20 50 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 34 20 50 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 34 20 50 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 34 20 50 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 34 20 50 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 34 20 50 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 34 20 50 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 54 0 50 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 54 0 50 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 54 0 50 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 54 0 50 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 54 0 50 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 54 0 50 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 54 0 50 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 54 0 50 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 54 0 50 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 54 0 50 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 54 0 50 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 54 0 50 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 54 0 50 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 54 0 50 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 54 0 50 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 54 0 50 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 54 0 50 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 54 0 50 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 54 0 50 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 54 0 50 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 64 0 50 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 64 0 50 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 64 0 50 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 64 0 50 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 64 0 50 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 64 0 50 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 64 0 50 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 64 0 50 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 64 0 50 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 64 0 50 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 0 79 22 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 0 79 22 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 0 79 22 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 0 79 22 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 0 79 22 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 0 79 22 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 0 79 22 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 0 79 22 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 0 79 22 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 0 79 22 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 0 79 20 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 0 79 20 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 0 79 20 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 0 79 20 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 0 79 20 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 0 79 20 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 0 79 20 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 0 79 20 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 0 79 20 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 0 79 20 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 0 79 20 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 0 79 20 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 0 79 20 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 0 79 20 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 0 79 20 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 0 79 20 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 0 79 20 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 0 79 20 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 0 79 20 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
34 0 79 20 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
24 0 79 26 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
24 0 79 26 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
24 0 79 26 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
24 0 79 26 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
24 0 79 26 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
24 0 79 26 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
24 0 79 26 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
24 0 79 26 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
24 0 79 26 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
24 0 79 26 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
24 0 79 26 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
24 0 79 26 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
24 0 79 26 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
24 0 79 26 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
24 0 79 26 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
24 0 79 26 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
24 0 79 26 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
24 0 79 26 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
24 0 79 26 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
24 0 79 26 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
24 0 79 26 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
24 0 79 26 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
24 0 79 26 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
24 0 79 26 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
24 0 79 26 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
24 0 79 26 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
24 0 79 26 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
24 0 79 26 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
24 0 79 26 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
24 0 79 26 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
24 0 79 26 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
24 0 79 26 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
24 0 79 26 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
24 0 79 26 0 0 0 0 81 0 0 0 0 0 0 0 0 0 
