PE_L1_1 PE_L1_2 PE_L1_3 PE_L1_4 PE_L1_5 PE_L1_6 PE_L1_7 PE_L1_8 PE_L1_9 PE_L2_1 PE_L2_2 PE_L2_3 PE_L2_4 PE_L2_5 PE_L2_6 PE_L2_7 PE_L2_8 PE_L2_9 
34 31 32 50 0 23 31 34 28 45 20 38 26 31 28 42 40 38 
34 31 32 50 0 23 31 34 28 45 20 38 26 31 28 42 40 38 
34 31 32 50 0 23 31 34 28 45 20 38 26 31 28 42 40 38 
34 31 32 50 0 23 31 34 28 45 20 38 26 31 28 42 40 38 
34 31 32 50 0 23 31 34 28 45 20 38 26 31 28 42 40 38 
34 31 32 50 0 23 31 34 28 45 20 38 26 31 28 42 40 38 
34 31 32 50 0 23 31 34 28 45 20 38 26 31 28 42 40 38 
34 31 32 50 0 23 31 34 28 45 20 38 26 31 28 42 40 38 
34 31 32 50 0 23 31 34 28 45 20 38 26 31 28 42 40 38 
34 31 32 50 0 23 31 34 28 45 20 38 26 31 28 42 40 38 
34 30 32 50 0 48 31 34 28 45 20 38 26 31 28 42 40 38 
34 30 32 50 0 48 31 34 28 45 20 38 26 31 28 42 40 38 
34 30 32 50 0 48 31 34 28 45 20 38 26 31 28 42 40 38 
34 30 32 50 0 48 31 34 28 45 20 38 26 31 28 42 40 38 
34 30 32 50 0 48 31 34 28 45 20 38 26 31 28 42 40 38 
34 30 32 50 0 48 31 34 28 45 20 38 26 31 28 42 40 38 
34 30 32 50 0 48 31 34 28 45 20 38 26 31 28 42 40 38 
34 30 32 50 0 48 31 34 28 45 20 38 26 31 28 42 40 38 
34 30 32 50 0 48 31 34 28 45 20 38 26 31 28 42 40 38 
34 30 32 50 0 48 31 34 28 45 20 38 26 31 28 42 40 38 
34 30 32 50 0 48 31 34 28 45 20 38 26 31 28 26 40 38 
34 30 32 50 0 48 31 34 28 45 20 38 26 31 28 26 40 38 
34 30 32 50 0 48 31 34 28 45 20 38 26 31 28 26 40 38 
34 30 32 50 0 48 31 34 28 45 20 38 26 31 28 26 40 38 
34 30 32 50 0 48 31 34 28 45 20 38 26 31 28 26 40 38 
34 30 32 50 0 48 31 34 28 45 20 38 26 31 28 26 40 38 
34 30 32 50 0 48 31 34 28 45 20 38 26 31 28 26 40 38 
34 30 32 50 0 48 31 34 28 45 20 38 26 31 28 26 40 38 
34 30 32 50 0 48 31 34 28 45 20 38 26 31 28 26 40 38 
34 30 32 50 0 48 31 34 28 45 20 38 26 31 28 26 40 38 
34 30 31 50 0 47 31 34 28 45 25 38 26 31 28 26 40 38 
34 30 31 50 0 47 31 34 28 45 25 38 26 31 28 26 40 38 
34 30 31 50 0 47 31 34 28 45 25 38 26 31 28 26 40 38 
34 30 31 50 0 47 31 34 28 45 25 38 26 31 28 26 40 38 
34 30 31 50 0 47 31 34 28 45 25 38 26 31 28 26 40 38 
34 30 31 50 0 47 31 34 28 45 25 38 26 31 28 26 40 38 
34 30 31 50 0 47 31 34 28 45 25 38 26 31 28 26 40 38 
34 30 31 50 0 47 31 34 28 45 25 38 26 31 28 26 40 38 
34 30 31 50 0 47 31 34 28 45 25 38 26 31 28 26 40 38 
34 30 31 50 0 47 31 34 28 45 25 38 26 31 28 26 40 38 
34 23 31 50 0 47 31 34 28 45 25 38 26 31 28 26 40 38 
34 23 31 50 0 47 31 34 28 45 25 38 26 31 28 26 40 38 
34 23 31 50 0 47 31 34 28 45 25 38 26 31 28 26 40 38 
34 23 31 50 0 47 31 34 28 45 25 38 26 31 28 26 40 38 
34 23 31 50 0 47 31 34 28 45 25 38 26 31 28 26 40 38 
34 23 31 50 0 47 31 34 28 45 25 38 26 31 28 26 40 38 
34 23 31 50 0 47 31 34 28 45 25 38 26 31 28 26 40 38 
34 23 31 50 0 47 31 34 28 45 25 38 26 31 28 26 40 38 
34 23 31 50 0 47 31 34 28 45 25 38 26 31 28 26 40 38 
34 23 31 50 0 47 31 34 28 45 25 38 26 31 28 26 40 38 
34 23 37 50 0 47 39 34 28 45 25 38 26 31 28 26 40 38 
34 23 37 50 0 47 39 34 28 45 25 38 26 31 28 26 40 38 
34 23 37 50 0 47 39 34 28 45 25 38 26 31 28 26 40 38 
34 23 37 50 0 47 39 34 28 45 25 38 26 31 28 26 40 38 
34 23 37 50 0 47 39 34 28 45 25 38 26 31 28 26 40 38 
34 23 37 50 0 47 39 34 28 45 25 38 26 31 28 26 40 38 
34 23 37 50 0 47 39 34 28 45 25 38 26 31 28 26 40 38 
34 23 37 50 0 47 39 34 28 45 25 38 26 31 28 26 40 38 
34 23 37 50 0 47 39 34 28 45 25 38 26 31 28 26 40 38 
34 23 37 50 0 47 39 34 28 45 25 38 26 31 28 26 40 38 
34 23 37 50 0 47 39 25 28 45 25 38 47 31 28 26 40 38 
34 23 37 50 0 47 39 25 28 45 25 38 47 31 28 26 40 38 
34 23 37 50 0 47 39 25 28 45 25 38 47 31 28 26 40 38 
34 23 37 50 0 47 39 25 28 45 25 38 47 31 28 26 40 38 
34 23 37 50 0 47 39 25 28 45 25 38 47 31 28 26 40 38 
34 23 37 50 0 47 39 25 28 45 25 38 47 31 28 26 40 38 
34 23 37 50 0 47 39 25 28 45 25 38 47 31 28 26 40 38 
34 23 37 50 0 47 39 25 28 45 25 38 47 31 28 26 40 38 
34 23 37 50 0 47 39 25 28 45 25 38 47 31 28 26 40 38 
34 23 37 50 0 47 39 25 28 45 25 38 47 31 28 26 40 38 
34 23 37 50 0 47 39 25 28 45 25 38 45 31 28 27 40 39 
34 23 37 50 0 47 39 25 28 45 25 38 45 31 28 27 40 39 
34 23 37 50 0 47 39 25 28 45 25 38 45 31 28 27 40 39 
34 23 37 50 0 47 39 25 28 45 25 38 45 31 28 27 40 39 
34 23 37 50 0 47 39 25 28 45 25 38 45 31 28 27 40 39 
34 23 37 50 0 47 39 25 28 45 25 38 45 31 28 27 40 39 
34 23 37 50 0 47 39 25 28 45 25 38 45 31 28 27 40 39 
34 23 37 50 0 47 39 25 28 45 25 38 45 31 28 27 40 39 
34 23 37 50 0 47 39 25 28 45 25 38 45 31 28 27 40 39 
34 23 37 50 0 47 39 25 28 45 25 38 45 31 28 27 40 39 
34 22 36 50 0 25 39 28 28 35 25 38 45 31 28 27 40 39 
34 22 36 50 0 25 39 28 28 35 25 38 45 31 28 27 40 39 
34 22 36 50 0 25 39 28 28 35 25 38 45 31 28 27 40 39 
34 22 36 50 0 25 39 28 28 35 25 38 45 31 28 27 40 39 
34 22 36 50 0 25 39 28 28 35 25 38 45 31 28 27 40 39 
34 22 36 50 0 25 39 28 28 35 25 38 45 31 28 27 40 39 
34 22 36 50 0 25 39 28 28 35 25 38 45 31 28 27 40 39 
34 22 36 50 0 25 39 28 28 35 25 38 45 31 28 27 40 39 
34 22 36 50 0 25 39 28 28 35 25 38 45 31 28 27 40 39 
34 22 36 50 0 25 39 28 28 35 25 38 45 31 28 27 40 39 
34 27 36 50 0 46 39 20 28 35 25 38 45 31 28 0 40 39 
34 27 36 50 0 46 39 20 28 35 25 38 45 31 28 0 40 39 
34 27 36 50 0 46 39 20 28 35 25 38 45 31 28 0 40 39 
34 27 36 50 0 46 39 20 28 35 25 38 45 31 28 0 40 39 
34 27 36 50 0 46 39 20 28 35 25 38 45 31 28 0 40 39 
34 27 36 50 0 46 39 20 28 35 25 38 45 31 28 0 40 39 
34 27 36 50 0 46 39 20 28 35 25 38 45 31 28 0 40 39 
34 27 36 50 0 46 39 20 28 35 25 38 45 31 28 0 40 39 
34 27 36 50 0 46 39 20 28 35 25 38 45 31 28 0 40 39 
