PE_L1_1 PE_L1_2 PE_L1_3 PE_L1_4 PE_L1_5 PE_L1_6 PE_L1_7 PE_L1_8 PE_L1_9 PE_L2_1 PE_L2_2 PE_L2_3 PE_L2_4 PE_L2_5 PE_L2_6 PE_L2_7 PE_L2_8 PE_L2_9 
87 79 80 82 80 85 75 83 76 75 74 76 78 85 78 82 75 80 
87 79 80 82 80 85 75 83 76 75 74 76 78 85 78 82 75 80 
87 79 80 82 80 85 75 83 76 75 74 76 78 85 78 82 75 80 
87 79 80 82 80 85 75 83 76 75 74 76 78 85 78 82 75 80 
87 79 80 82 80 85 75 83 76 75 74 76 78 85 78 82 75 80 
87 79 80 82 80 85 75 83 76 75 74 76 78 85 78 82 75 80 
87 79 80 82 80 85 75 83 76 75 74 76 78 85 78 82 75 80 
87 79 80 82 80 85 75 83 76 75 74 76 78 85 78 82 75 80 
87 79 80 82 80 85 75 83 76 75 74 76 78 85 78 82 75 80 
87 79 80 82 80 85 75 83 76 75 74 76 78 85 78 82 75 80 
80 76 80 82 80 85 75 83 76 75 74 76 78 85 78 82 75 80 
80 76 80 82 80 85 75 83 76 75 74 76 78 85 78 82 75 80 
80 76 80 82 80 85 75 83 76 75 74 76 78 85 78 82 75 80 
80 76 80 82 80 85 75 83 76 75 74 76 78 85 78 82 75 80 
80 76 80 82 80 85 75 83 76 75 74 76 78 85 78 82 75 80 
80 76 80 82 80 85 75 83 76 75 74 76 78 85 78 82 75 80 
80 76 80 82 80 85 75 83 76 75 74 76 78 85 78 82 75 80 
80 76 80 82 80 85 75 83 76 75 74 76 78 85 78 82 75 80 
80 76 80 82 80 85 75 83 76 75 74 76 78 85 78 82 75 80 
80 76 80 82 80 85 75 83 76 75 74 76 78 85 78 82 75 80 
81 76 80 82 80 85 75 83 76 75 74 76 75 85 78 82 75 80 
81 76 80 82 80 85 75 83 76 75 74 76 75 85 78 82 75 80 
81 76 80 82 80 85 75 83 76 75 74 76 75 85 78 82 75 80 
81 76 80 82 80 85 75 83 76 75 74 76 75 85 78 82 75 80 
81 76 80 82 80 85 75 83 76 75 74 76 75 85 78 82 75 80 
81 76 80 82 80 85 75 83 76 75 74 76 75 85 78 82 75 80 
81 76 80 82 80 85 75 83 76 75 74 76 75 85 78 82 75 80 
81 76 80 82 80 85 75 83 76 75 74 76 75 85 78 82 75 80 
81 76 80 82 80 85 75 83 76 75 74 76 75 85 78 82 75 80 
81 76 80 82 80 85 75 83 76 75 74 76 75 85 78 82 75 80 
81 76 81 82 80 78 76 83 76 75 74 76 75 85 78 82 75 80 
81 76 81 82 80 78 76 83 76 75 74 76 75 85 78 82 75 80 
81 76 81 82 80 78 76 83 76 75 74 76 75 85 78 82 75 80 
81 76 81 82 80 78 76 83 76 75 74 76 75 85 78 82 75 80 
81 76 81 82 80 78 76 83 76 75 74 76 75 85 78 82 75 80 
81 76 81 82 80 78 76 83 76 75 74 76 75 85 78 82 75 80 
81 76 81 82 80 78 76 83 76 75 74 76 75 85 78 82 75 80 
81 76 81 82 80 78 76 83 76 75 74 76 75 85 78 82 75 80 
81 76 81 82 80 78 76 83 76 75 74 76 75 85 78 82 75 80 
81 76 81 82 80 78 76 83 76 75 74 76 75 85 78 82 75 80 
81 76 81 82 80 78 76 83 76 75 74 76 75 85 78 82 75 80 
81 76 81 82 80 78 76 83 76 75 74 76 75 85 78 82 75 80 
81 76 81 82 80 78 76 83 76 75 74 76 75 85 78 82 75 80 
81 76 81 82 80 78 76 83 76 75 74 76 75 85 78 82 75 80 
81 76 81 82 80 78 76 83 76 75 74 76 75 85 78 82 75 80 
81 76 81 82 80 78 76 83 76 75 74 76 75 85 78 82 75 80 
81 76 81 82 80 78 76 83 76 75 74 76 75 85 78 82 75 80 
81 76 81 82 80 78 76 83 76 75 74 76 75 85 78 82 75 80 
81 76 81 82 80 78 76 83 76 75 74 76 75 85 78 82 75 80 
81 76 81 82 80 78 76 83 76 75 74 76 75 85 78 82 75 80 
80 76 81 82 80 78 76 83 76 75 74 76 75 85 78 82 75 80 
80 76 81 82 80 78 76 83 76 75 74 76 75 85 78 82 75 80 
80 76 81 82 80 78 76 83 76 75 74 76 75 85 78 82 75 80 
80 76 81 82 80 78 76 83 76 75 74 76 75 85 78 82 75 80 
80 76 81 82 80 78 76 83 76 75 74 76 75 85 78 82 75 80 
80 76 81 82 80 78 76 83 76 75 74 76 75 85 78 82 75 80 
80 76 81 82 80 78 76 83 76 75 74 76 75 85 78 82 75 80 
80 76 81 82 80 78 76 83 76 75 74 76 75 85 78 82 75 80 
80 76 81 82 80 78 76 83 76 75 74 76 75 85 78 82 75 80 
80 76 81 82 80 78 76 83 76 75 74 76 75 85 78 82 75 80 
80 76 81 82 80 78 76 83 76 75 74 76 75 85 78 80 75 80 
80 76 81 82 80 78 76 83 76 75 74 76 75 85 78 80 75 80 
80 76 81 82 80 78 76 83 76 75 74 76 75 85 78 80 75 80 
80 76 81 82 80 78 76 83 76 75 74 76 75 85 78 80 75 80 
80 76 81 82 80 78 76 83 76 75 74 76 75 85 78 80 75 80 
80 76 81 82 80 78 76 83 76 75 74 76 75 85 78 80 75 80 
80 76 81 82 80 78 76 83 76 75 74 76 75 85 78 80 75 80 
80 76 81 82 80 78 76 83 76 75 74 76 75 85 78 80 75 80 
80 76 81 82 80 78 76 83 76 75 74 76 75 85 78 80 75 80 
80 76 81 82 80 78 76 83 76 75 74 76 75 85 78 80 75 80 
80 76 81 82 80 78 76 83 76 75 74 76 75 85 78 80 75 80 
80 76 81 82 80 78 76 83 76 75 74 76 75 85 78 80 75 80 
80 76 81 82 80 78 76 83 76 75 74 76 75 85 78 80 75 80 
80 76 81 82 80 78 76 83 76 75 74 76 75 85 78 80 75 80 
80 76 81 82 80 78 76 83 76 75 74 76 75 85 78 80 75 80 
80 76 81 82 80 78 76 83 76 75 74 76 75 85 78 80 75 80 
80 76 81 82 80 78 76 83 76 75 74 76 75 85 78 80 75 80 
80 76 81 82 80 78 76 83 76 75 74 76 75 85 78 80 75 80 
80 76 81 82 80 78 76 83 76 75 74 76 75 85 78 80 75 80 
80 76 81 82 80 78 76 83 76 75 74 76 75 85 78 80 75 80 
80 76 81 82 80 78 76 83 76 81 74 76 75 85 78 80 75 80 
80 76 81 82 80 78 76 83 76 81 74 76 75 85 78 80 75 80 
80 76 81 82 80 78 76 83 76 81 74 76 75 85 78 80 75 80 
80 76 81 82 80 78 76 83 76 81 74 76 75 85 78 80 75 80 
80 76 81 82 80 78 76 83 76 81 74 76 75 85 78 80 75 80 
80 76 81 82 80 78 76 83 76 81 74 76 75 85 78 80 75 80 
80 76 81 82 80 78 76 83 76 81 74 76 75 85 78 80 75 80 
80 76 81 82 80 78 76 83 76 81 74 76 75 85 78 80 75 80 
80 76 81 82 80 78 76 83 76 81 74 76 75 85 78 80 75 80 
80 76 81 82 80 78 76 83 76 81 74 76 75 85 78 80 75 80 
80 76 81 82 80 78 76 83 76 81 74 76 75 85 78 80 75 80 
80 76 81 82 80 78 76 83 76 81 74 76 75 85 78 80 75 80 
80 76 81 82 80 78 76 83 76 81 74 76 75 85 78 80 75 80 
80 76 81 82 80 78 76 83 76 81 74 76 75 85 78 80 75 80 
80 76 81 82 80 78 76 83 76 81 74 76 75 85 78 80 75 80 
80 76 81 82 80 78 76 83 76 81 74 76 75 85 78 80 75 80 
80 76 81 82 80 78 76 83 76 81 74 76 75 85 78 80 75 80 
80 76 81 82 80 78 76 83 76 81 74 76 75 85 78 80 75 80 
80 76 81 82 80 78 76 83 76 81 74 76 75 85 78 80 75 80 
80 76 81 82 80 78 76 83 76 81 74 76 75 85 78 80 75 80 
80 76 81 82 80 78 76 83 76 81 74 76 75 85 78 80 75 80 
80 76 81 82 80 78 76 83 76 81 74 76 75 85 78 80 75 80 
80 76 81 82 80 78 76 83 76 81 74 76 75 85 78 80 75 80 
80 76 81 82 80 78 76 83 76 81 74 76 75 85 78 80 75 80 
80 76 81 82 80 78 76 83 76 81 74 76 75 85 78 80 75 80 
80 76 81 82 80 78 76 83 76 81 74 76 75 85 78 80 75 80 
80 76 81 82 80 78 76 83 76 81 74 76 75 85 78 80 75 80 
80 76 81 82 80 78 76 83 76 81 74 76 75 85 78 80 75 80 
80 76 81 82 80 78 76 83 76 81 74 76 75 85 78 80 75 80 
80 76 81 82 80 78 76 83 76 81 74 76 75 85 78 80 75 80 
80 76 81 82 80 78 76 83 76 0 74 76 75 85 78 80 75 80 
80 76 81 82 80 78 76 83 76 0 74 76 75 85 78 80 75 80 
80 76 81 82 80 78 76 83 76 0 74 76 75 85 78 80 75 80 
80 76 81 82 80 78 76 83 76 0 74 76 75 85 78 80 75 80 
80 76 81 82 80 78 76 83 76 0 74 76 75 85 78 80 75 80 
80 76 81 82 80 78 76 83 76 0 74 76 75 85 78 80 75 80 
80 76 81 82 80 78 76 83 76 0 74 76 75 85 78 80 75 80 
80 76 81 82 80 78 76 83 76 0 74 76 75 85 78 80 75 80 
80 76 81 82 80 78 76 83 76 0 74 76 75 85 78 80 75 80 
80 76 81 82 80 78 76 83 76 0 74 76 75 85 78 80 75 80 
80 74 81 82 80 78 76 0 76 0 74 76 75 85 0 80 75 80 
80 74 81 82 80 78 76 0 76 0 74 76 75 85 0 80 75 80 
80 74 81 82 80 78 76 0 76 0 74 76 75 85 0 80 75 80 
80 74 81 82 80 78 76 0 76 0 74 76 75 85 0 80 75 80 
80 74 81 82 80 78 76 0 76 0 74 76 75 85 0 80 75 80 
80 74 81 82 80 78 76 0 76 0 74 76 75 85 0 80 75 80 
