PE_L1_1 PE_L1_2 PE_L1_3 PE_L1_4 PE_L2_1 PE_L2_2 PE_L2_3 PE_L2_4 
64 34 23 31 89 81 94 87 
64 34 23 31 89 81 94 87 
64 34 23 31 89 81 94 87 
64 34 23 31 89 81 94 87 
64 34 23 31 89 81 94 87 
64 34 23 31 89 81 94 87 
64 34 23 31 89 81 94 87 
64 34 23 31 89 81 94 87 
64 34 23 31 89 81 94 87 
64 34 23 31 89 81 94 87 
45 34 28 34 89 81 94 87 
45 34 28 34 89 81 94 87 
45 34 28 34 89 81 94 87 
45 34 28 34 89 81 94 87 
45 34 28 34 89 81 94 87 
45 34 28 34 89 81 94 87 
45 34 28 34 89 81 94 87 
45 34 28 34 89 81 94 87 
45 34 28 34 89 81 94 87 
45 34 28 34 89 81 94 87 
45 34 28 34 89 81 94 87 
45 34 28 34 89 81 94 87 
45 34 28 34 89 81 94 87 
45 34 28 34 89 81 94 87 
45 34 28 34 89 81 94 87 
45 34 28 34 89 81 94 87 
45 34 28 34 89 81 94 87 
45 34 28 34 89 81 94 87 
45 34 28 34 89 81 94 87 
45 34 28 34 89 81 94 87 
45 34 28 34 32 81 94 87 
45 34 28 34 32 81 94 87 
45 34 28 34 32 81 94 87 
45 34 28 34 32 81 94 87 
45 34 28 34 32 81 94 87 
45 34 28 34 32 81 94 87 
45 34 28 34 32 81 94 87 
45 34 28 34 32 81 94 87 
45 34 28 34 32 81 94 87 
45 34 28 34 32 81 94 87 
45 34 28 34 32 81 94 87 
45 34 28 34 32 81 94 87 
45 34 28 34 32 81 94 87 
45 34 28 34 32 81 94 87 
45 34 28 34 32 81 94 87 
45 34 28 34 32 81 94 87 
45 34 28 34 32 81 94 87 
45 34 28 34 32 81 94 87 
45 34 28 34 32 81 94 87 
45 34 28 34 32 81 94 87 
45 34 28 34 32 81 94 87 
45 34 28 34 32 81 94 87 
45 34 28 34 32 81 94 87 
45 34 28 34 32 81 94 87 
45 34 28 34 32 81 94 87 
45 34 28 34 32 81 94 87 
45 34 28 34 32 81 94 87 
45 34 28 34 32 81 94 87 
45 34 28 34 32 81 94 87 
45 34 28 34 32 81 94 87 
45 31 28 34 81 81 94 87 
45 31 28 34 81 81 94 87 
45 31 28 34 81 81 94 87 
45 31 28 34 81 81 94 87 
45 31 28 34 81 81 94 87 
45 31 28 34 81 81 94 87 
45 31 28 34 81 81 94 87 
45 31 28 34 81 81 94 87 
45 31 28 34 81 81 94 87 
45 31 28 34 81 81 94 87 
45 31 28 34 81 81 94 87 
45 31 28 34 81 81 94 87 
45 31 28 34 81 81 94 87 
45 31 28 34 81 81 94 87 
45 31 28 34 81 81 94 87 
45 31 28 34 81 81 94 87 
45 31 28 34 81 81 94 87 
45 31 28 34 81 81 94 87 
45 31 28 34 81 81 94 87 
45 31 28 34 81 81 94 87 
45 31 28 34 81 81 94 87 
45 31 28 34 81 81 94 87 
45 31 28 34 81 81 94 87 
45 31 28 34 81 81 94 87 
45 31 28 34 81 81 94 87 
45 31 28 34 81 81 94 87 
45 31 28 34 81 81 94 87 
45 31 28 34 81 81 94 87 
45 31 28 34 81 81 94 87 
45 31 28 34 81 81 94 87 
24 31 28 34 81 81 94 87 
24 31 28 34 81 81 94 87 
24 31 28 34 81 81 94 87 
24 31 28 34 81 81 94 87 
24 31 28 34 81 81 94 87 
24 31 28 34 81 81 94 87 
24 31 28 34 81 81 94 87 
24 31 28 34 81 81 94 87 
24 31 28 34 81 81 94 87 
24 31 28 34 81 81 94 87 
24 31 28 34 81 84 94 87 
24 31 28 34 81 84 94 87 
24 31 28 34 81 84 94 87 
24 31 28 34 81 84 94 87 
24 31 28 34 81 84 94 87 
24 31 28 34 81 84 94 87 
24 31 28 34 81 84 94 87 
24 31 28 34 81 84 94 87 
24 31 28 34 81 84 94 87 
24 31 28 34 81 84 94 87 
24 31 28 34 81 79 94 87 
24 31 28 34 81 79 94 87 
24 31 28 34 81 79 94 87 
