PE_L1_1 PE_L1_2 PE_L1_3 PE_L1_4 PE_L2_1 PE_L2_2 PE_L2_3 PE_L2_4 
0 34 31 31 89 31 81 79 
0 34 31 31 89 31 81 79 
0 34 31 31 89 31 81 79 
0 34 31 31 89 31 81 79 
0 34 31 31 89 31 81 79 
0 34 31 31 89 31 81 79 
0 34 31 31 89 31 81 79 
0 34 31 31 89 31 81 79 
0 34 31 31 89 31 81 79 
0 34 31 31 89 31 81 79 
0 34 31 23 89 31 81 79 
0 34 31 23 89 31 81 79 
0 34 31 23 89 31 81 79 
0 34 31 23 89 31 81 79 
0 34 31 23 89 31 81 79 
0 34 31 23 89 31 81 79 
0 34 31 23 89 31 81 79 
0 34 31 23 89 31 81 79 
0 34 31 23 89 31 81 79 
0 34 31 23 89 31 81 79 
64 34 31 0 89 31 81 79 
64 34 31 0 89 31 81 79 
64 34 31 0 89 31 81 79 
64 34 31 0 89 31 81 79 
64 34 31 0 89 31 81 79 
64 34 31 0 89 31 81 79 
64 34 31 0 89 31 81 79 
64 34 31 0 89 31 81 79 
64 34 31 0 89 31 81 79 
64 34 31 0 89 31 81 79 
0 34 31 0 94 31 81 79 
0 34 31 0 94 31 81 79 
0 34 31 0 94 31 81 79 
0 34 31 0 94 31 81 79 
0 34 31 0 94 31 81 79 
0 34 31 0 94 31 81 79 
0 34 31 0 94 31 81 79 
0 34 31 0 94 31 81 79 
0 34 31 0 94 31 81 79 
0 34 31 0 94 31 81 79 
0 34 31 0 94 31 81 79 
0 34 31 0 94 31 81 79 
0 34 31 0 94 31 81 79 
0 34 31 0 94 31 81 79 
0 34 31 0 94 31 81 79 
0 34 31 0 94 31 81 79 
0 34 31 0 94 31 81 79 
0 34 31 0 94 31 81 79 
0 34 31 0 94 31 81 79 
0 34 31 0 94 31 81 79 
0 34 28 0 94 31 81 79 
0 34 28 0 94 31 81 79 
0 34 28 0 94 31 81 79 
0 34 28 0 94 31 81 79 
0 34 28 0 94 31 81 79 
0 34 28 0 94 31 81 79 
0 34 28 0 94 31 81 79 
0 34 28 0 94 31 81 79 
0 34 28 0 94 31 81 79 
0 34 28 0 94 31 81 79 
0 34 28 0 94 31 81 79 
0 34 28 0 94 31 81 79 
0 34 28 0 94 31 81 79 
0 34 28 0 94 31 81 79 
0 34 28 0 94 31 81 79 
0 34 28 0 94 31 81 79 
0 34 28 0 94 31 81 79 
0 34 28 0 94 31 81 79 
0 34 28 0 94 31 81 79 
0 34 28 0 94 31 81 79 
0 34 28 0 94 31 81 79 
0 34 28 0 94 31 81 79 
0 34 28 0 94 31 81 79 
0 34 28 0 94 31 81 79 
