PE_L1_1 PE_L1_2 PE_L1_3 PE_L1_4 PE_L2_1 PE_L2_2 PE_L2_3 PE_L2_4 
50 64 34 0 80 79 81 0 
50 64 34 0 80 79 81 0 
50 64 34 0 80 79 81 0 
50 64 34 0 80 79 81 0 
50 64 34 0 80 79 81 0 
50 64 34 0 80 79 81 0 
50 64 34 0 80 79 81 0 
50 64 34 0 80 79 81 0 
50 64 34 0 80 79 81 0 
50 64 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
50 51 34 0 80 79 81 0 
54 51 34 0 80 79 81 0 
54 51 34 0 80 79 81 0 
54 51 34 0 80 79 81 0 
54 51 34 0 80 79 81 0 
54 51 34 0 80 79 81 0 
54 51 34 0 80 79 81 0 
54 51 34 0 80 79 81 0 
54 51 34 0 80 79 81 0 
54 51 34 0 80 79 81 0 
54 51 34 0 80 79 81 0 
54 51 34 0 80 79 81 0 
54 51 34 0 80 79 81 0 
54 51 34 0 80 79 81 0 
54 51 34 0 80 79 81 0 
54 51 34 0 80 79 81 0 
54 51 34 0 80 79 81 0 
54 51 34 0 80 79 81 0 
54 51 34 0 80 79 81 0 
54 51 34 0 80 79 81 0 
54 51 34 0 80 79 81 0 
54 51 34 0 80 79 81 0 
54 51 34 0 80 79 81 0 
54 51 34 0 80 79 81 0 
54 51 34 0 80 79 81 0 
54 51 34 0 80 79 81 0 
54 51 34 0 80 79 81 0 
54 51 34 0 80 79 81 0 
54 51 34 0 80 79 81 0 
54 51 34 0 80 79 81 0 
54 51 34 0 80 79 81 0 
