PE_L1_1 PE_L1_2 PE_L1_3 PE_L1_4 PE_L2_1 PE_L2_2 PE_L2_3 PE_L2_4 
35 39 32 34 32 36 36 0 
35 39 32 34 32 36 36 0 
35 39 32 34 32 36 36 0 
35 39 32 34 32 36 36 0 
35 39 32 34 32 36 36 0 
35 39 32 34 32 36 36 0 
35 39 32 34 32 36 36 0 
35 39 32 34 32 36 36 0 
35 39 32 34 32 36 36 0 
35 39 32 34 32 36 36 0 
35 39 32 34 32 36 36 0 
35 39 32 34 32 36 36 0 
35 39 32 34 32 36 36 0 
35 39 32 34 32 36 36 0 
35 39 32 34 32 36 36 0 
35 39 32 34 32 36 36 0 
35 39 32 34 32 36 36 0 
35 39 32 34 32 36 36 0 
35 39 32 34 32 36 36 0 
35 39 32 34 32 36 36 0 
35 39 32 34 32 36 36 0 
35 39 32 34 32 36 36 0 
35 39 32 34 32 36 36 0 
35 39 32 34 32 36 36 0 
35 39 32 34 32 36 36 0 
35 39 32 34 32 36 36 0 
35 39 32 34 32 36 36 0 
35 39 32 34 32 36 36 0 
35 39 32 34 32 36 36 0 
35 39 32 34 32 36 36 0 
35 39 32 34 32 36 36 0 
35 39 32 34 32 36 36 0 
35 39 32 34 32 36 36 0 
35 39 32 34 32 36 36 0 
35 39 32 34 32 36 36 0 
35 39 32 34 32 36 36 0 
35 39 32 34 32 36 36 0 
35 39 32 34 32 36 36 0 
35 39 32 34 32 36 36 0 
35 39 32 34 32 36 36 0 
35 39 32 34 32 36 36 0 
35 39 32 34 32 36 36 0 
35 39 32 34 32 36 36 0 
35 39 32 34 32 36 36 0 
35 39 32 34 32 36 36 0 
35 39 32 34 32 36 36 0 
35 39 32 34 32 36 36 0 
35 39 32 34 32 36 36 0 
35 39 32 34 32 36 36 0 
35 39 32 34 32 36 36 0 
35 39 32 34 32 36 36 0 
35 39 32 34 32 36 36 0 
35 39 32 34 32 36 36 0 
35 39 32 34 32 36 36 0 
35 39 32 34 32 36 36 0 
35 39 32 34 32 36 36 0 
35 39 32 34 32 36 36 0 
35 39 32 34 32 36 36 0 
35 39 32 34 32 36 36 0 
35 39 32 34 32 36 36 0 
35 39 32 34 32 36 36 0 
