PE_L1_1 PE_L1_2 PE_L1_3 PE_L1_4 PE_L2_1 PE_L2_2 PE_L2_3 PE_L2_4 
87 79 0 78 0 0 0 0 
87 79 0 78 0 0 0 0 
87 79 0 78 0 0 0 0 
87 79 0 78 0 0 0 0 
87 79 0 78 0 0 0 0 
87 79 0 78 0 0 0 0 
87 79 0 78 0 0 0 0 
87 79 0 78 0 0 0 0 
87 79 0 78 0 0 0 0 
87 79 0 78 0 0 0 0 
80 0 76 78 0 75 74 75 
80 0 76 78 0 75 74 75 
80 0 76 78 0 75 74 75 
80 0 76 78 0 75 74 75 
80 0 76 78 0 75 74 75 
80 0 76 78 0 75 74 75 
80 0 76 78 0 75 74 75 
80 0 76 78 0 75 74 75 
80 0 76 78 0 75 74 75 
80 0 76 78 0 75 74 75 
80 0 76 0 78 75 74 75 
80 0 76 0 78 75 74 75 
80 0 76 0 78 75 74 75 
80 0 76 0 78 75 74 75 
80 0 76 0 78 75 74 75 
80 0 76 0 78 75 74 75 
80 0 76 0 78 75 74 75 
80 0 76 0 78 75 74 75 
80 0 76 0 78 75 74 75 
80 0 76 0 78 75 74 75 
80 0 76 0 78 75 74 75 
80 0 76 0 78 75 74 75 
80 0 76 0 78 75 74 75 
80 0 76 0 78 75 74 75 
80 0 76 0 78 75 74 75 
80 0 76 0 78 75 74 75 
80 0 76 0 78 75 74 75 
80 0 76 0 78 75 74 75 
80 0 76 0 78 75 74 75 
80 0 76 0 78 75 74 75 
80 0 76 0 78 75 74 75 
80 0 76 0 78 75 74 75 
80 0 76 0 78 75 74 75 
80 0 76 0 78 75 74 75 
80 0 76 0 78 75 74 75 
80 0 76 0 78 75 74 75 
80 0 76 0 78 75 74 75 
80 0 76 0 78 75 74 75 
80 0 76 0 78 75 74 75 
80 0 76 0 78 75 74 75 
80 0 76 0 78 75 74 75 
80 0 76 0 78 75 74 75 
80 0 76 0 78 75 74 75 
80 0 76 0 78 75 74 75 
80 0 76 0 78 75 74 75 
