PE_L1_1 PE_L1_2 PE_L1_3 PE_L1_4 PE_L2_1 PE_L2_2 PE_L2_3 PE_L2_4 
23 81 38 20 31 54 38 28 
23 81 38 20 31 54 38 28 
23 81 38 20 31 54 38 28 
23 81 38 20 31 54 38 28 
23 81 38 20 31 54 38 28 
23 81 38 20 31 54 38 28 
23 81 38 20 31 54 38 28 
23 81 38 20 31 54 38 28 
23 81 38 20 31 54 38 28 
23 81 38 20 31 54 38 28 
0 81 38 20 31 54 38 28 
0 81 38 20 31 54 38 28 
0 81 38 20 31 54 38 28 
0 81 38 20 31 54 38 28 
0 81 38 20 31 54 38 28 
0 81 38 20 31 54 38 28 
0 81 38 20 31 54 38 28 
0 81 38 20 31 54 38 28 
0 81 38 20 31 54 38 28 
0 81 38 20 31 54 38 28 
64 81 38 20 31 64 38 28 
64 81 38 20 31 64 38 28 
64 81 38 20 31 64 38 28 
64 81 38 20 31 64 38 28 
64 81 38 20 31 64 38 28 
64 81 38 20 31 64 38 28 
64 81 38 20 31 64 38 28 
64 81 38 20 31 64 38 28 
64 81 38 20 31 64 38 28 
64 81 38 20 31 64 38 28 
50 81 38 0 31 0 38 28 
50 81 38 0 31 0 38 28 
50 81 38 0 31 0 38 28 
50 81 38 0 31 0 38 28 
50 81 38 0 31 0 38 28 
50 81 38 0 31 0 38 28 
50 81 38 0 31 0 38 28 
50 81 38 0 31 0 38 28 
50 81 38 0 31 0 38 28 
50 81 38 0 31 0 38 28 
50 81 38 0 31 0 38 28 
50 81 38 0 31 0 38 28 
50 81 38 0 31 0 38 28 
50 81 38 0 31 0 38 28 
50 81 38 0 31 0 38 28 
50 81 38 0 31 0 38 28 
50 81 38 0 31 0 38 28 
50 81 38 0 31 0 38 28 
50 81 38 0 31 0 38 28 
50 81 38 0 31 0 38 28 
50 81 38 0 31 0 38 28 
50 81 38 0 31 0 38 28 
50 81 38 0 31 0 38 28 
50 81 38 0 31 0 38 28 
50 81 38 0 31 0 38 28 
50 81 38 0 31 0 38 28 
50 81 38 0 31 0 38 28 
50 81 38 0 31 0 38 28 
50 81 38 0 31 0 38 28 
50 81 38 0 31 0 38 28 
50 81 38 0 79 0 38 28 
50 81 38 0 79 0 38 28 
50 81 38 0 79 0 38 28 
50 81 38 0 79 0 38 28 
50 81 38 0 79 0 38 28 
50 81 38 0 79 0 38 28 
50 81 38 0 79 0 38 28 
50 81 38 0 79 0 38 28 
50 81 38 0 79 0 38 28 
50 81 38 0 79 0 38 28 
50 81 38 0 79 0 0 28 
50 81 38 0 79 0 0 28 
50 81 38 0 79 0 0 28 
50 81 38 0 79 0 0 28 
50 81 38 0 79 0 0 28 
50 81 38 0 79 0 0 28 
50 81 38 0 79 0 0 28 
50 81 38 0 79 0 0 28 
50 81 38 0 79 0 0 28 
50 81 38 0 79 0 0 28 
50 81 38 0 79 0 0 28 
50 81 38 0 79 0 0 28 
50 81 38 0 79 0 0 28 
50 81 38 0 79 0 0 28 
50 81 38 0 79 0 0 28 
50 81 38 0 79 0 0 28 
50 81 38 0 79 0 0 28 
50 81 38 0 79 0 0 28 
50 81 38 0 79 0 0 28 
50 81 38 0 79 0 0 28 
50 81 38 0 79 0 0 28 
50 81 38 0 79 0 0 28 
50 81 38 0 79 0 0 28 
50 81 38 0 79 0 0 28 
50 81 38 0 79 0 0 28 
50 81 38 0 79 0 0 28 
50 81 38 0 79 0 0 28 
50 81 38 0 79 0 0 28 
50 81 38 0 79 0 0 28 
50 81 38 0 79 0 0 28 
50 81 38 0 79 0 0 28 
50 81 38 0 79 0 0 28 
50 81 38 0 79 0 0 28 
50 81 38 0 79 0 0 28 
50 81 38 0 79 0 0 28 
50 81 38 0 79 0 0 28 
50 81 38 0 79 0 0 28 
50 81 38 0 79 0 0 28 
50 81 38 0 79 0 0 28 
50 81 38 0 79 0 0 28 
50 81 40 0 79 0 0 28 
50 81 40 0 79 0 0 28 
50 81 40 0 79 0 0 28 
50 81 40 0 79 0 0 28 
50 81 40 0 79 0 0 28 
50 81 40 0 79 0 0 28 
50 81 40 0 79 0 0 28 
50 81 40 0 79 0 0 28 
50 81 40 0 79 0 0 28 
50 81 40 0 79 0 0 28 
50 81 40 0 79 0 0 28 
50 81 40 0 79 0 0 28 
50 81 40 0 79 0 0 28 
50 81 40 0 79 0 0 28 
50 81 40 0 79 0 0 28 
50 81 40 0 79 0 0 28 
50 81 40 0 79 0 0 28 
50 81 40 0 79 0 0 28 
50 81 40 0 79 0 0 28 
50 81 40 0 79 0 0 28 
50 81 40 0 79 0 0 28 
50 81 40 0 79 0 0 28 
50 81 40 0 79 0 0 28 
50 81 40 0 79 0 0 28 
50 81 40 0 79 0 0 28 
50 81 40 0 79 0 0 28 
50 81 40 0 79 0 0 28 
50 81 40 0 79 0 0 28 
50 81 40 0 79 0 0 28 
50 81 40 0 79 0 0 28 
50 81 40 0 79 0 0 28 
50 81 40 0 79 0 0 28 
50 81 40 0 79 0 0 28 
50 81 40 0 79 0 0 28 
50 81 40 0 79 0 0 28 
50 81 40 0 79 0 0 28 
50 81 40 0 79 0 0 28 
50 81 40 0 79 0 0 28 
50 81 40 0 79 0 0 28 
50 81 40 0 79 0 0 28 
0 81 40 0 79 51 0 28 
