PE_L1_1 PE_L1_2 PE_L1_3 PE_L1_4 PE_L2_1 PE_L2_2 PE_L2_3 PE_L2_4 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 30 40 0 29 0 
31 0 35 0 40 0 29 0 
31 0 35 0 40 0 29 0 
31 0 35 0 40 0 29 0 
31 0 35 0 40 0 29 0 
31 0 35 0 40 0 29 0 
31 0 35 0 40 0 29 0 
31 0 35 0 40 0 29 0 
31 0 35 0 40 0 29 0 
31 0 35 0 40 0 29 0 
31 0 35 0 40 0 29 0 
31 0 35 0 40 0 29 0 
31 0 35 0 40 0 29 0 
31 0 35 0 40 0 29 0 
31 0 35 0 40 0 29 0 
31 0 35 0 40 0 29 0 
31 0 35 0 40 0 29 0 
31 0 35 0 40 0 29 0 
31 0 35 0 40 0 29 0 
31 0 35 0 40 0 29 0 
31 0 35 0 40 0 29 0 
31 0 35 0 40 0 29 0 
31 0 35 0 40 0 29 0 
