PE_L1_1 PE_L1_2 PE_L1_3 PE_L1_4 PE_L2_1 PE_L2_2 PE_L2_3 PE_L2_4 
31 23 50 34 32 81 94 24 
31 23 50 34 32 81 94 24 
31 23 50 34 32 81 94 24 
31 23 50 34 32 81 94 24 
31 23 50 34 32 81 94 24 
31 23 50 34 32 81 94 24 
31 23 50 34 32 81 94 24 
31 23 50 34 32 81 94 24 
31 23 50 34 32 81 94 24 
31 23 50 34 32 81 94 24 
51 34 50 34 32 81 94 24 
51 34 50 34 32 81 94 24 
51 34 50 34 32 81 94 24 
51 34 50 34 32 81 94 24 
51 34 50 34 32 81 94 24 
51 34 50 34 32 81 94 24 
51 34 50 34 32 81 94 24 
51 34 50 34 32 81 94 24 
51 34 50 34 32 81 94 24 
51 34 50 34 32 81 94 24 
51 34 50 34 32 81 94 24 
51 34 50 34 32 81 94 24 
51 34 50 34 32 81 94 24 
51 34 50 34 32 81 94 24 
51 34 50 34 32 81 94 24 
51 34 50 34 32 81 94 24 
51 34 50 34 32 81 94 24 
51 34 50 34 32 81 94 24 
51 34 50 34 32 81 94 24 
51 34 50 34 32 81 94 24 
51 34 50 34 31 81 94 24 
51 34 50 34 31 81 94 24 
51 34 50 34 31 81 94 24 
51 34 50 34 31 81 94 24 
51 34 50 34 31 81 94 24 
51 34 50 34 31 81 94 24 
51 34 50 34 31 81 94 24 
51 34 50 34 31 81 94 24 
51 34 50 34 31 81 94 24 
51 34 50 34 31 81 94 24 
51 34 50 34 31 81 94 24 
51 34 50 34 31 81 94 24 
51 34 50 34 31 81 94 24 
51 34 50 34 31 81 94 24 
51 34 50 34 31 81 94 24 
51 34 50 34 31 81 94 24 
51 34 50 34 31 81 94 24 
51 34 50 34 31 81 94 24 
51 34 50 34 31 81 94 24 
51 34 50 34 31 81 94 24 
51 34 50 34 31 81 94 24 
51 34 50 34 31 81 94 24 
51 34 50 34 31 81 94 24 
51 34 50 34 31 81 94 24 
51 34 50 34 31 81 94 24 
51 34 50 34 31 81 94 24 
51 34 50 34 31 81 94 24 
51 34 50 34 31 81 94 24 
51 34 50 34 31 81 94 24 
51 34 50 34 31 81 94 24 
51 34 50 34 31 81 94 24 
51 34 50 34 31 81 94 24 
51 34 50 34 31 81 94 24 
51 34 50 34 31 81 94 24 
51 34 50 34 31 81 94 24 
51 34 50 34 31 81 94 24 
51 34 50 34 31 81 94 24 
51 34 50 34 31 81 94 24 
51 34 50 34 31 81 94 24 
51 34 50 34 31 81 94 24 
51 84 50 34 31 81 94 24 
51 84 50 34 31 81 94 24 
51 84 50 34 31 81 94 24 
51 84 50 34 31 81 94 24 
51 84 50 34 31 81 94 24 
51 84 50 34 31 81 94 24 
51 84 50 34 31 81 94 24 
51 84 50 34 31 81 94 24 
51 84 50 34 31 81 94 24 
51 84 50 34 31 81 94 24 
51 28 50 34 28 81 94 24 
51 28 50 34 28 81 94 24 
51 28 50 34 28 81 94 24 
51 28 50 34 28 81 94 24 
51 28 50 34 28 81 94 24 
51 28 50 34 28 81 94 24 
51 28 50 34 28 81 94 24 
51 28 50 34 28 81 94 24 
51 28 50 34 28 81 94 24 
51 28 50 34 28 81 94 24 
51 28 50 34 28 81 94 24 
51 28 50 34 28 81 94 24 
51 28 50 34 28 81 94 24 
51 28 50 34 28 81 94 24 
51 28 50 34 28 81 94 24 
51 28 50 34 28 81 94 24 
51 28 50 34 28 81 94 24 
51 28 50 34 28 81 94 24 
51 28 50 34 28 81 94 24 
51 28 50 34 28 81 94 24 
51 28 50 34 28 81 94 24 
51 28 50 34 28 81 94 24 
51 28 50 34 28 81 94 24 
51 28 50 34 28 81 94 24 
51 28 50 34 28 81 94 24 
51 28 50 34 28 81 94 24 
51 28 50 34 28 81 94 24 
51 28 50 34 28 81 94 24 
51 28 50 34 28 81 94 24 
51 28 50 34 28 81 94 24 
51 28 50 34 28 81 94 24 
51 28 50 34 28 81 94 24 
51 28 50 34 28 81 94 24 
51 28 50 34 28 81 94 24 
51 28 50 34 28 81 94 24 
51 28 50 34 28 81 94 24 
51 28 50 34 28 81 94 24 
51 28 50 34 28 81 94 24 
51 28 50 34 28 81 94 24 
51 28 50 34 28 81 94 24 
51 28 89 34 28 81 94 24 
51 28 89 34 28 81 94 24 
51 28 89 34 28 81 94 24 
51 28 89 34 28 81 94 24 
51 28 89 34 28 81 94 24 
51 28 89 34 28 81 94 24 
51 28 89 34 28 81 94 24 
51 28 89 34 28 81 94 24 
51 28 89 34 28 81 94 24 
51 28 89 34 28 81 94 24 
51 28 89 34 28 81 94 24 
51 28 89 34 28 81 94 24 
51 28 89 34 28 81 94 24 
51 28 89 34 28 81 94 24 
51 28 89 34 28 81 94 24 
51 28 89 34 28 81 94 24 
51 28 89 34 28 81 94 24 
51 28 89 34 28 81 94 24 
51 28 89 34 28 81 94 24 
51 28 89 34 28 81 94 24 
51 28 89 34 28 81 94 24 
51 28 89 34 28 81 94 24 
51 28 89 34 28 81 94 24 
51 28 89 34 28 81 94 24 
51 28 89 34 28 81 94 24 
51 28 89 34 28 81 94 24 
51 28 89 34 28 81 94 24 
51 28 89 34 28 81 94 24 
51 28 89 34 28 81 94 24 
51 28 89 34 28 81 94 24 
51 28 68 40 28 81 94 24 
51 28 68 40 28 81 94 24 
51 28 68 40 28 81 94 24 
51 28 68 40 28 81 94 24 
51 28 68 40 28 81 94 24 
51 28 68 40 28 81 94 24 
51 28 68 40 28 81 94 24 
51 28 68 40 28 81 94 24 
51 28 68 40 28 81 94 24 
51 28 68 40 28 81 94 24 
51 28 68 40 28 81 94 24 
51 28 68 40 28 81 94 24 
51 28 68 40 28 81 94 24 
51 28 68 40 28 81 94 24 
51 28 68 40 28 81 94 24 
51 28 68 40 28 81 94 24 
51 28 68 40 28 81 94 24 
51 28 68 40 28 81 94 24 
51 28 68 40 28 81 94 24 
51 28 68 40 28 81 94 24 
31 28 68 40 28 81 45 24 
31 28 68 40 28 81 45 24 
31 28 68 40 28 81 45 24 
31 28 68 40 28 81 45 24 
31 28 68 40 28 81 45 24 
31 28 68 40 28 81 45 24 
31 28 68 40 28 81 45 24 
31 28 68 40 28 81 45 24 
31 28 68 40 28 81 45 24 
31 28 68 40 28 81 45 24 
31 28 68 40 28 81 45 24 
