PE_L1_1 PE_L1_2 PE_L1_3 PE_L1_4 PE_L2_1 PE_L2_2 PE_L2_3 PE_L2_4 
74 80 76 85 78 75 75 87 
74 80 76 85 78 75 75 87 
74 80 76 85 78 75 75 87 
74 80 76 85 78 75 75 87 
74 80 76 85 78 75 75 87 
74 80 76 85 78 75 75 87 
74 80 76 85 78 75 75 87 
74 80 76 85 78 75 75 87 
74 80 76 85 78 75 75 87 
74 80 76 85 78 75 75 87 
74 80 76 85 78 75 75 79 
74 80 76 85 78 75 75 79 
74 80 76 85 78 75 75 79 
74 80 76 85 78 75 75 79 
74 80 76 85 78 75 75 79 
74 80 76 85 78 75 75 79 
74 80 76 85 78 75 75 79 
74 80 76 85 78 75 75 79 
74 80 76 85 78 75 75 79 
74 80 76 85 78 75 75 79 
74 80 76 85 78 75 75 75 
74 80 76 85 78 75 75 75 
74 80 76 85 78 75 75 75 
74 80 76 85 78 75 75 75 
74 80 76 85 78 75 75 75 
74 80 76 85 78 75 75 75 
74 80 76 85 78 75 75 75 
74 80 76 85 78 75 75 75 
74 80 76 85 78 75 75 75 
74 80 76 85 78 75 75 75 
74 78 76 78 78 75 80 75 
74 78 76 78 78 75 80 75 
74 78 76 78 78 75 80 75 
74 78 76 78 78 75 80 75 
74 78 76 78 78 75 80 75 
74 78 76 78 78 75 80 75 
74 78 76 78 78 75 80 75 
74 78 76 78 78 75 80 75 
74 78 76 78 78 75 80 75 
74 78 76 78 78 75 80 75 
74 78 76 78 78 75 80 75 
74 78 76 78 78 75 80 75 
74 78 76 78 78 75 80 75 
74 78 76 78 78 75 80 75 
74 78 76 78 78 75 80 75 
74 78 76 78 78 75 80 75 
74 78 76 78 78 75 80 75 
74 78 76 78 78 75 80 75 
74 78 76 78 78 75 80 75 
74 78 76 78 78 75 80 75 
74 82 76 78 78 75 80 75 
74 82 76 78 78 75 80 75 
74 82 76 78 78 75 80 75 
74 82 76 78 78 75 80 75 
74 82 76 78 78 75 80 75 
74 82 76 78 78 75 80 75 
74 82 76 78 78 75 80 75 
74 82 76 78 78 75 80 75 
74 82 76 78 78 75 80 75 
74 82 76 78 78 75 80 75 
74 82 76 78 78 75 80 75 
74 82 76 78 78 75 80 75 
74 82 76 78 78 75 80 75 
74 82 76 78 78 75 80 75 
74 82 76 78 78 75 80 75 
74 82 76 78 78 75 80 75 
74 82 76 78 78 75 80 75 
74 82 76 78 78 75 80 75 
74 82 76 78 78 75 80 75 
74 82 76 78 78 75 80 75 
74 82 76 78 78 75 80 75 
74 82 76 78 78 75 80 75 
74 82 76 78 78 75 80 75 
74 82 76 78 78 75 80 75 
74 82 76 78 78 75 80 75 
74 82 76 78 78 75 80 75 
74 82 76 78 78 75 80 75 
74 82 76 78 78 75 80 75 
74 82 76 78 78 75 80 75 
74 82 76 78 78 75 80 75 
74 82 76 78 78 75 80 75 
74 82 76 78 78 75 80 75 
