PE_L1_1 PE_L1_2 PE_L1_3 PE_L1_4 PE_L2_1 PE_L2_2 PE_L2_3 PE_L2_4 
29 35 40 35 37 30 43 31 
29 35 40 35 37 30 43 31 
29 35 40 35 37 30 43 31 
29 35 40 35 37 30 43 31 
29 35 40 35 37 30 43 31 
29 35 40 35 37 30 43 31 
29 35 40 35 37 30 43 31 
29 35 40 35 37 30 43 31 
29 35 40 35 37 30 43 31 
29 35 40 35 37 30 43 31 
29 40 40 35 37 30 31 31 
29 40 40 35 37 30 31 31 
29 40 40 35 37 30 31 31 
29 40 40 35 37 30 31 31 
29 40 40 35 37 30 31 31 
29 40 40 35 37 30 31 31 
29 40 40 35 37 30 31 31 
29 40 40 35 37 30 31 31 
29 40 40 35 37 30 31 31 
29 40 40 35 37 30 31 31 
29 40 40 35 37 30 31 31 
29 40 40 35 37 30 31 31 
29 40 40 35 37 30 31 31 
29 40 40 35 37 30 31 31 
29 40 40 35 37 30 31 31 
29 40 40 35 37 30 31 31 
29 40 40 35 37 30 31 31 
29 40 40 35 37 30 31 31 
29 40 40 35 37 30 31 31 
29 40 40 35 37 30 31 31 
29 40 32 35 37 30 31 31 
29 40 32 35 37 30 31 31 
29 40 32 35 37 30 31 31 
29 40 32 35 37 30 31 31 
29 40 32 35 37 30 31 31 
29 40 32 35 37 30 31 31 
29 40 32 35 37 30 31 31 
29 40 32 35 37 30 31 31 
29 40 32 35 37 30 31 31 
29 40 32 35 37 30 31 31 
29 40 32 35 37 30 31 31 
29 40 32 35 37 30 31 31 
29 40 32 35 37 30 31 31 
29 40 32 35 37 30 31 31 
29 40 32 35 37 30 31 31 
29 40 32 35 37 30 31 31 
29 40 32 35 37 30 31 31 
29 40 32 35 37 30 31 31 
29 40 32 35 37 30 31 31 
29 40 32 35 37 30 31 31 
29 40 32 35 37 30 31 31 
29 40 32 35 37 30 31 31 
29 40 32 35 37 30 31 31 
29 40 32 35 37 30 31 31 
29 40 32 35 37 30 31 31 
29 40 32 35 37 30 31 31 
29 40 32 35 37 30 31 31 
29 40 32 35 37 30 31 31 
29 40 32 35 37 30 31 31 
29 40 32 35 37 30 31 31 
29 40 32 35 0 30 31 31 
29 40 32 35 0 30 31 31 
29 40 32 35 0 30 31 31 
29 40 32 35 0 30 31 31 
29 40 32 35 0 30 31 31 
29 40 32 35 0 30 31 31 
29 40 32 35 0 30 31 31 
29 40 32 35 0 30 31 31 
29 40 32 35 0 30 31 31 
29 40 32 35 0 30 31 31 
29 40 32 35 0 30 31 31 
29 40 32 35 0 30 31 31 
29 40 32 35 0 30 31 31 
29 40 32 35 0 30 31 31 
29 40 32 35 0 30 31 31 
29 40 32 35 0 30 31 31 
29 40 32 35 0 30 31 31 
29 40 32 35 0 30 31 31 
29 40 32 35 0 30 31 31 
29 40 32 35 0 30 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 32 35 0 0 31 31 
29 40 36 35 0 0 31 31 
29 40 36 35 0 0 31 31 
29 40 36 35 0 0 31 31 
29 40 36 35 0 0 31 31 
29 40 36 35 0 0 31 31 
29 40 36 35 0 0 31 31 
29 40 36 35 0 0 31 31 
29 40 36 35 0 0 31 31 
29 40 36 35 0 0 31 31 
29 40 36 35 0 0 31 31 
29 40 36 35 0 0 35 31 
29 40 36 35 0 0 35 31 
29 40 36 35 0 0 35 31 
29 40 36 35 0 0 35 31 
29 40 36 35 0 0 35 31 
29 40 36 35 0 0 35 31 
29 40 36 35 0 0 35 31 
29 40 36 35 0 0 35 31 
29 40 36 35 0 0 35 31 
29 40 36 35 0 0 35 31 
29 40 36 35 0 0 35 31 
29 40 36 35 0 0 35 31 
29 40 36 35 0 0 35 31 
29 40 36 35 0 0 35 31 
29 40 36 35 0 0 35 31 
29 40 36 35 0 0 35 31 
29 40 36 35 0 0 35 31 
29 40 36 35 0 0 35 31 
29 40 36 35 0 0 35 31 
29 40 36 35 0 0 35 31 
29 40 33 35 0 0 35 0 
29 40 33 35 0 0 35 0 
29 40 33 35 0 0 35 0 
