PE_L1_1 PE_L1_2 PE_L1_3 PE_L1_4 PE_L2_1 PE_L2_2 PE_L2_3 PE_L2_4 
0 0 0 0 23 54 84 64 
0 0 0 0 23 54 84 64 
0 0 0 0 23 54 84 64 
0 0 0 0 23 54 84 64 
0 0 0 0 23 54 84 64 
0 0 0 0 23 54 84 64 
0 0 0 0 23 54 84 64 
0 0 0 0 23 54 84 64 
0 0 0 0 23 54 84 64 
0 0 0 0 23 54 84 64 
0 0 0 0 0 54 85 0 
0 0 0 0 0 54 85 0 
0 0 0 0 0 54 85 0 
0 0 0 0 0 54 85 0 
0 0 0 0 0 54 85 0 
0 0 0 0 0 54 85 0 
0 0 0 0 0 54 85 0 
0 0 0 0 0 54 85 0 
0 0 0 0 0 54 85 0 
0 0 0 0 0 54 85 0 
32 34 0 31 20 0 31 0 
32 34 0 31 20 0 31 0 
32 34 0 31 20 0 31 0 
32 34 0 31 20 0 31 0 
32 34 0 31 20 0 31 0 
32 34 0 31 20 0 31 0 
32 34 0 31 20 0 31 0 
32 34 0 31 20 0 31 0 
32 34 0 31 20 0 31 0 
32 34 0 31 20 0 31 0 
32 34 0 38 20 0 31 0 
32 34 0 38 20 0 31 0 
32 34 0 38 20 0 31 0 
32 34 0 38 20 0 31 0 
32 34 0 38 20 0 31 0 
32 34 0 38 20 0 31 0 
32 34 0 38 20 0 31 0 
32 34 0 38 20 0 31 0 
32 34 0 38 20 0 31 0 
32 34 0 38 20 0 31 0 
32 34 0 38 20 0 31 0 
32 34 0 38 20 0 31 0 
32 34 0 38 20 0 31 0 
32 34 0 38 20 0 31 0 
32 34 0 38 20 0 31 0 
32 34 0 38 20 0 31 0 
32 34 0 38 20 0 31 0 
32 34 0 38 20 0 31 0 
32 34 0 38 20 0 31 0 
32 34 0 38 20 0 31 0 
50 34 0 38 34 0 31 28 
50 34 0 38 34 0 31 28 
50 34 0 38 34 0 31 28 
50 34 0 38 34 0 31 28 
50 34 0 38 34 0 31 28 
50 34 0 38 34 0 31 28 
50 34 0 38 34 0 31 28 
50 34 0 38 34 0 31 28 
50 34 0 38 34 0 31 28 
50 34 0 38 34 0 31 28 
50 34 0 38 34 0 31 28 
50 34 0 38 34 0 31 28 
50 34 0 38 34 0 31 28 
50 34 0 38 34 0 31 28 
50 34 0 38 34 0 31 28 
50 34 0 38 34 0 31 28 
50 34 0 38 34 0 31 28 
50 34 0 38 34 0 31 28 
50 34 0 38 34 0 31 28 
50 34 0 38 34 0 31 28 
50 34 0 38 34 0 45 28 
50 34 0 38 34 0 45 28 
50 34 0 38 34 0 45 28 
50 34 0 38 34 0 45 28 
50 34 0 38 34 0 45 28 
50 34 0 38 34 0 45 28 
50 34 0 38 34 0 45 28 
50 34 0 38 34 0 45 28 
50 34 0 38 34 0 45 28 
50 34 0 38 34 0 45 28 
50 34 0 38 34 0 45 28 
50 34 0 38 34 0 45 28 
50 34 0 38 34 0 45 28 
50 34 0 38 34 0 45 28 
50 34 0 38 34 0 45 28 
50 34 0 38 34 0 45 28 
50 34 0 38 34 0 45 28 
50 34 0 38 34 0 45 28 
50 34 0 38 34 0 45 28 
50 34 0 38 34 0 45 28 
50 34 0 38 34 0 45 28 
50 34 0 38 34 0 45 28 
50 34 0 38 34 0 45 28 
50 34 0 38 34 0 45 28 
50 34 0 38 34 0 45 28 
50 34 0 38 34 0 45 28 
50 34 0 38 34 0 45 28 
50 34 0 38 34 0 45 28 
50 34 0 38 34 0 45 28 
50 34 0 38 34 0 45 28 
50 34 0 38 34 0 45 28 
50 34 0 38 34 0 45 28 
50 34 0 38 34 0 45 28 
50 34 0 38 34 0 45 28 
50 34 0 38 34 0 45 28 
50 34 0 38 34 0 45 28 
50 34 0 38 34 0 45 28 
50 34 0 38 34 0 45 28 
50 34 0 38 34 0 45 28 
50 34 0 38 34 0 45 28 
50 34 0 38 0 0 45 28 
50 34 0 38 0 0 45 28 
50 34 0 38 0 0 45 28 
50 34 0 38 0 0 45 28 
50 34 0 38 0 0 45 28 
50 34 0 38 0 0 45 28 
50 34 0 38 0 0 45 28 
50 34 0 38 0 0 45 28 
50 34 0 38 0 0 45 28 
50 34 0 38 0 0 45 28 
50 34 0 38 0 0 45 28 
50 34 0 38 0 0 45 28 
50 34 0 38 0 0 45 28 
50 34 0 38 0 0 45 28 
50 34 0 38 0 0 45 28 
50 34 0 38 0 0 45 28 
50 34 0 38 0 0 45 28 
50 34 0 38 0 0 45 28 
50 34 0 38 0 0 45 28 
50 34 0 38 0 0 45 28 
50 34 0 38 0 0 45 28 
50 34 0 38 0 0 45 28 
50 34 0 38 0 0 45 28 
50 34 0 38 0 0 45 28 
50 34 0 38 0 0 45 28 
50 34 0 38 0 0 45 28 
50 34 0 38 0 0 45 28 
50 34 0 38 0 0 45 28 
50 34 0 38 0 0 45 28 
50 34 0 38 0 0 45 28 
50 34 0 0 0 0 45 28 
50 34 0 0 0 0 45 28 
50 34 0 0 0 0 45 28 
50 34 0 0 0 0 45 28 
50 34 0 0 0 0 45 28 
50 34 0 0 0 0 45 28 
50 34 0 0 0 0 45 28 
50 34 0 0 0 0 45 28 
50 34 0 0 0 0 45 28 
50 34 0 0 0 0 45 28 
50 34 0 0 0 0 0 28 
50 34 0 0 0 0 0 28 
50 34 0 0 0 0 0 28 
50 34 0 0 0 0 0 28 
50 34 0 0 0 0 0 28 
50 34 0 0 0 0 0 28 
50 34 0 0 0 0 0 28 
50 34 0 0 0 0 0 28 
50 34 0 0 0 0 0 28 
50 34 0 0 0 0 0 28 
50 34 0 0 0 0 0 28 
50 34 0 0 0 0 0 28 
50 34 0 0 0 0 0 28 
50 34 0 0 0 0 0 28 
50 34 0 0 0 0 0 28 
50 34 0 0 0 0 0 28 
50 34 0 0 0 0 0 28 
50 34 0 0 0 0 0 28 
50 34 0 0 0 0 0 28 
50 34 0 0 0 0 0 28 
0 0 0 0 0 89 0 28 
0 0 0 0 0 89 0 28 
0 0 0 0 0 89 0 28 
0 0 0 0 0 89 0 28 
0 0 0 0 0 89 0 28 
0 0 0 0 0 89 0 28 
0 0 0 0 0 89 0 28 
0 0 0 0 0 89 0 28 
0 0 0 0 0 89 0 28 
0 0 0 0 0 89 0 28 
0 0 0 0 0 89 0 28 
0 0 0 0 0 89 0 28 
0 0 0 0 0 89 0 28 
0 0 0 0 0 89 0 28 
0 0 0 0 0 89 0 28 
0 0 0 0 0 89 0 28 
0 0 0 0 0 89 0 28 
0 0 0 0 0 89 0 28 
0 0 0 0 0 89 0 28 
0 0 0 0 0 89 0 28 
0 0 0 0 0 89 0 28 
0 0 0 0 0 89 0 28 
0 0 0 0 0 89 0 28 
0 0 0 0 0 89 0 28 
0 0 0 0 0 89 0 28 
0 0 0 0 0 89 0 28 
0 0 0 0 0 89 0 28 
0 0 0 0 0 89 0 28 
0 0 0 0 0 89 0 28 
0 0 0 0 0 89 0 28 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
0 0 0 0 87 68 54 81 
