PE_L1_1 PE_L1_2 PE_L1_3 PE_L1_4 PE_L2_1 PE_L2_2 PE_L2_3 PE_L2_4 
0 23 0 0 0 31 34 32 
0 23 0 0 0 31 34 32 
0 23 0 0 0 31 34 32 
0 23 0 0 0 31 34 32 
0 23 0 0 0 31 34 32 
0 23 0 0 0 31 34 32 
0 23 0 0 0 31 34 32 
0 23 0 0 0 31 34 32 
0 23 0 0 0 31 34 32 
0 23 0 0 0 31 34 32 
0 0 0 0 64 31 34 32 
0 0 0 0 64 31 34 32 
0 0 0 0 64 31 34 32 
0 0 0 0 64 31 34 32 
0 0 0 0 64 31 34 32 
0 0 0 0 64 31 34 32 
0 0 0 0 64 31 34 32 
0 0 0 0 64 31 34 32 
0 0 0 0 64 31 34 32 
0 0 0 0 64 31 34 32 
0 0 0 0 79 31 34 32 
0 0 0 0 79 31 34 32 
0 0 0 0 79 31 34 32 
0 0 0 0 79 31 34 32 
0 0 0 0 79 31 34 32 
0 0 0 0 79 31 34 32 
0 0 0 0 79 31 34 32 
0 0 0 0 79 31 34 32 
0 0 0 0 79 31 34 32 
0 0 0 0 79 31 34 32 
0 0 0 0 79 31 34 81 
0 0 0 0 79 31 34 81 
0 0 0 0 79 31 34 81 
0 0 0 0 79 31 34 81 
0 0 0 0 79 31 34 81 
0 0 0 0 79 31 34 81 
0 0 0 0 79 31 34 81 
0 0 0 0 79 31 34 81 
0 0 0 0 79 31 34 81 
0 0 0 0 79 31 34 81 
0 0 0 0 79 31 34 81 
0 0 0 0 79 31 34 81 
0 0 0 0 79 31 34 81 
0 0 0 0 79 31 34 81 
0 0 0 0 79 31 34 81 
0 0 0 0 79 31 34 81 
0 0 0 0 79 31 34 81 
0 0 0 0 79 31 34 81 
0 0 0 0 79 31 34 81 
0 0 0 0 79 31 34 81 
0 0 0 0 79 31 34 81 
0 0 0 0 79 31 34 81 
0 0 0 0 79 31 34 81 
0 0 0 0 79 31 34 81 
0 0 0 0 79 31 34 81 
0 0 0 0 79 31 34 81 
0 0 0 0 79 31 34 81 
