PE_L1_1 PE_L1_2 PE_L1_3 PE_L1_4 PE_L2_1 PE_L2_2 PE_L2_3 PE_L2_4 PE_L3_1 PE_L3_2 PE_L3_3 PE_L3_4 
0 0 0 0 34 0 0 0 31 32 23 31 
0 0 0 0 34 0 0 0 31 32 23 31 
0 0 0 0 34 0 0 0 31 32 23 31 
0 0 0 0 34 0 0 0 31 32 23 31 
0 0 0 0 34 0 0 0 31 32 23 31 
0 0 0 0 34 0 0 0 31 32 23 31 
0 0 0 0 34 0 0 0 31 32 23 31 
0 0 0 0 34 0 0 0 31 32 23 31 
0 0 0 0 34 0 0 0 31 32 23 31 
0 0 0 0 34 0 0 0 31 32 23 31 
0 0 0 0 34 0 0 0 34 32 28 31 
0 0 0 0 34 0 0 0 34 32 28 31 
0 0 0 0 34 0 0 0 34 32 28 31 
0 0 0 0 34 0 0 0 34 32 28 31 
0 0 0 0 34 0 0 0 34 32 28 31 
0 0 0 0 34 0 0 0 34 32 28 31 
0 0 0 0 34 0 0 0 34 32 28 31 
0 0 0 0 34 0 0 0 34 32 28 31 
0 0 0 0 34 0 0 0 34 32 28 31 
0 0 0 0 34 0 0 0 34 32 28 31 
0 0 0 0 34 0 0 0 34 32 28 31 
0 0 0 0 34 0 0 0 34 32 28 31 
0 0 0 0 34 0 0 0 34 32 28 31 
0 0 0 0 34 0 0 0 34 32 28 31 
0 0 0 0 34 0 0 0 34 32 28 31 
0 0 0 0 34 0 0 0 34 32 28 31 
0 0 0 0 34 0 0 0 34 32 28 31 
0 0 0 0 34 0 0 0 34 32 28 31 
0 0 0 0 34 0 0 0 34 32 28 31 
0 0 0 0 34 0 0 0 34 32 28 31 
0 0 0 0 34 0 0 0 34 20 28 31 
0 0 0 0 34 0 0 0 34 20 28 31 
0 0 0 0 34 0 0 0 34 20 28 31 
0 0 0 0 34 0 0 0 34 20 28 31 
0 0 0 0 34 0 0 0 34 20 28 31 
0 0 0 0 34 0 0 0 34 20 28 31 
0 0 0 0 34 0 0 0 34 20 28 31 
0 0 0 0 34 0 0 0 34 20 28 31 
0 0 0 0 34 0 0 0 34 20 28 31 
0 0 0 0 34 0 0 0 34 20 28 31 
0 0 0 0 34 0 0 0 34 20 28 31 
0 0 0 0 34 0 0 0 34 20 28 31 
0 0 0 0 34 0 0 0 34 20 28 31 
0 0 0 0 34 0 0 0 34 20 28 31 
0 0 0 0 34 0 0 0 34 20 28 31 
0 0 0 0 34 0 0 0 34 20 28 31 
0 0 0 0 34 0 0 0 34 20 28 31 
0 0 0 0 34 0 0 0 34 20 28 31 
0 0 0 0 34 0 0 0 34 20 28 31 
0 0 0 0 34 0 0 0 34 20 28 31 
0 0 0 0 34 0 0 0 34 20 28 26 
0 0 0 0 34 0 0 0 34 20 28 26 
0 0 0 0 34 0 0 0 34 20 28 26 
0 0 0 0 34 0 0 0 34 20 28 26 
0 0 0 0 34 0 0 0 34 20 28 26 
0 0 0 0 34 0 0 0 34 20 28 26 
0 0 0 0 34 0 0 0 34 20 28 26 
0 0 0 0 34 0 0 0 34 20 28 26 
0 0 0 0 34 0 0 0 34 20 28 26 
0 0 0 0 34 0 0 0 34 20 28 26 
0 0 0 0 34 0 0 0 34 35 28 26 
0 0 0 0 34 0 0 0 34 35 28 26 
0 0 0 0 34 0 0 0 34 35 28 26 
0 0 0 0 34 0 0 0 34 35 28 26 
0 0 0 0 34 0 0 0 34 35 28 26 
0 0 0 0 34 0 0 0 34 35 28 26 
0 0 0 0 34 0 0 0 34 35 28 26 
0 0 0 0 34 0 0 0 34 35 28 26 
0 0 0 0 34 0 0 0 34 35 28 26 
0 0 0 0 34 0 0 0 34 35 28 26 
0 0 0 0 34 0 0 0 35 35 28 26 
0 0 0 0 34 0 0 0 35 35 28 26 
0 0 0 0 34 0 0 0 35 35 28 26 
0 0 0 0 34 0 0 0 35 35 28 26 
0 0 0 0 34 0 0 0 35 35 28 26 
0 0 0 0 34 0 0 0 35 35 28 26 
0 0 0 0 34 0 0 0 35 35 28 26 
0 0 0 0 34 0 0 0 35 35 28 26 
0 0 0 0 34 0 0 0 35 35 28 26 
0 0 0 0 34 0 0 0 35 35 28 26 
0 0 0 0 34 0 0 0 35 35 28 26 
0 0 0 0 34 0 0 0 35 35 28 26 
0 0 0 0 34 0 0 0 35 35 28 26 
0 0 0 0 34 0 0 0 35 35 28 26 
0 0 0 0 34 0 0 0 35 35 28 26 
0 0 0 0 34 0 0 0 35 35 28 26 
0 0 0 0 34 0 0 0 35 35 28 26 
0 0 0 0 34 0 0 0 35 35 28 26 
0 0 0 0 34 0 0 0 35 35 28 26 
0 0 0 0 34 0 0 0 35 35 28 26 
0 0 0 0 34 0 0 0 35 35 28 26 
0 0 0 0 34 0 0 0 35 35 28 26 
0 0 0 0 34 0 0 0 35 35 28 26 
0 0 0 0 34 0 0 0 35 35 28 26 
0 0 0 0 34 0 0 0 35 35 28 26 
0 0 0 0 34 0 0 0 35 35 28 26 
0 0 0 0 34 0 0 0 35 35 28 26 
0 0 0 0 34 0 0 0 35 35 28 26 
0 0 0 0 34 0 0 0 35 35 28 26 
0 0 0 0 34 0 0 0 35 35 28 26 
0 0 0 0 34 0 0 0 35 35 28 26 
0 0 0 0 34 0 0 0 35 35 28 26 
0 0 0 0 34 0 0 0 35 35 28 26 
0 0 0 0 34 0 0 0 35 35 28 26 
0 0 0 0 34 0 0 0 35 35 28 26 
0 0 0 0 34 0 0 0 35 35 28 26 
0 0 0 0 34 0 0 0 35 35 28 26 
0 0 0 0 34 0 0 0 35 35 28 26 
0 0 0 0 34 0 0 0 35 35 28 26 
0 0 0 0 34 0 0 0 35 35 28 26 
0 0 0 0 34 0 0 0 35 35 28 33 
0 0 0 0 34 0 0 0 35 35 28 33 
0 0 0 0 34 0 0 0 35 35 28 33 
0 0 0 0 34 0 0 0 35 35 28 33 
0 0 0 0 34 0 0 0 35 35 28 33 
0 0 0 0 34 0 0 0 35 35 28 33 
0 0 0 0 34 0 0 0 35 35 28 33 
0 0 0 0 34 0 0 0 35 35 28 33 
0 0 0 0 34 0 0 0 35 35 28 33 
0 0 0 0 34 0 0 0 35 35 28 33 
0 0 0 0 34 0 0 0 35 35 28 33 
0 0 0 0 34 0 0 0 35 35 28 33 
0 0 0 0 34 0 0 0 35 35 28 33 
0 0 0 0 34 0 0 0 35 35 28 33 
0 0 0 0 34 0 0 0 35 35 28 33 
0 0 0 0 34 0 0 0 35 35 28 33 
0 0 0 0 34 0 0 0 35 35 28 33 
0 0 0 0 34 0 0 0 35 35 28 33 
0 0 0 0 34 0 0 0 35 35 28 33 
0 0 0 0 34 0 0 0 35 35 28 33 
0 0 0 0 34 0 0 0 35 35 28 33 
0 0 0 0 34 0 0 0 35 35 28 33 
0 0 0 0 34 0 0 0 35 35 28 33 
0 0 0 0 34 0 0 0 35 35 28 33 
0 0 0 0 34 0 0 0 35 35 28 33 
0 0 0 0 34 0 0 0 35 35 28 33 
0 0 0 0 34 0 0 0 35 35 28 33 
0 0 0 0 34 0 0 0 35 35 28 33 
0 0 0 0 34 0 0 0 35 35 28 33 
0 0 0 0 34 0 0 0 35 35 28 33 
0 0 0 0 34 0 0 0 35 35 28 33 
0 0 0 0 34 0 0 0 35 35 28 33 
0 0 0 0 34 0 0 0 35 35 28 33 
0 0 0 0 34 0 0 0 35 35 28 33 
0 0 0 0 34 0 0 0 35 35 28 33 
0 0 0 0 34 0 0 0 35 35 28 33 
0 0 0 0 34 0 0 0 35 35 28 33 
0 0 0 0 34 0 0 0 35 35 28 33 
0 0 0 0 34 0 0 0 35 35 28 33 
