PE_L1_1 PE_L1_2 PE_L1_3 PE_L1_4 PE_L2_1 PE_L2_2 PE_L2_3 PE_L2_4 PE_L3_1 PE_L3_2 PE_L3_3 PE_L3_4 
0 0 0 0 34 31 32 23 31 34 28 45 
0 0 0 0 34 31 32 23 31 34 28 45 
0 0 0 0 34 31 32 23 31 34 28 45 
0 0 0 0 34 31 32 23 31 34 28 45 
0 0 0 0 34 31 32 23 31 34 28 45 
0 0 0 0 34 31 32 23 31 34 28 45 
0 0 0 0 34 31 32 23 31 34 28 45 
0 0 0 0 34 31 32 23 31 34 28 45 
0 0 0 0 34 31 32 23 31 34 28 45 
0 0 0 0 34 31 32 23 31 34 28 45 
0 0 0 0 34 31 32 28 31 34 28 45 
0 0 0 0 34 31 32 28 31 34 28 45 
0 0 0 0 34 31 32 28 31 34 28 45 
0 0 0 0 34 31 32 28 31 34 28 45 
0 0 0 0 34 31 32 28 31 34 28 45 
0 0 0 0 34 31 32 28 31 34 28 45 
0 0 0 0 34 31 32 28 31 34 28 45 
0 0 0 0 34 31 32 28 31 34 28 45 
0 0 0 0 34 31 32 28 31 34 28 45 
0 0 0 0 34 31 32 28 31 34 28 45 
0 0 0 0 34 31 32 28 31 34 28 45 
0 0 0 0 34 31 32 28 31 34 28 45 
0 0 0 0 34 31 32 28 31 34 28 45 
0 0 0 0 34 31 32 28 31 34 28 45 
0 0 0 0 34 31 32 28 31 34 28 45 
0 0 0 0 34 31 32 28 31 34 28 45 
0 0 0 0 34 31 32 28 31 34 28 45 
0 0 0 0 34 31 32 28 31 34 28 45 
0 0 0 0 34 31 32 28 31 34 28 45 
0 0 0 0 34 31 32 28 31 34 28 45 
0 0 0 0 34 31 20 28 31 34 28 45 
0 0 0 0 34 31 20 28 31 34 28 45 
0 0 0 0 34 31 20 28 31 34 28 45 
0 0 0 0 34 31 20 28 31 34 28 45 
0 0 0 0 34 31 20 28 31 34 28 45 
0 0 0 0 34 31 20 28 31 34 28 45 
0 0 0 0 34 31 20 28 31 34 28 45 
0 0 0 0 34 31 20 28 31 34 28 45 
0 0 0 0 34 31 20 28 31 34 28 45 
0 0 0 0 34 31 20 28 31 34 28 45 
0 0 0 0 34 31 20 28 31 34 28 45 
0 0 0 0 34 31 20 28 31 34 28 45 
0 0 0 0 34 31 20 28 31 34 28 45 
0 0 0 0 34 31 20 28 31 34 28 45 
0 0 0 0 34 31 20 28 31 34 28 45 
0 0 0 0 34 31 20 28 31 34 28 45 
0 0 0 0 34 31 20 28 31 34 28 45 
0 0 0 0 34 31 20 28 31 34 28 45 
0 0 0 0 34 31 20 28 31 34 28 45 
0 0 0 0 34 31 20 28 31 34 28 45 
0 0 0 0 34 31 20 28 26 34 28 45 
0 0 0 0 34 31 20 28 26 34 28 45 
0 0 0 0 34 31 20 28 26 34 28 45 
0 0 0 0 34 31 20 28 26 34 28 45 
0 0 0 0 34 31 20 28 26 34 28 45 
0 0 0 0 34 31 20 28 26 34 28 45 
0 0 0 0 34 31 20 28 26 34 28 45 
0 0 0 0 34 31 20 28 26 34 28 45 
0 0 0 0 34 31 20 28 26 34 28 45 
0 0 0 0 34 31 20 28 26 34 28 45 
0 0 0 0 34 31 25 28 26 42 28 45 
0 0 0 0 34 31 25 28 26 42 28 45 
0 0 0 0 34 31 25 28 26 42 28 45 
0 0 0 0 34 31 25 28 26 42 28 45 
0 0 0 0 34 31 25 28 26 42 28 45 
0 0 0 0 34 31 25 28 26 42 28 45 
0 0 0 0 34 31 25 28 26 42 28 45 
0 0 0 0 34 31 25 28 26 42 28 45 
0 0 0 0 34 31 25 28 26 42 28 45 
0 0 0 0 34 31 25 28 26 42 28 45 
0 0 0 0 34 31 25 28 26 42 28 45 
0 0 0 0 34 31 25 28 26 42 28 45 
0 0 0 0 34 31 25 28 26 42 28 45 
0 0 0 0 34 31 25 28 26 42 28 45 
0 0 0 0 34 31 25 28 26 42 28 45 
0 0 0 0 34 31 25 28 26 42 28 45 
0 0 0 0 34 31 25 28 26 42 28 45 
0 0 0 0 34 31 25 28 26 42 28 45 
0 0 0 0 34 31 25 28 26 42 28 45 
0 0 0 0 34 31 25 28 26 42 28 45 
0 0 0 0 34 31 25 28 26 25 28 30 
0 0 0 0 34 31 25 28 26 25 28 30 
0 0 0 0 34 31 25 28 26 25 28 30 
0 0 0 0 34 31 25 28 26 25 28 30 
0 0 0 0 34 31 25 28 26 25 28 30 
0 0 0 0 34 31 25 28 26 25 28 30 
0 0 0 0 34 31 25 28 26 25 28 30 
0 0 0 0 34 31 25 28 26 25 28 30 
0 0 0 0 34 31 25 28 26 25 28 30 
0 0 0 0 34 31 25 28 26 25 28 30 
0 0 0 0 34 31 25 28 26 25 28 30 
0 0 0 0 34 31 25 28 26 25 28 30 
0 0 0 0 34 31 25 28 26 25 28 30 
0 0 0 0 34 31 25 28 26 25 28 30 
0 0 0 0 34 31 25 28 26 25 28 30 
0 0 0 0 34 31 25 28 26 25 28 30 
0 0 0 0 34 31 25 28 26 25 28 30 
0 0 0 0 34 31 25 28 26 25 28 30 
0 0 0 0 34 31 25 28 26 25 28 30 
0 0 0 0 34 31 25 28 26 25 28 30 
0 0 0 0 34 31 25 28 26 25 28 30 
0 0 0 0 34 31 25 28 26 25 28 30 
0 0 0 0 34 31 25 28 26 25 28 30 
0 0 0 0 34 31 25 28 26 25 28 30 
0 0 0 0 34 31 25 28 26 25 28 30 
0 0 0 0 34 31 25 28 26 25 28 30 
0 0 0 0 34 31 25 28 26 25 28 30 
0 0 0 0 34 31 25 28 26 25 28 30 
0 0 0 0 34 31 25 28 26 25 28 30 
0 0 0 0 34 31 25 28 26 25 28 30 
0 0 0 0 34 31 25 28 48 25 28 32 
0 0 0 0 34 31 25 28 48 25 28 32 
0 0 0 0 34 31 25 28 48 25 28 32 
0 0 0 0 34 31 25 28 48 25 28 32 
0 0 0 0 34 31 25 28 48 25 28 32 
0 0 0 0 34 31 25 28 48 25 28 32 
0 0 0 0 34 31 25 28 48 25 28 32 
0 0 0 0 34 31 25 28 48 25 28 32 
0 0 0 0 34 31 25 28 48 25 28 32 
0 0 0 0 34 31 25 28 48 25 28 32 
0 0 0 0 34 31 25 28 48 25 28 32 
0 0 0 0 34 31 25 28 48 25 28 32 
0 0 0 0 34 31 25 28 48 25 28 32 
0 0 0 0 34 31 25 28 48 25 28 32 
0 0 0 0 34 31 25 28 48 25 28 32 
0 0 0 0 34 31 25 28 48 25 28 32 
0 0 0 0 34 31 25 28 48 25 28 32 
0 0 0 0 34 31 25 28 48 25 28 32 
0 0 0 0 34 31 25 28 48 25 28 32 
0 0 0 0 34 31 25 28 48 25 28 32 
0 0 0 0 34 31 25 28 31 25 28 32 
0 0 0 0 34 31 25 28 31 25 28 32 
0 0 0 0 34 31 25 28 31 25 28 32 
0 0 0 0 34 31 25 28 31 25 28 32 
0 0 0 0 34 31 25 28 31 25 28 32 
0 0 0 0 34 31 25 28 31 25 28 32 
0 0 0 0 34 31 25 28 31 25 28 32 
0 0 0 0 34 31 25 28 31 25 28 32 
0 0 0 0 34 31 25 28 31 25 28 32 
0 0 0 0 34 31 25 28 31 25 28 32 
0 0 0 0 34 31 25 28 31 25 28 32 
0 0 0 0 34 31 25 28 31 25 28 32 
0 0 0 0 34 31 25 28 31 25 28 32 
0 0 0 0 34 31 25 28 31 25 28 32 
0 0 0 0 34 31 25 28 31 25 28 32 
0 0 0 0 34 31 25 28 31 25 28 32 
0 0 0 0 34 31 25 28 31 25 28 32 
0 0 0 0 34 31 25 28 31 25 28 32 
0 0 0 0 34 31 25 28 31 25 28 32 
0 0 0 0 34 31 25 28 31 25 28 32 
24 27 26 20 31 31 25 28 31 25 28 32 
24 27 26 20 31 31 25 28 31 25 28 32 
24 27 26 20 31 31 25 28 31 25 28 32 
24 27 26 20 31 31 25 28 31 25 28 32 
24 27 26 20 31 31 25 28 31 25 28 32 
24 27 26 20 31 31 25 28 31 25 28 32 
24 27 26 20 31 31 25 28 31 25 28 32 
24 27 26 20 31 31 25 28 31 25 28 32 
24 27 26 20 31 31 25 28 31 25 28 32 
24 27 26 20 31 31 25 28 31 25 28 32 
24 27 26 20 31 31 25 28 31 25 28 32 
24 27 26 20 31 31 25 28 31 25 28 32 
24 27 26 20 31 31 25 28 31 25 28 32 
24 27 26 20 31 31 25 28 31 25 28 32 
24 27 26 20 31 31 25 28 31 25 28 32 
24 27 26 20 31 31 25 28 31 25 28 32 
24 27 26 20 31 31 25 28 31 25 28 32 
24 27 26 20 31 31 25 28 31 25 28 32 
24 27 26 20 31 31 25 28 31 25 28 32 
24 27 26 20 31 31 25 28 31 25 28 32 
24 27 26 20 23 31 25 28 31 25 28 32 
24 27 26 20 23 31 25 28 31 25 28 32 
24 27 26 20 23 31 25 28 31 25 28 32 
24 27 26 20 23 31 25 28 31 25 28 32 
24 27 26 20 23 31 25 28 31 25 28 32 
24 27 26 20 23 31 25 28 31 25 28 32 
24 27 26 20 23 31 25 28 31 25 28 32 
24 27 26 20 23 31 25 28 31 25 28 32 
24 27 26 20 23 31 25 28 31 25 28 32 
24 27 26 20 23 31 25 28 31 25 28 32 
24 27 26 20 23 31 25 28 31 25 28 25 
24 27 26 20 23 31 25 28 31 25 28 25 
24 27 26 20 23 31 25 28 31 25 28 25 
24 27 26 20 23 31 25 28 31 25 28 25 
24 27 26 20 23 31 25 28 31 25 28 25 
24 27 26 20 23 31 25 28 31 25 28 25 
24 27 26 20 23 31 25 28 31 25 28 25 
24 27 26 20 23 31 25 28 31 25 28 25 
24 27 26 20 23 31 25 28 31 25 28 25 
24 27 26 20 23 31 25 28 31 25 28 25 
24 27 26 20 23 31 25 26 31 25 28 25 
24 27 26 20 23 31 25 26 31 25 28 25 
24 27 26 20 23 31 25 26 31 25 28 25 
24 27 26 20 23 31 25 26 31 25 28 25 
24 27 26 20 23 31 25 26 31 25 28 25 
24 27 26 20 23 31 25 26 31 25 28 25 
24 27 26 20 23 31 25 26 31 25 28 25 
24 27 26 20 23 31 25 26 31 25 28 25 
24 27 26 20 23 31 25 26 31 25 28 25 
24 27 26 20 23 31 25 26 31 25 28 25 
24 27 29 20 23 31 25 26 31 25 28 27 
24 27 29 20 23 31 25 26 31 25 28 27 
24 27 29 20 23 31 25 26 31 25 28 27 
24 27 29 20 23 31 25 26 31 25 28 27 
24 27 29 20 23 31 25 26 31 25 28 27 
24 27 29 20 23 31 25 26 31 25 28 27 
24 27 29 20 23 31 25 26 31 25 28 27 
24 27 29 20 23 31 25 26 31 25 28 27 
24 27 29 20 23 31 25 26 31 25 28 27 
24 27 29 20 23 31 25 26 31 25 28 27 
24 27 29 24 29 22 20 26 31 25 28 27 
24 27 29 24 29 22 20 26 31 25 28 27 
24 27 29 24 29 22 20 26 31 25 28 27 
24 27 29 24 29 22 20 26 31 25 28 27 
24 27 29 24 29 22 20 26 31 25 28 27 
24 27 29 24 29 22 20 26 31 25 28 27 
24 27 29 24 29 22 20 26 31 25 28 27 
24 27 29 24 29 22 20 26 31 25 28 27 
24 27 29 24 29 22 20 26 31 25 28 27 
24 27 29 24 29 22 20 26 31 25 28 27 
24 27 29 24 29 29 20 26 31 25 28 25 
24 27 29 24 29 29 20 26 31 25 28 25 
24 27 29 24 29 29 20 26 31 25 28 25 
24 27 29 24 29 29 20 26 31 25 28 25 
24 27 29 24 29 29 20 26 31 25 28 25 
24 27 29 24 29 29 20 26 31 25 28 25 
24 27 29 24 29 29 20 26 31 25 28 25 
24 27 29 24 29 29 20 26 31 25 28 25 
24 27 29 24 29 29 20 26 31 25 28 25 
24 27 29 24 29 29 20 26 31 25 28 25 
24 27 29 24 29 29 20 26 31 29 28 24 
24 27 29 24 29 29 20 26 31 29 28 24 
24 27 29 24 29 29 20 26 31 29 28 24 
24 27 29 24 29 29 20 26 31 29 28 24 
24 27 29 24 29 29 20 26 31 29 28 24 
24 27 29 24 29 29 20 26 31 29 28 24 
24 27 29 24 29 29 20 26 31 29 28 24 
24 27 29 24 29 29 20 26 31 29 28 24 
24 27 29 24 29 29 20 26 31 29 28 24 
24 27 29 24 29 29 20 26 31 29 28 24 
24 27 29 24 30 29 20 26 31 29 28 24 
24 27 29 24 30 29 20 26 31 29 28 24 
24 27 29 24 30 29 20 26 31 29 28 24 
24 27 29 24 30 29 20 26 31 29 28 24 
24 27 29 24 30 29 20 26 31 29 28 24 
24 27 29 24 30 29 20 26 31 29 28 24 
24 27 29 24 30 29 20 26 31 29 28 24 
24 27 29 24 30 29 20 26 31 29 28 24 
24 27 29 24 30 29 20 26 31 29 28 24 
24 27 29 24 30 29 20 26 31 29 28 24 
24 28 29 24 30 29 20 26 31 29 28 24 
24 28 29 24 30 29 20 26 31 29 28 24 
24 28 29 24 30 29 20 26 31 29 28 24 
24 28 29 24 30 29 20 26 31 29 28 24 
24 28 29 24 30 29 20 26 31 29 28 24 
24 28 29 24 30 29 20 26 31 29 28 24 
24 28 29 24 30 29 20 26 31 29 28 24 
24 28 29 24 30 29 20 26 31 29 28 24 
24 28 29 24 30 29 20 26 31 29 28 24 
24 28 29 24 30 29 20 26 31 29 28 24 
24 23 23 24 30 29 20 26 31 29 28 24 
24 23 23 24 30 29 20 26 31 29 28 24 
24 23 23 24 30 29 20 26 31 29 28 24 
24 23 23 24 30 29 20 26 31 29 28 24 
24 23 23 24 30 29 20 26 31 29 28 24 
24 23 23 24 30 29 20 26 31 29 28 24 
24 23 23 24 30 29 20 26 31 29 28 24 
24 23 23 24 30 29 20 26 31 29 28 24 
24 23 23 24 30 29 20 26 31 29 28 24 
24 23 23 24 30 29 20 26 31 29 28 24 
24 23 23 27 30 29 20 26 31 29 28 24 
24 23 23 27 30 29 20 26 31 29 28 24 
24 23 23 27 30 29 20 26 31 29 28 24 
24 23 23 27 30 29 20 26 31 29 28 24 
24 23 23 27 30 29 20 26 31 29 28 24 
24 23 23 27 30 29 20 26 31 29 28 24 
24 23 23 27 30 29 20 26 31 29 28 24 
24 23 23 27 30 29 20 26 31 29 28 24 
24 23 23 27 30 29 20 26 31 29 28 24 
24 23 23 27 30 29 20 26 31 29 28 24 
24 23 23 27 20 0 20 26 31 29 28 24 
24 23 23 27 20 0 20 26 31 29 28 24 
24 23 23 27 20 0 20 26 31 29 28 24 
24 23 23 27 20 0 20 26 31 29 28 24 
24 23 23 27 20 0 20 26 31 29 28 24 
24 23 23 27 20 0 20 26 31 29 28 24 
24 23 23 27 20 0 20 26 31 29 28 24 
