PE_L1_1 PE_L1_2 PE_L1_3 PE_L1_4 PE_L2_1 PE_L2_2 PE_L2_3 PE_L2_4 PE_L3_1 PE_L3_2 PE_L3_3 PE_L3_4 
54 94 89 28 24 31 51 34 50 81 79 31 
54 94 89 28 24 31 51 34 50 81 79 31 
54 94 89 28 24 31 51 34 50 81 79 31 
54 94 89 28 24 31 51 34 50 81 79 31 
54 94 89 28 24 31 51 34 50 81 79 31 
54 94 89 28 24 31 51 34 50 81 79 31 
54 94 89 28 24 31 51 34 50 81 79 31 
54 94 89 28 24 31 51 34 50 81 79 31 
54 94 89 28 24 31 51 34 50 81 79 31 
54 94 89 28 24 31 51 34 50 81 79 31 
54 94 89 28 24 31 51 34 50 81 79 32 
54 94 89 28 24 31 51 34 50 81 79 32 
54 94 89 28 24 31 51 34 50 81 79 32 
54 94 89 28 24 31 51 34 50 81 79 32 
54 94 89 28 24 31 51 34 50 81 79 32 
54 94 89 28 24 31 51 34 50 81 79 32 
54 94 89 28 24 31 51 34 50 81 79 32 
54 94 89 28 24 31 51 34 50 81 79 32 
54 94 89 28 24 31 51 34 50 81 79 32 
54 94 89 28 24 31 51 34 50 81 79 32 
54 94 89 28 24 31 51 34 50 81 79 32 
54 94 89 28 24 31 51 34 50 81 79 32 
54 94 89 28 24 31 51 34 50 81 79 32 
54 94 89 28 24 31 51 34 50 81 79 32 
54 94 89 28 24 31 51 34 50 81 79 32 
54 94 89 28 24 31 51 34 50 81 79 32 
54 94 89 28 24 31 51 34 50 81 79 32 
54 94 89 28 24 31 51 34 50 81 79 32 
54 94 89 28 24 31 51 34 50 81 79 32 
54 94 89 28 24 31 51 34 50 81 79 32 
54 94 31 28 24 31 51 34 50 81 79 32 
54 94 31 28 24 31 51 34 50 81 79 32 
54 94 31 28 24 31 51 34 50 81 79 32 
54 94 31 28 24 31 51 34 50 81 79 32 
54 94 31 28 24 31 51 34 50 81 79 32 
54 94 31 28 24 31 51 34 50 81 79 32 
54 94 31 28 24 31 51 34 50 81 79 32 
54 94 31 28 24 31 51 34 50 81 79 32 
54 94 31 28 24 31 51 34 50 81 79 32 
54 94 31 28 24 31 51 34 50 81 79 32 
54 94 31 28 24 31 51 34 50 81 79 23 
54 94 31 28 24 31 51 34 50 81 79 23 
54 94 31 28 24 31 51 34 50 81 79 23 
54 94 31 28 24 31 51 34 50 81 79 23 
54 94 31 28 24 31 51 34 50 81 79 23 
54 94 31 28 24 31 51 34 50 81 79 23 
54 94 31 28 24 31 51 34 50 81 79 23 
54 94 31 28 24 31 51 34 50 81 79 23 
54 94 31 28 24 31 51 34 50 81 79 23 
54 94 31 28 24 31 51 34 50 81 79 23 
54 94 31 28 24 34 51 34 50 81 79 68 
54 94 31 28 24 34 51 34 50 81 79 68 
54 94 31 28 24 34 51 34 50 81 79 68 
54 94 31 28 24 34 51 34 50 81 79 68 
54 94 31 28 24 34 51 34 50 81 79 68 
54 94 31 28 24 34 51 34 50 81 79 68 
54 94 31 28 24 34 51 34 50 81 79 68 
54 94 31 28 24 34 51 34 50 81 79 68 
54 94 31 28 24 34 51 34 50 81 79 68 
54 94 31 28 24 34 51 34 50 81 79 68 
54 94 31 28 24 34 51 34 50 81 79 68 
54 94 31 28 24 34 51 34 50 81 79 68 
54 94 31 28 24 34 51 34 50 81 79 68 
54 94 31 28 24 34 51 34 50 81 79 68 
54 94 31 28 24 34 51 34 50 81 79 68 
54 94 31 28 24 34 51 34 50 81 79 68 
54 94 31 28 24 34 51 34 50 81 79 68 
54 94 31 28 24 34 51 34 50 81 79 68 
54 94 31 28 24 34 51 34 50 81 79 68 
54 94 31 28 24 34 51 34 50 81 79 68 
54 94 31 28 24 34 51 34 50 81 79 68 
54 94 31 28 24 34 51 34 50 81 79 68 
54 94 31 28 24 34 51 34 50 81 79 68 
54 94 31 28 24 34 51 34 50 81 79 68 
54 94 31 28 24 34 51 34 50 81 79 68 
54 94 31 28 24 34 51 34 50 81 79 68 
54 94 31 28 24 34 51 34 50 81 79 68 
54 94 31 28 24 34 51 34 50 81 79 68 
54 94 31 28 24 34 51 34 50 81 79 68 
54 94 31 28 24 34 51 34 50 81 79 68 
54 94 31 28 24 34 51 34 50 81 79 68 
54 94 31 28 24 34 51 34 50 81 79 68 
54 94 31 28 24 34 51 34 50 81 79 68 
54 94 31 28 24 34 51 34 50 81 79 68 
54 94 31 28 24 34 51 34 50 81 79 68 
54 94 31 28 24 34 51 34 50 81 79 68 
54 94 31 28 24 34 51 34 50 81 79 68 
54 94 31 28 24 34 51 34 50 81 79 68 
54 94 31 28 24 34 51 34 50 81 79 68 
54 94 31 28 24 34 51 34 50 81 79 68 
54 94 31 28 24 34 51 34 50 81 79 68 
54 94 31 28 24 34 51 34 50 81 79 68 
54 94 31 28 24 34 51 34 50 81 79 68 
54 94 31 28 24 34 51 34 50 81 79 68 
54 94 31 28 24 34 51 34 50 81 79 68 
54 94 31 28 24 34 51 34 50 81 79 68 
54 94 31 28 24 34 51 34 50 81 79 68 
54 94 31 28 24 34 51 34 50 81 79 68 
54 94 31 28 24 34 51 34 50 81 79 68 
54 94 31 28 24 34 51 34 50 81 79 68 
54 94 31 28 24 34 51 34 50 81 79 68 
54 94 31 28 24 34 51 34 50 81 79 68 
54 94 31 28 24 34 51 34 50 81 79 68 
54 94 31 28 24 34 51 34 50 81 79 68 
54 94 31 28 24 34 51 34 50 81 79 68 
54 94 31 28 24 34 51 34 50 81 79 68 
54 94 31 28 24 34 51 34 50 81 79 68 
54 94 31 28 24 34 51 34 50 81 79 68 
54 94 31 28 24 34 51 34 50 81 79 68 
54 94 31 28 24 34 51 34 50 81 79 68 
54 94 31 28 24 40 51 34 50 81 79 68 
54 94 31 28 24 40 51 34 50 81 79 68 
54 94 31 28 24 40 51 34 50 81 79 68 
54 94 31 28 24 40 51 34 50 81 79 68 
54 94 31 28 24 40 51 34 50 81 79 68 
54 94 31 28 24 40 51 34 50 81 79 68 
54 94 31 28 24 40 51 34 50 81 79 68 
54 94 31 28 24 40 51 34 50 81 79 68 
54 94 31 28 24 40 51 34 50 81 79 68 
54 94 31 28 24 40 51 34 50 81 79 68 
87 94 31 28 24 40 51 34 28 81 79 68 
87 94 31 28 24 40 51 34 28 81 79 68 
87 94 31 28 24 40 51 34 28 81 79 68 
87 94 31 28 24 40 51 34 28 81 79 68 
87 94 31 28 24 40 51 34 28 81 79 68 
87 94 31 28 24 40 51 34 28 81 79 68 
87 94 31 28 24 40 51 34 28 81 79 68 
87 94 31 28 24 40 51 34 28 81 79 68 
87 94 31 28 24 40 51 34 28 81 79 68 
87 94 31 28 24 40 51 34 28 81 79 68 
87 94 31 28 24 40 51 34 28 81 79 68 
87 94 31 28 24 40 51 34 28 81 79 68 
87 94 31 28 24 40 51 34 28 81 79 68 
87 94 31 28 24 40 51 34 28 81 79 68 
87 94 31 28 24 40 51 34 28 81 79 68 
87 94 31 28 24 40 51 34 28 81 79 68 
87 94 31 28 24 40 51 34 28 81 79 68 
87 94 31 28 24 40 51 34 28 81 79 68 
87 94 31 28 24 40 51 34 28 81 79 68 
87 94 31 28 24 40 51 34 28 81 79 68 
87 94 31 28 24 40 51 34 28 81 79 68 
87 94 31 28 24 40 51 34 28 81 79 68 
87 94 31 28 24 40 51 34 28 81 79 68 
87 94 31 28 24 40 51 34 28 81 79 68 
87 94 31 28 24 40 51 34 28 81 79 68 
87 94 31 28 24 40 51 34 28 81 79 68 
87 94 31 28 24 40 51 34 28 81 79 68 
87 94 31 28 24 40 51 34 28 81 79 68 
87 94 31 28 24 40 51 34 28 81 79 68 
87 94 31 28 24 40 51 34 28 81 79 68 
87 94 31 28 24 40 51 64 28 81 79 68 
87 94 31 28 24 40 51 64 28 81 79 68 
87 94 31 28 24 40 51 64 28 81 79 68 
87 94 31 28 24 40 51 64 28 81 79 68 
87 94 31 28 24 40 51 64 28 81 79 68 
87 94 31 28 24 40 51 64 28 81 79 68 
87 94 31 28 24 40 51 64 28 81 79 68 
87 94 31 28 24 40 51 64 28 81 79 68 
87 94 31 28 24 40 51 64 28 81 79 68 
87 94 31 28 24 40 51 64 28 81 79 68 
87 94 31 28 24 40 38 81 28 81 79 68 
87 94 31 28 24 40 38 81 28 81 79 68 
87 94 31 28 24 40 38 81 28 81 79 68 
87 94 31 28 24 40 38 81 28 81 79 68 
87 94 31 28 24 40 38 81 28 81 79 68 
87 94 31 28 24 40 38 81 28 81 79 68 
87 94 31 28 24 40 38 81 28 81 79 68 
87 94 31 28 24 40 38 81 28 81 79 68 
87 94 31 28 24 40 38 81 28 81 79 68 
87 94 31 28 24 40 38 81 28 81 79 68 
87 45 31 28 24 40 38 81 28 81 79 68 
87 45 31 28 24 40 38 81 28 81 79 68 
87 45 31 28 24 40 38 81 28 81 79 68 
87 45 31 28 24 40 38 81 28 81 79 68 
87 45 31 28 24 40 38 81 28 81 79 68 
87 45 31 28 24 40 38 81 28 81 79 68 
87 45 31 28 24 40 38 81 28 81 79 68 
87 45 31 28 24 40 38 81 28 81 79 68 
87 45 31 28 24 40 38 81 28 81 79 68 
87 45 31 28 24 40 38 81 28 81 79 68 
87 45 31 26 24 40 38 81 28 81 79 68 
87 45 31 26 24 40 38 81 28 81 79 68 
87 45 31 26 24 40 38 81 28 81 79 68 
87 45 31 26 24 40 38 81 28 81 79 68 
87 45 31 26 24 40 38 81 28 81 79 68 
87 45 31 26 24 40 38 81 28 81 79 68 
87 45 31 26 24 40 38 81 28 81 79 68 
87 45 31 26 24 40 38 81 28 81 79 68 
87 45 31 26 24 40 38 81 28 81 79 68 
87 45 31 26 24 40 38 81 28 81 79 68 
87 45 31 26 84 40 38 81 28 81 79 68 
87 45 31 26 84 40 38 81 28 81 79 68 
87 45 31 26 84 40 38 81 28 81 79 68 
87 45 31 26 84 40 38 81 28 81 79 68 
87 45 31 26 84 40 38 81 28 81 79 68 
87 45 31 26 84 40 38 81 28 81 79 68 
87 45 31 26 84 40 38 81 28 81 79 68 
87 45 31 26 84 40 38 81 28 81 79 68 
87 45 31 26 84 40 38 81 28 81 79 68 
87 45 31 26 84 40 38 81 28 81 79 68 
87 45 31 26 85 40 38 81 28 0 0 68 
87 45 31 26 85 40 38 81 28 0 0 68 
87 45 31 26 85 40 38 81 28 0 0 68 
87 45 31 26 85 40 38 81 28 0 0 68 
87 45 31 26 85 40 38 81 28 0 0 68 
87 45 31 26 85 40 38 81 28 0 0 68 
87 45 31 26 85 40 38 81 28 0 0 68 
87 45 31 26 85 40 38 81 28 0 0 68 
87 45 31 26 85 40 38 81 28 0 0 68 
87 45 31 26 85 40 38 81 28 0 0 68 
87 45 31 26 20 40 38 81 28 0 0 0 
87 45 31 26 20 40 38 81 28 0 0 0 
87 45 31 26 20 40 38 81 28 0 0 0 
87 45 31 26 20 40 38 81 28 0 0 0 
87 45 31 26 20 40 38 81 28 0 0 0 
87 45 31 26 20 40 38 81 28 0 0 0 
87 45 31 26 20 40 38 81 28 0 0 0 
87 45 31 26 20 40 38 81 28 0 0 0 
87 45 31 26 20 40 38 81 28 0 0 0 
87 45 31 26 20 40 38 81 28 0 0 0 
87 45 31 26 20 40 38 81 28 0 0 0 
87 45 31 26 20 40 38 81 28 0 0 0 
87 45 31 26 20 40 38 81 28 0 0 0 
87 45 31 26 20 40 38 81 28 0 0 0 
87 45 31 26 20 40 38 81 28 0 0 0 
87 45 31 26 20 40 38 81 28 0 0 0 
87 45 31 26 20 40 38 81 28 0 0 0 
87 45 31 26 20 40 38 81 28 0 0 0 
87 45 31 26 20 40 38 81 28 0 0 0 
87 45 31 26 20 40 38 81 28 0 0 0 
87 45 54 26 20 40 38 81 28 0 0 0 
87 45 54 26 20 40 38 81 28 0 0 0 
87 45 54 26 20 40 38 81 28 0 0 0 
87 45 54 26 20 40 38 81 28 0 0 0 
87 45 54 26 20 40 38 81 28 0 0 0 
87 45 54 26 20 40 38 81 28 0 0 0 
87 45 54 26 20 40 38 81 28 0 0 0 
87 45 54 26 20 40 38 81 28 0 0 0 
87 45 54 26 20 40 38 81 28 0 0 0 
87 45 54 26 20 40 38 81 28 0 0 0 
87 45 54 95 0 40 38 81 28 0 0 0 
87 45 54 95 0 40 38 81 28 0 0 0 
87 45 54 95 0 40 38 81 28 0 0 0 
87 45 54 95 0 40 38 81 28 0 0 0 
87 45 54 95 0 40 38 81 28 0 0 0 
87 45 54 95 0 40 38 81 28 0 0 0 
87 45 54 95 0 40 38 81 28 0 0 0 
87 45 54 95 0 40 38 81 28 0 0 0 
87 45 54 95 0 40 38 81 28 0 0 0 
87 45 54 95 0 40 38 81 28 0 0 0 
87 0 0 95 0 40 38 81 28 0 0 0 
87 0 0 95 0 40 38 81 28 0 0 0 
87 0 0 95 0 40 38 81 28 0 0 0 
87 0 0 95 0 40 38 81 28 0 0 0 
87 0 0 95 0 40 38 81 28 0 0 0 
87 0 0 95 0 40 38 81 28 0 0 0 
87 0 0 95 0 40 38 81 28 0 0 0 
87 0 0 95 0 40 38 81 28 0 0 0 
87 0 0 95 0 40 38 81 28 0 0 0 
87 0 0 95 0 40 38 81 28 0 0 0 
87 0 0 95 0 40 38 0 28 0 0 0 
87 0 0 95 0 40 38 0 28 0 0 0 
87 0 0 95 0 40 38 0 28 0 0 0 
87 0 0 95 0 40 38 0 28 0 0 0 
87 0 0 95 0 40 38 0 28 0 0 0 
87 0 0 95 0 40 38 0 28 0 0 0 
87 0 0 95 0 40 38 0 28 0 0 0 
87 0 0 95 0 40 38 0 28 0 0 0 
87 0 0 95 0 40 38 0 28 0 0 0 
87 0 0 95 0 40 38 0 28 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 
