PE_L1_1 PE_L1_2 PE_L1_3 PE_L1_4 PE_L2_1 PE_L2_2 PE_L2_3 PE_L2_4 PE_L3_1 PE_L3_2 PE_L3_3 PE_L3_4 
87 85 79 74 82 76 80 78 75 85 80 76 
87 85 79 74 82 76 80 78 75 85 80 76 
87 85 79 74 82 76 80 78 75 85 80 76 
87 85 79 74 82 76 80 78 75 85 80 76 
87 85 79 74 82 76 80 78 75 85 80 76 
87 85 79 74 82 76 80 78 75 85 80 76 
87 85 79 74 82 76 80 78 75 85 80 76 
87 85 79 74 82 76 80 78 75 85 80 76 
87 85 79 74 82 76 80 78 75 85 80 76 
87 85 79 74 82 76 80 78 75 85 80 76 
81 85 80 74 82 76 80 78 75 85 80 76 
81 85 80 74 82 76 80 78 75 85 80 76 
81 85 80 74 82 76 80 78 75 85 80 76 
81 85 80 74 82 76 80 78 75 85 80 76 
81 85 80 74 82 76 80 78 75 85 80 76 
81 85 80 74 82 76 80 78 75 85 80 76 
81 85 80 74 82 76 80 78 75 85 80 76 
81 85 80 74 82 76 80 78 75 85 80 76 
81 85 80 74 82 76 80 78 75 85 80 76 
81 85 80 74 82 76 80 78 75 85 80 76 
81 85 80 74 82 76 80 78 75 85 80 76 
81 85 80 74 82 76 80 78 75 85 80 76 
81 85 80 74 82 76 80 78 75 85 80 76 
81 85 80 74 82 76 80 78 75 85 80 76 
81 85 80 74 82 76 80 78 75 85 80 76 
81 85 80 74 82 76 80 78 75 85 80 76 
81 85 80 74 82 76 80 78 75 85 80 76 
81 85 80 74 82 76 80 78 75 85 80 76 
81 85 80 74 82 76 80 78 75 85 80 76 
81 85 80 74 82 76 80 78 75 85 80 76 
81 85 80 74 82 76 80 78 75 75 80 76 
81 85 80 74 82 76 80 78 75 75 80 76 
81 85 80 74 82 76 80 78 75 75 80 76 
81 85 80 74 82 76 80 78 75 75 80 76 
81 85 80 74 82 76 80 78 75 75 80 76 
81 85 80 74 82 76 80 78 75 75 80 76 
81 85 80 74 82 76 80 78 75 75 80 76 
81 85 80 74 82 76 80 78 75 75 80 76 
81 85 80 74 82 76 80 78 75 75 80 76 
81 85 80 74 82 76 80 78 75 75 80 76 
82 85 80 74 82 76 80 78 75 75 80 76 
82 85 80 74 82 76 80 78 75 75 80 76 
82 85 80 74 82 76 80 78 75 75 80 76 
82 85 80 74 82 76 80 78 75 75 80 76 
82 85 80 74 82 76 80 78 75 75 80 76 
82 85 80 74 82 76 80 78 75 75 80 76 
82 85 80 74 82 76 80 78 75 75 80 76 
82 85 80 74 82 76 80 78 75 75 80 76 
82 85 80 74 82 76 80 78 75 75 80 76 
82 85 80 74 82 76 80 78 75 75 80 76 
82 85 80 74 82 76 80 78 75 75 80 76 
82 85 80 74 82 76 80 78 75 75 80 76 
82 85 80 74 82 76 80 78 75 75 80 76 
82 85 80 74 82 76 80 78 75 75 80 76 
82 85 80 74 82 76 80 78 75 75 80 76 
82 85 80 74 82 76 80 78 75 75 80 76 
82 85 80 74 82 76 80 78 75 75 80 76 
82 85 80 74 82 76 80 78 75 75 80 76 
82 85 80 74 82 76 80 78 75 75 80 76 
82 85 80 74 82 76 80 78 75 75 80 76 
82 85 80 74 80 76 80 78 75 78 80 76 
82 85 80 74 80 76 80 78 75 78 80 76 
82 85 80 74 80 76 80 78 75 78 80 76 
82 85 80 74 80 76 80 78 75 78 80 76 
82 85 80 74 80 76 80 78 75 78 80 76 
82 85 80 74 80 76 80 78 75 78 80 76 
82 85 80 74 80 76 80 78 75 78 80 76 
82 85 80 74 80 76 80 78 75 78 80 76 
82 85 80 74 80 76 80 78 75 78 80 76 
82 85 80 74 80 76 80 78 75 78 80 76 
82 85 80 74 80 76 75 78 75 78 80 76 
82 85 80 74 80 76 75 78 75 78 80 76 
82 85 80 74 80 76 75 78 75 78 80 76 
82 85 80 74 80 76 75 78 75 78 80 76 
82 85 80 74 80 76 75 78 75 78 80 76 
82 85 80 74 80 76 75 78 75 78 80 76 
82 85 80 74 80 76 75 78 75 78 80 76 
82 85 80 74 80 76 75 78 75 78 80 76 
82 85 80 74 80 76 75 78 75 78 80 76 
82 85 80 74 80 76 75 78 75 78 80 76 
82 85 80 74 80 76 75 78 75 76 80 76 
82 85 80 74 80 76 75 78 75 76 80 76 
82 85 80 74 80 76 75 78 75 76 80 76 
82 85 80 74 80 76 75 78 75 76 80 76 
82 85 80 74 80 76 75 78 75 76 80 76 
82 85 80 74 80 76 75 78 75 76 80 76 
82 85 80 74 80 76 75 78 75 76 80 76 
82 85 80 74 80 76 75 78 75 76 80 76 
82 85 80 74 80 76 75 78 75 76 80 76 
82 85 80 74 80 76 75 78 75 76 80 76 
82 85 80 74 80 76 75 78 75 76 80 76 
82 85 80 74 80 76 75 78 75 76 80 76 
82 85 80 74 80 76 75 78 75 76 80 76 
82 85 80 74 80 76 75 78 75 76 80 76 
82 85 80 74 80 76 75 78 75 76 80 76 
82 85 80 74 80 76 75 78 75 76 80 76 
82 85 80 74 80 76 75 78 75 76 80 76 
82 85 80 74 80 76 75 78 75 76 80 76 
82 85 80 74 80 76 75 78 75 76 80 76 
82 85 80 74 80 76 75 78 75 76 80 76 
82 85 80 74 80 76 75 78 75 76 80 76 
82 85 80 74 80 76 75 78 75 76 80 76 
82 85 80 74 80 76 75 78 75 76 80 76 
82 85 80 74 80 76 75 78 75 76 80 76 
82 85 80 74 80 76 75 78 75 76 80 76 
82 85 80 74 80 76 75 78 75 76 80 76 
82 85 80 74 80 76 75 78 75 76 80 76 
82 85 80 74 80 76 75 78 75 76 80 76 
82 85 80 74 80 76 75 78 75 76 80 76 
82 85 80 74 80 76 75 78 75 76 80 76 
82 85 81 74 80 76 75 78 75 76 80 76 
82 85 81 74 80 76 75 78 75 76 80 76 
82 85 81 74 80 76 75 78 75 76 80 76 
82 85 81 74 80 76 75 78 75 76 80 76 
82 85 81 74 80 76 75 78 75 76 80 76 
82 85 81 74 80 76 75 78 75 76 80 76 
82 85 81 74 80 76 75 78 75 76 80 76 
82 85 81 74 80 76 75 78 75 76 80 76 
82 85 81 74 80 76 75 78 75 76 80 76 
82 85 81 74 80 76 75 78 75 76 80 76 
82 85 81 74 80 76 75 78 75 76 80 76 
82 85 81 74 80 76 75 78 75 76 80 76 
82 85 81 74 80 76 75 78 75 76 80 76 
82 85 81 74 80 76 75 78 75 76 80 76 
82 85 81 74 80 76 75 78 75 76 80 76 
82 85 81 74 80 76 75 78 75 76 80 76 
82 85 81 74 80 76 75 78 75 76 80 76 
82 85 81 74 80 76 75 78 75 76 80 76 
82 85 81 74 80 76 75 78 75 76 80 76 
82 85 81 74 80 76 75 78 75 76 80 76 
82 85 81 74 80 76 75 78 75 76 80 76 
82 85 81 74 80 76 75 78 75 76 80 76 
82 85 81 74 80 76 75 78 75 76 80 76 
82 85 81 74 80 76 75 78 75 76 80 76 
82 85 81 74 80 76 75 78 75 76 80 76 
82 85 81 74 80 76 75 78 75 76 80 76 
82 85 81 74 80 76 75 78 75 76 80 76 
82 85 81 74 80 76 75 78 75 76 80 76 
82 85 81 74 80 76 75 78 75 76 80 76 
82 85 81 74 80 76 75 78 75 76 80 76 
82 85 81 74 80 76 75 78 75 76 80 76 
82 85 81 74 80 76 75 78 75 76 80 76 
82 85 81 74 80 76 75 78 75 76 80 76 
82 85 81 74 80 76 75 78 75 76 80 76 
82 85 81 74 80 76 75 78 75 76 80 76 
82 85 81 74 80 76 75 78 75 76 80 76 
82 85 81 74 80 76 75 78 75 76 80 76 
82 85 81 74 80 76 75 78 75 76 80 76 
82 85 81 74 80 76 75 78 75 76 80 76 
82 85 81 74 80 76 75 78 75 76 80 76 
82 85 81 74 80 83 75 78 75 76 80 80 
82 85 81 74 80 83 75 78 75 76 80 80 
82 85 81 74 80 83 75 78 75 76 80 80 
82 85 81 74 80 83 75 78 75 76 80 80 
82 85 81 74 80 83 75 78 75 76 80 80 
82 85 81 74 80 83 75 78 75 76 80 80 
82 85 81 74 80 83 75 78 75 76 80 80 
82 85 81 74 80 83 75 78 75 76 80 80 
82 85 81 74 80 83 75 78 75 76 80 80 
82 85 81 74 80 83 75 78 75 76 80 80 
82 85 81 74 80 83 75 78 75 76 80 76 
82 85 81 74 80 83 75 78 75 76 80 76 
82 85 81 74 80 83 75 78 75 76 80 76 
82 85 81 74 80 83 75 78 75 76 80 76 
82 85 81 74 80 83 75 78 75 76 80 76 
82 85 81 74 80 83 75 78 75 76 80 76 
82 85 81 74 80 83 75 78 75 76 80 76 
82 85 81 74 80 83 75 78 75 76 80 76 
82 85 81 74 80 83 75 78 75 76 80 76 
82 85 81 74 80 83 75 78 75 76 80 76 
82 85 81 74 80 83 75 78 75 76 80 76 
82 85 81 74 80 83 75 78 75 76 80 76 
82 85 81 74 80 83 75 78 75 76 80 76 
82 85 81 74 80 83 75 78 75 76 80 76 
82 85 81 74 80 83 75 78 75 76 80 76 
82 85 81 74 80 83 75 78 75 76 80 76 
82 85 81 74 80 83 75 78 75 76 80 76 
82 85 81 74 80 83 75 78 75 76 80 76 
82 85 81 74 80 83 75 78 75 76 80 76 
82 85 81 74 80 83 75 78 75 76 80 76 
82 74 81 74 80 83 75 78 75 76 80 76 
82 74 81 74 80 83 75 78 75 76 80 76 
82 74 81 74 80 83 75 78 75 76 80 76 
82 74 81 74 80 83 75 78 75 76 80 76 
82 74 81 74 80 83 75 78 75 76 80 76 
82 74 81 74 80 83 75 78 75 76 80 76 
82 74 81 74 80 83 75 78 75 76 80 76 
82 74 81 74 80 83 75 78 75 76 80 76 
82 74 81 74 80 83 75 78 75 76 80 76 
82 74 81 74 80 83 75 78 75 76 80 76 
82 74 81 80 80 83 75 78 75 76 80 76 
82 74 81 80 80 83 75 78 75 76 80 76 
82 74 81 80 80 83 75 78 75 76 80 76 
82 74 81 80 80 83 75 78 75 76 80 76 
82 74 81 80 80 83 75 78 75 76 80 76 
82 74 81 80 80 83 75 78 75 76 80 76 
82 74 81 80 80 83 75 78 75 76 80 76 
82 74 81 80 80 83 75 78 75 76 80 76 
82 74 81 80 80 83 75 78 75 76 80 76 
82 74 81 80 80 83 75 78 75 76 80 76 
82 74 81 80 80 83 75 78 75 76 73 76 
82 74 81 80 80 83 75 78 75 76 73 76 
82 74 81 80 80 83 75 78 75 76 73 76 
82 74 81 80 80 83 75 78 75 76 73 76 
82 74 81 80 80 83 75 78 75 76 73 76 
82 74 81 80 80 83 75 78 75 76 73 76 
82 74 81 80 80 83 75 78 75 76 73 76 
82 74 81 80 80 83 75 78 75 76 73 76 
82 74 81 80 80 83 75 78 75 76 73 76 
82 74 81 80 80 83 75 78 75 76 73 76 
0 74 81 80 80 83 75 78 75 76 73 76 
0 74 81 80 80 83 75 78 75 76 73 76 
0 74 81 80 80 83 75 78 75 76 73 76 
0 74 81 80 80 83 75 78 75 76 73 76 
0 74 81 80 80 83 75 78 75 76 73 76 
0 74 81 80 80 83 75 78 75 76 73 76 
0 74 81 80 80 83 75 78 75 76 73 76 
0 74 81 80 80 83 75 78 75 76 73 76 
0 74 81 80 80 83 75 78 75 76 73 76 
0 74 81 80 80 83 75 78 75 76 73 76 
0 74 81 81 80 83 75 78 75 76 73 76 
0 74 81 81 80 83 75 78 75 76 73 76 
0 74 81 81 80 83 75 78 75 76 73 76 
0 74 81 81 80 83 75 78 75 76 73 76 
0 74 81 81 80 83 75 78 75 76 73 76 
0 74 81 81 80 83 75 78 75 76 73 76 
0 74 81 81 80 83 75 78 75 76 73 76 
0 74 81 81 80 83 75 78 75 76 73 76 
0 74 81 81 80 83 75 78 75 76 73 76 
0 74 81 81 80 83 75 78 75 76 73 76 
0 74 81 81 80 83 75 78 75 76 73 76 
0 74 81 81 80 83 75 78 75 76 73 76 
0 74 81 81 80 83 75 78 75 76 73 76 
0 74 81 81 80 83 75 78 75 76 73 76 
0 74 81 81 80 83 75 78 75 76 73 76 
0 74 81 81 80 83 75 78 75 76 73 76 
0 74 81 81 80 83 75 78 75 76 73 76 
0 74 81 81 80 83 75 78 75 76 73 76 
0 74 81 81 80 83 75 78 75 76 73 76 
0 74 81 81 80 83 75 78 75 76 73 76 
0 0 81 81 80 83 0 0 75 76 73 76 
0 0 81 81 80 83 0 0 75 76 73 76 
0 0 81 81 80 83 0 0 75 76 73 76 
0 0 81 81 80 83 0 0 75 76 73 76 
0 0 81 81 80 83 0 0 75 76 73 76 
0 0 81 81 80 83 0 0 75 76 73 76 
0 0 81 81 80 83 0 0 75 76 73 76 
0 0 81 81 80 83 0 0 75 76 73 76 
0 0 81 81 80 83 0 0 75 76 73 76 
0 0 81 81 80 83 0 0 75 76 73 76 
0 0 81 0 0 83 0 0 75 0 0 76 
0 0 81 0 0 83 0 0 75 0 0 76 
0 0 81 0 0 83 0 0 75 0 0 76 
0 0 81 0 0 83 0 0 75 0 0 76 
0 0 81 0 0 83 0 0 75 0 0 76 
0 0 81 0 0 83 0 0 75 0 0 76 
0 0 81 0 0 83 0 0 75 0 0 76 
0 0 81 0 0 83 0 0 75 0 0 76 
0 0 81 0 0 83 0 0 75 0 0 76 
0 0 81 0 0 83 0 0 75 0 0 76 
0 0 81 0 0 83 0 0 0 0 0 76 
0 0 81 0 0 83 0 0 0 0 0 76 
0 0 81 0 0 83 0 0 0 0 0 76 
0 0 81 0 0 83 0 0 0 0 0 76 
0 0 81 0 0 83 0 0 0 0 0 76 
0 0 81 0 0 83 0 0 0 0 0 76 
0 0 81 0 0 83 0 0 0 0 0 76 
0 0 81 0 0 83 0 0 0 0 0 76 
0 0 81 0 0 83 0 0 0 0 0 76 
0 0 81 0 0 83 0 0 0 0 0 76 
0 0 0 0 0 0 0 0 0 0 0 0 
