Nrtasks,Time,Makespan,MaxTemp,Avgtemp
0, 0.008288860321044922, 0, 318.15, 318.1499999999999 
10, 0.03986525535583496, 20, 455.33, 381.53788280818134 
20, 0.09158182144165039, 51, 471.14, 371.03164057403797 
30, 0.14236927032470703, 70, 523.93, 374.62163655095895 
40, 0.13787484169006348, 77, 541.93, 379.9763063842052 
50, 0.22304821014404297, 132, 556.78, 369.50995626209107 
60, 0.22704124450683594, 138, 556.36, 376.51762933462066 
70, 0.24270987510681152, 138, 574.94, 385.0451802236706 
80, 0.330402135848999, 195, 563.06, 374.614751124779 
90, 0.34581637382507324, 200, 560.76, 377.25923899161484 
100, 0.42314934730529785, 247, 575.81, 372.4326381581898 
110, 0.5028626918792725, 282, 573.18, 370.8911770845631 
120, 0.5625731945037842, 336, 597.21, 367.4042530331579 
130, 0.6629564762115479, 385, 589.92, 366.1692069880833 
140, 0.7317402362823486, 418, 588.55, 365.80842687820484 
150, 0.8093709945678711, 462, 575.28, 364.9644889273611 
160, 0.9295458793640137, 513, 588.28, 364.1987517053203 
170, 0.9512262344360352, 538, 596.2, 364.52581717565886 
180, 1.0339269638061523, 567, 582.0, 364.2749351476325 
190, 1.0597615242004395, 578, 597.91, 365.7822563378115 
200, 1.142655611038208, 610, 620.89, 366.0853692472988 
210, 1.2404751777648926, 672, 598.63, 365.13211294615667 
220, 1.4158656597137451, 735, 619.69, 364.25215480887107 
230, 1.3371145725250244, 739, 610.41, 365.0765539169275 
240, 1.450301170349121, 763, 610.53, 365.8860455889 
250, 1.5528113842010498, 807, 628.91, 365.7186987706331 
260, 1.6243860721588135, 816, 603.45, 367.1994599654179 
270, 1.6582918167114258, 843, 617.76, 367.3519435548707 
280, 1.6179039478302002, 843, 602.77, 369.21291035727955 
290, 1.8068962097167969, 870, 615.19, 369.17422403555315 
300, 1.9128193855285645, 929, 625.41, 368.3554244848676 
310, 1.8681888580322266, 944, 611.81, 368.8849547482039 
320, 2.035536527633667, 976, 615.85, 368.435344113196 
330, 2.114100217819214, 1006, 592.5, 368.2438174910833 
340, 2.1150364875793457, 1016, 619.79, 369.6563434810678 
350, 2.354210376739502, 1089, 624.68, 368.02861730889174 
360, 2.2565999031066895, 1098, 604.86, 368.8344070566356 
370, 2.347489356994629, 1118, 618.39, 369.26556484711415 
380, 2.3190627098083496, 1118, 618.72, 370.65192220930584 
390, 2.4468626976013184, 1136, 622.86, 371.2500196578959 
400, 2.4821598529815674, 1178, 610.69, 371.0227224627236 
410, 2.8307266235351562, 1198, 622.23, 371.219359773346 
420, 2.6778903007507324, 1216, 614.08, 371.77776841268815 
430, 2.683750629425049, 1231, 630.75, 372.6706660258694 
440, 2.649531602859497, 1237, 626.88, 373.6749381169246 
450, 2.8717026710510254, 1272, 627.99, 373.2591878695784 
460, 3.0222654342651367, 1305, 613.21, 372.9124856758539 
470, 2.9081778526306152, 1309, 617.99, 373.8127709877022 
480, 3.0006496906280518, 1326, 619.08, 374.43889198904117 
490, 3.005056142807007, 1334, 619.91, 374.97578679759215 
500, 3.1574466228485107, 1377, 619.08, 374.2506771879722 
510, 3.2332589626312256, 1405, 610.45, 374.19054167754035 
520, 3.4212849140167236, 1427, 616.66, 374.3396167052073 
530, 3.408829689025879, 1440, 621.58, 374.47116076044176 
540, 3.4738898277282715, 1481, 625.07, 374.2299798948237 
550, 3.8131067752838135, 1493, 620.97, 374.99384174610736 
560, 3.6188929080963135, 1547, 618.75, 374.445366420329 
570, 3.8586862087249756, 1573, 612.84, 374.2937660952554 
580, 3.8217713832855225, 1595, 612.84, 374.29675300747556 
590, 4.021660566329956, 1630, 623.06, 374.2147110606727 
600, 4.248986721038818, 1663, 615.43, 373.98126981741075 
610, 4.335356950759888, 1663, 612.84, 374.7208816868111 
620, 4.237365484237671, 1668, 620.35, 375.61539802436727 
630, 4.276526689529419, 1675, 623.75, 376.34318259606556 
640, 4.249988317489624, 1675, 618.1, 376.7813084790973 
650, 4.415452480316162, 1705, 611.27, 376.7320701294825 
660, 4.427476406097412, 1722, 611.27, 376.8027139345388 
670, 4.474646806716919, 1722, 628.42, 377.43273019375715 
680, 4.538525342941284, 1793, 618.41, 376.51707660228544 
690, 4.4732506275177, 1808, 618.53, 376.9898049517924 
700, 4.484914779663086, 1815, 621.35, 377.58817148121744 
710, 4.6428444385528564, 1835, 623.37, 377.58340810976193 
720, 4.895089387893677, 1877, 621.38, 377.3829676392086 
730, 5.26265549659729, 1927, 620.82, 376.6799675678495 
740, 5.399518728256226, 1960, 626.14, 376.65947998685016 
750, 5.368244647979736, 1984, 623.08, 376.476714379317 
760, 5.334301233291626, 2017, 623.08, 376.6756165066475 
770, 5.389139652252197, 2030, 629.31, 376.84903261470635 
780, 5.621178150177002, 2059, 633.91, 376.789719645586 
790, 5.580280542373657, 2078, 623.08, 376.981597773609 
800, 5.857725381851196, 2106, 629.37, 377.0114160190785 
810, 5.909606695175171, 2145, 623.08, 376.6861694870493 
820, 6.002582550048828, 2193, 627.65, 376.1893654593467 
830, 6.2864296436309814, 2210, 635.35, 376.3908781905312 
840, 6.225472688674927, 2242, 624.18, 376.25118955939325 
850, 6.046374082565308, 2252, 633.92, 376.4823023449741 
860, 6.416099309921265, 2280, 623.08, 376.4805317992897 
870, 6.416763544082642, 2287, 626.13, 377.2497560957862 
880, 6.3547585010528564, 2289, 626.46, 377.48414058897725 
890, 6.633907079696655, 2340, 623.08, 377.126944812429 
900, 6.77466893196106, 2366, 623.08, 377.151966081085 
910, 6.7872314453125, 2385, 623.08, 377.1936104705637 
920, 7.061094522476196, 2391, 623.08, 377.3402551127132 
930, 7.285210371017456, 2407, 623.08, 377.5558285211838 
940, 7.258171319961548, 2459, 630.18, 377.107139242454 
950, 7.291517496109009, 2486, 623.08, 376.9664861295501 
960, 7.460431814193726, 2505, 623.08, 377.08286063098245 
970, 7.395015239715576, 2518, 623.08, 377.45741206995007 
980, 7.664448499679565, 2567, 623.08, 376.9373596881943 
990, 7.838830471038818, 2589, 623.08, 376.9769879065676 
1000, 7.9554362297058105, 2603, 623.08, 377.202325091026 
