Nrtasks,Time,Makespan,MaxTemp,AvgTemp
1,0.033089637756347656,15,378.28,335.19479396615156
2,0.035979509353637695,15,387.3,339.8655077262693
3,0.04612398147583008,19,398.62,354.31167539267017
4,0.044635772705078125,19,442.86,355.16937463641653
5,0.0467526912689209,19,450.01,370.09890634089584
6,0.04815387725830078,19,410.97,370.3116637579988
7,0.055655717849731445,19,462.47,371.9054741128564
8,0.12903499603271484,24,429.62,378.08375057630246
9,0.12697386741638184,24,433.55,384.4810488704472
10,0.14693450927734375,30,439.43,377.64624769287553
11,0.23441553115844727,31,498.63,375.58780635941406
12,0.24468040466308594,31,438.89,381.15161128974637
13,0.3333466053009033,49,427.99,364.0297918081015
14,0.7799344062805176,52,461.88,363.9604020046918
15,1.007939338684082,55,437.47,360.31778786045584
16,0.3878138065338135,55,497.63,362.10577132486384
17,0.4851384162902832,55,506.02,368.5330419439403
18,0.9379112720489502,65,490.08,363.10876856118796
19,2.798443555831909,65,511.64,367.4026267281106
20,0.4851508140563965,72,506.11,363.2181414701806
21,1.6099603176116943,89,514.37,358.15389075944637
22,1.957909107208252,89,540.13,361.9080259383962
23,2.5754950046539307,89,567.42,364.3634162613792
24,5.707675933837891,105,548.12,360.08732212707463
25,3.714904546737671,105,561.11,360.60317369700795
26,23.338664770126343,124,560.63,357.4076304951234
27,5.387441873550415,127,568.66,357.48017833726703
28,8.927738189697266,127,570.48,357.4619451000968
29,104.81108593940735,139,565.75,355.4737638789038
30,20.782315015792847,139,585.09,358.0541980190113

