Nr tasks 1, Time 0.0015475749969482422, Makespan 15, Max Temp 342.12, Top 1 percent highs 342.12000000000006 
Nr tasks 2, Time 0.001558542251586914, Makespan 15, Max Temp 346.88, Top 1 percent highs 346.3907407407406 
Nr tasks 3, Time 0.009893417358398438, Makespan 34, Max Temp 346.21, Top 1 percent highs 344.082131147541 
Nr tasks 4, Time 0.012584209442138672, Makespan 34, Max Temp 350.84, Top 1 percent highs 346.95573770491796 
Nr tasks 5, Time 0.025418996810913086, Makespan 46, Max Temp 352.8, Top 1 percent highs 352.6075609756098 
Nr tasks 6, Time 0.0270538330078125, Makespan 46, Max Temp 352.97, Top 1 percent highs 352.6364634146341 
Nr tasks 7, Time 0.02891850471496582, Makespan 46, Max Temp 363.46, Top 1 percent highs 354.9036585365854 
Nr tasks 8, Time 0.046033620834350586, Makespan 66, Max Temp 374.93, Top 1 percent highs 374.75652542372876 
Nr tasks 9, Time 0.07364249229431152, Makespan 66, Max Temp 384.29, Top 1 percent highs 383.4153389830508 
Nr tasks 10, Time 0.08580350875854492, Makespan 66, Max Temp 384.29, Top 1 percent highs 383.4201694915255 
Nr tasks 11, Time 0.09611201286315918, Makespan 66, Max Temp 384.3, Top 1 percent highs 383.42957627118636 
Nr tasks 12, Time 0.09687566757202148, Makespan 66, Max Temp 384.31, Top 1 percent highs 383.43423728813553 
Nr tasks 13, Time 0.12006568908691406, Makespan 66, Max Temp 388.29, Top 1 percent highs 387.42550847457636 
Nr tasks 14, Time 0.12304306030273438, Makespan 66, Max Temp 388.32, Top 1 percent highs 387.4533050847459 
Nr tasks 15, Time 0.15327954292297363, Makespan 66, Max Temp 388.33, Top 1 percent highs 388.06855932203393 
Nr tasks 16, Time 0.17750000953674316, Makespan 86, Max Temp 388.33, Top 1 percent highs 388.0004545454546 
Nr tasks 18, Time 0.2071669101715088, Makespan 103, Max Temp 388.34, Top 1 percent highs 387.95848648648655 
Nr tasks 19, Time 0.2722344398498535, Makespan 103, Max Temp 388.34, Top 1 percent highs 387.9593513513514 
Nr tasks 20, Time 0.2829399108886719, Makespan 103, Max Temp 389.39, Top 1 percent highs 388.3691351351354 
Nr tasks 21, Time 0.3142251968383789, Makespan 115, Max Temp 389.39, Top 1 percent highs 388.3218357487923 
Nr tasks 22, Time 0.35100889205932617, Makespan 115, Max Temp 389.39, Top 1 percent highs 389.0471014492758 
Nr tasks 23, Time 0.37874388694763184, Makespan 130, Max Temp 389.39, Top 1 percent highs 388.9449572649576 
Nr tasks 24, Time 0.39813852310180664, Makespan 130, Max Temp 389.39, Top 1 percent highs 388.9473076923083 
Nr tasks 25, Time 0.4001631736755371, Makespan 130, Max Temp 389.39, Top 1 percent highs 388.9475213675219 
Nr tasks 26, Time 0.45157337188720703, Makespan 130, Max Temp 389.39, Top 1 percent highs 388.9476495726501 
Nr tasks 27, Time 0.5001227855682373, Makespan 146, Max Temp 389.39, Top 1 percent highs 388.85583969465716 
Nr tasks 28, Time 0.5634434223175049, Makespan 146, Max Temp 389.39, Top 1 percent highs 388.8645419847333 
Nr tasks 29, Time 0.5455994606018066, Makespan 146, Max Temp 389.39, Top 1 percent highs 388.8764122137409 
Nr tasks 30, Time 0.6303255558013916, Makespan 146, Max Temp 389.39, Top 1 percent highs 388.8766793893135 
Nr tasks 31, Time 0.636871337890625, Makespan 146, Max Temp 389.39, Top 1 percent highs 388.8767557251913 
Nr tasks 32, Time 0.7150359153747559, Makespan 146, Max Temp 389.39, Top 1 percent highs 388.87690839694693 
Nr tasks 33, Time 0.7177078723907471, Makespan 146, Max Temp 389.39, Top 1 percent highs 388.87828244274846 
Nr tasks 34, Time 0.7324349880218506, Makespan 150, Max Temp 389.39, Top 1 percent highs 388.85537037037085 
Nr tasks 35, Time 0.7582061290740967, Makespan 150, Max Temp 389.43, Top 1 percent highs 388.87314814814783 
Nr tasks 36, Time 0.8550794124603271, Makespan 165, Max Temp 389.43, Top 1 percent highs 388.79922558922533 
Nr tasks 37, Time 0.9472384452819824, Makespan 179, Max Temp 389.43, Top 1 percent highs 388.7362422360247 
Nr tasks 38, Time 1.0552177429199219, Makespan 179, Max Temp 389.43, Top 1 percent highs 388.73770186335395 
Nr tasks 39, Time 1.189537525177002, Makespan 179, Max Temp 389.43, Top 1 percent highs 388.7378260869564 
Nr tasks 40, Time 1.2899303436279297, Makespan 179, Max Temp 389.43, Top 1 percent highs 388.73810559006205 
Nr tasks 41, Time 1.3590574264526367, Makespan 179, Max Temp 389.43, Top 1 percent highs 388.73819875776394 
Nr tasks 42, Time 1.459427833557129, Makespan 198, Max Temp 389.43, Top 1 percent highs 388.6589044943819 
Nr tasks 43, Time 1.5217082500457764, Makespan 198, Max Temp 389.43, Top 1 percent highs 388.65932584269666 
Nr tasks 44, Time 1.5824756622314453, Makespan 198, Max Temp 391.16, Top 1 percent highs 389.9434831460671 
Nr tasks 45, Time 1.5719451904296875, Makespan 213, Max Temp 391.16, Top 1 percent highs 389.87851174934696 
Nr tasks 46, Time 1.6039106845855713, Makespan 213, Max Temp 391.16, Top 1 percent highs 389.886579634465 
