Nrtasks,Time,Makespan,MaxTemp,Top1percenthighs
1,0.0034673213958740234,15,344.17,344.17
2,0.0063364505767822266,15,348.57,347.20518518518514
3,0.008831024169921875,19,345.46,345.42147058823525
4,0.010033845901489258,19,349.27,349.03794117647055
5,0.012577295303344727,19,360.38,360.2326470588236
6,0.01693129539489746,19,360.6,360.21382352941197
7,0.021167278289794922,19,369.87,369.3720588235294
8,0.08020257949829102,27,383.68,383.53083333333325
9,0.0886695384979248,34,388.95,388.9031147540983
10,0.15375280380249023,34,390.09,389.68885245901646
11,0.17209887504577637,34,389.27,389.1209836065574
12,0.40701794624328613,34,388.62,388.50704918032784
13,1.5519812107086182,36,387.08,387.05031249999973
14,1.8404240608215332,37,390.92,390.8140909090908
15,3.648017644882202,38,389.92,389.5086764705881
16,98.8165237903595,41,392.39,391.6804109589041

