Nr tasks 1, Time 0.0008702278137207031, Makespan 15, Max Temp 345.05, Top 1 percent highs 345.05 
Nr tasks 2, Time 0.009512662887573242, Makespan 15, Max Temp 349.54, Top 1 percent highs 348.0907407407407 
Nr tasks 3, Time 0.018368244171142578, Makespan 34, Max Temp 348.88, Top 1 percent highs 346.13327868852485 
Nr tasks 4, Time 0.03635358810424805, Makespan 34, Max Temp 353.51, Top 1 percent highs 348.8473770491803 
Nr tasks 5, Time 0.05565834045410156, Makespan 34, Max Temp 368.34, Top 1 percent highs 368.15147540983605 
Nr tasks 6, Time 0.07336926460266113, Makespan 34, Max Temp 372.09, Top 1 percent highs 368.68557377049177 
Nr tasks 7, Time 0.09464097023010254, Makespan 34, Max Temp 380.99, Top 1 percent highs 372.7624590163933 
Nr tasks 8, Time 0.10865020751953125, Makespan 34, Max Temp 390.92, Top 1 percent highs 390.4075409836066 
Nr tasks 9, Time 0.119720458984375, Makespan 34, Max Temp 395.52, Top 1 percent highs 395.2467213114754 
Nr tasks 10, Time 0.13344359397888184, Makespan 34, Max Temp 395.8, Top 1 percent highs 395.64344262295083 
Nr tasks 11, Time 0.17130208015441895, Makespan 34, Max Temp 396.47, Top 1 percent highs 396.3729508196723 
Nr tasks 12, Time 0.16068482398986816, Makespan 34, Max Temp 396.51, Top 1 percent highs 396.4070491803276 
Nr tasks 13, Time 0.16489243507385254, Makespan 50, Max Temp 396.02, Top 1 percent highs 395.87655555555546 
Nr tasks 14, Time 0.18244171142578125, Makespan 50, Max Temp 396.07, Top 1 percent highs 395.9477777777778 
Nr tasks 15, Time 0.1969313621520996, Makespan 50, Max Temp 396.64, Top 1 percent highs 396.1998888888888 
Nr tasks 16, Time 0.21514129638671875, Makespan 50, Max Temp 397.79, Top 1 percent highs 396.9385555555556 
Nr tasks 17, Time 0.22675848007202148, Makespan 50, Max Temp 397.94, Top 1 percent highs 397.1883333333332 
Nr tasks 18, Time 0.2351369857788086, Makespan 50, Max Temp 398.16, Top 1 percent highs 397.65477777777795 
Nr tasks 19, Time 0.25202322006225586, Makespan 68, Max Temp 397.97, Top 1 percent highs 397.0686065573769 
Nr tasks 20, Time 0.2699875831604004, Makespan 68, Max Temp 401.59, Top 1 percent highs 397.8136885245901 
Nr tasks 21, Time 0.28799009323120117, Makespan 80, Max Temp 401.59, Top 1 percent highs 397.594861111111 
Nr tasks 22, Time 0.31936168670654297, Makespan 80, Max Temp 403.23, Top 1 percent highs 398.38291666666663 
Nr tasks 23, Time 0.3328704833984375, Makespan 80, Max Temp 403.24, Top 1 percent highs 398.4004861111112 
Nr tasks 24, Time 0.35002946853637695, Makespan 80, Max Temp 403.24, Top 1 percent highs 398.4016666666666 
Nr tasks 25, Time 0.38361549377441406, Makespan 80, Max Temp 403.24, Top 1 percent highs 398.45034722222204 
Nr tasks 26, Time 0.4080226421356201, Makespan 80, Max Temp 403.24, Top 1 percent highs 399.63666666666677 
Nr tasks 27, Time 0.4212355613708496, Makespan 96, Max Temp 403.24, Top 1 percent highs 399.2777325581393 
Nr tasks 28, Time 0.47965526580810547, Makespan 96, Max Temp 403.28, Top 1 percent highs 399.6235465116279 
Nr tasks 29, Time 0.4720628261566162, Makespan 96, Max Temp 403.28, Top 1 percent highs 399.6345930232557 
Nr tasks 30, Time 0.5088448524475098, Makespan 96, Max Temp 403.28, Top 1 percent highs 400.0066860465116 
Nr tasks 31, Time 0.521935224533081, Makespan 96, Max Temp 403.29, Top 1 percent highs 400.1281976744185 
Nr tasks 32, Time 0.551403284072876, Makespan 96, Max Temp 403.55, Top 1 percent highs 400.3222093023254 
Nr tasks 33, Time 0.5695915222167969, Makespan 96, Max Temp 403.56, Top 1 percent highs 400.35238372093033 
Nr tasks 34, Time 0.5926375389099121, Makespan 96, Max Temp 403.56, Top 1 percent highs 400.35558139534885 
Nr tasks 35, Time 0.60845947265625, Makespan 96, Max Temp 403.56, Top 1 percent highs 400.3586627906976 
Nr tasks 36, Time 0.6486077308654785, Makespan 96, Max Temp 403.56, Top 1 percent highs 400.3622093023256 
Nr tasks 37, Time 0.6530725955963135, Makespan 110, Max Temp 403.56, Top 1 percent highs 400.228383838384 
Nr tasks 38, Time 0.6926028728485107, Makespan 110, Max Temp 403.7, Top 1 percent highs 400.27353535353535 
Nr tasks 39, Time 0.7259390354156494, Makespan 110, Max Temp 403.7, Top 1 percent highs 400.2770202020201 
Nr tasks 40, Time 0.7626454830169678, Makespan 110, Max Temp 403.7, Top 1 percent highs 400.2811111111111 
Nr tasks 41, Time 0.8295764923095703, Makespan 110, Max Temp 403.7, Top 1 percent highs 400.285101010101 
Nr tasks 42, Time 0.8186986446380615, Makespan 129, Max Temp 403.7, Top 1 percent highs 400.1028879310344 
Nr tasks 43, Time 0.9630403518676758, Makespan 129, Max Temp 403.7, Top 1 percent highs 400.1139655172414 
Nr tasks 44, Time 0.936241865158081, Makespan 129, Max Temp 403.7, Top 1 percent highs 400.3115086206898 
Nr tasks 45, Time 0.9052712917327881, Makespan 144, Max Temp 403.7, Top 1 percent highs 400.236447876448 
Nr tasks 46, Time 0.934563398361206, Makespan 144, Max Temp 403.7, Top 1 percent highs 400.3332818532815 
Nr tasks 47, Time 0.9693994522094727, Makespan 144, Max Temp 403.7, Top 1 percent highs 400.335405405405 
Nr tasks 48, Time 1.0189526081085205, Makespan 159, Max Temp 403.7, Top 1 percent highs 400.25597902097877 
Nr tasks 49, Time 1.0388948917388916, Makespan 159, Max Temp 403.7, Top 1 percent highs 400.2591958041957 
Nr tasks 50, Time 1.1805086135864258, Makespan 159, Max Temp 403.7, Top 1 percent highs 400.32374125874077 
Nr tasks 51, Time 1.1486656665802002, Makespan 159, Max Temp 403.7, Top 1 percent highs 400.32388111888065 
Nr tasks 52, Time 1.1978023052215576, Makespan 159, Max Temp 403.7, Top 1 percent highs 400.32409090909044 
Nr tasks 53, Time 1.2183184623718262, Makespan 159, Max Temp 403.7, Top 1 percent highs 400.46356643356637 
Nr tasks 54, Time 1.2853355407714844, Makespan 175, Max Temp 403.7, Top 1 percent highs 400.4186031746031 
Nr tasks 55, Time 1.3029913902282715, Makespan 175, Max Temp 403.7, Top 1 percent highs 400.4187301587301 
Nr tasks 56, Time 1.4805431365966797, Makespan 175, Max Temp 403.7, Top 1 percent highs 400.4187619047619 
Nr tasks 57, Time 1.4539425373077393, Makespan 175, Max Temp 403.7, Top 1 percent highs 400.4189841269841 
Nr tasks 58, Time 1.429093360900879, Makespan 184, Max Temp 403.7, Top 1 percent highs 400.3940785498489 
