Nr tasks 1, Time 0.07084894180297852, Makespan 15, Max Temp 342.12, Avg Temp 325.60948123620346 
Nr tasks 2, Time 0.031508684158325195, Makespan 15, Max Temp 349.54, Avg Temp 326.3574172185431 
Nr tasks 3, Time 0.042330265045166016, Makespan 19, Max Temp 355.19, Avg Temp 332.6357009889469 
Nr tasks 4, Time 0.0422666072845459, Makespan 19, Max Temp 373.14, Avg Temp 333.1049272833042 
Nr tasks 5, Time 0.04369401931762695, Makespan 19, Max Temp 363.74, Avg Temp 340.5683333333333 
Nr tasks 6, Time 0.04360699653625488, Makespan 19, Max Temp 376.83, Avg Temp 341.7434031413612 
Nr tasks 7, Time 0.04301810264587402, Makespan 19, Max Temp 390.44, Avg Temp 340.34600349040136 
Nr tasks 8, Time 0.06092643737792969, Makespan 20, Max Temp 462.0, Avg Temp 362.1005970149254 
Nr tasks 9, Time 0.04718422889709473, Makespan 20, Max Temp 470.78, Avg Temp 381.3010862354892 
Nr tasks 10, Time 0.04509091377258301, Makespan 20, Max Temp 441.11, Avg Temp 380.3243338861251 
Nr tasks 11, Time 0.04834103584289551, Makespan 20, Max Temp 460.62, Avg Temp 382.960442233278 
Nr tasks 12, Time 0.04752159118652344, Makespan 20, Max Temp 461.03, Avg Temp 384.1364013266998 
Nr tasks 13, Time 0.043959617614746094, Makespan 20, Max Temp 443.48, Avg Temp 393.2382835820896 
Nr tasks 14, Time 0.04745054244995117, Makespan 20, Max Temp 451.87, Avg Temp 394.6357545605306 
Nr tasks 15, Time 0.04789447784423828, Makespan 20, Max Temp 492.0, Avg Temp 403.5377584300719 
Nr tasks 16, Time 0.05546307563781738, Makespan 20, Max Temp 512.59, Avg Temp 410.9227611940298 
Nr tasks 17, Time 0.04924130439758301, Makespan 20, Max Temp 555.01, Avg Temp 439.0515671641791 
Nr tasks 18, Time 0.0512998104095459, Makespan 20, Max Temp 540.28, Avg Temp 433.4783720287452 
Nr tasks 19, Time 0.0477447509765625, Makespan 20, Max Temp 514.24, Avg Temp 437.35197070204526 
Nr tasks 20, Time 0.049746036529541016, Makespan 20, Max Temp 545.83, Avg Temp 449.319303482587 
Nr tasks 21, Time 0.09193897247314453, Makespan 20, Max Temp 558.74, Avg Temp 458.064516307352 
Nr tasks 22, Time 0.051259756088256836, Makespan 20, Max Temp 523.41, Avg Temp 457.6985295743506 
Nr tasks 23, Time 0.051485300064086914, Makespan 20, Max Temp 615.93, Avg Temp 482.87934770591477 
Nr tasks 24, Time 0.04905200004577637, Makespan 20, Max Temp 609.8, Avg Temp 482.3675317855168 
Nr tasks 25, Time 0.05432558059692383, Makespan 20, Max Temp 606.52, Avg Temp 483.64759259259256 
Nr tasks 26, Time 0.050197601318359375, Makespan 20, Max Temp 570.23, Avg Temp 484.01465726920935 
Nr tasks 27, Time 0.07509136199951172, Makespan 20, Max Temp 583.45, Avg Temp 499.0447540077391 
Nr tasks 28, Time 0.05016827583312988, Makespan 20, Max Temp 582.73, Avg Temp 500.49284964068556 
Nr tasks 29, Time 0.05399298667907715, Makespan 20, Max Temp 611.01, Avg Temp 506.11415422885574 
Nr tasks 30, Time 0.057016849517822266, Makespan 20, Max Temp 632.97, Avg Temp 514.0131592039802 
