Nrtasks,Time,Makespan,MaxTemp,Avgtemp
0, 0.008361101150512695, 0, 318.15, 318.1499999999999 
10, 0.040717363357543945, 20, 462.07, 382.3853427307905 
20, 0.04120802879333496, 20, 564.96, 450.5027086788281 
30, 0.040712594985961914, 20, 606.46, 513.1760475400774 
40, 0.03879570960998535, 21, 608.73, 536.2299552395997 
50, 0.05758333206176758, 30, 610.14, 541.1193447766705 
60, 0.06693387031555176, 36, 653.08, 539.9169621421976 
70, 0.07065987586975098, 40, 632.63, 541.5175422554724 
80, 0.08122801780700684, 46, 622.04, 549.6320004820438 
90, 0.09023094177246094, 50, 642.14, 549.3337491683301 
100, 0.09883618354797363, 55, 660.67, 556.188611615245 
110, 0.10482954978942871, 60, 672.12, 561.415488999815 
120, 0.11618971824645996, 65, 663.15, 566.2147183819764 
130, 0.1253364086151123, 72, 668.8, 568.9281014023732 
140, 0.14278912544250488, 77, 678.35, 570.1986208387375 
150, 0.16901278495788574, 84, 691.1, 571.4994840797992 
160, 0.1853160858154297, 90, 673.17, 574.8932322111236 
170, 0.17014575004577637, 96, 669.56, 571.6046988091107 
180, 0.17462706565856934, 100, 675.13, 573.9916178266178 
190, 0.20260405540466309, 106, 698.35, 571.4997093936537 
200, 0.23314332962036133, 111, 708.12, 575.0651725172515 
210, 0.21680021286010742, 119, 702.41, 577.4942695214106 
220, 0.2986435890197754, 127, 715.45, 578.9421199405542 
230, 0.23755192756652832, 131, 690.05, 576.3034248665142 
240, 0.2538411617279053, 137, 712.36, 578.6983677769673 
250, 0.26199769973754883, 144, 685.84, 579.4221759580539 
260, 0.29140305519104004, 150, 707.31, 579.7868369235323 
270, 0.2941563129425049, 156, 675.62, 578.0335564808884 
280, 0.29762768745422363, 162, 685.29, 578.0224240866407 
290, 0.2985241413116455, 167, 711.52, 579.1166862823325 
300, 0.31922268867492676, 174, 702.33, 581.1236135043716 
310, 0.3205595016479492, 180, 693.69, 579.0088734653586 
320, 0.348233699798584, 185, 706.55, 579.3636445765054 
330, 0.35285210609436035, 191, 696.74, 578.6193237978953 
340, 0.3692145347595215, 197, 695.87, 578.8726016122669 
350, 0.37890124320983887, 203, 697.22, 579.9133688932656 
360, 0.4195902347564697, 211, 686.19, 577.1071348492029 
370, 0.43466973304748535, 217, 699.01, 576.9793907057681 
380, 0.42349886894226074, 223, 693.03, 577.1190935803575 
390, 0.43700098991394043, 230, 707.97, 576.3835407310831 
400, 0.4438941478729248, 236, 709.61, 577.4490418372629 
410, 0.5195126533508301, 243, 684.46, 575.4593050413637 
420, 0.5068423748016357, 249, 697.7, 574.6495693385075 
430, 0.4951207637786865, 256, 699.12, 575.3365130808268 
440, 0.543175458908081, 263, 670.45, 574.8304204147134 
450, 0.501863956451416, 268, 687.15, 575.3406999875667 
460, 0.5136797428131104, 274, 697.63, 574.5687338359886 
470, 0.5442607402801514, 279, 701.65, 575.3683580158449 
480, 0.5622880458831787, 286, 697.43, 574.3742778360323 
490, 0.5634880065917969, 293, 689.19, 572.5164697297093 
500, 0.5681216716766357, 297, 690.48, 572.64343056958 
510, 0.6391098499298096, 303, 675.54, 573.5680831408777 
520, 0.644639253616333, 309, 671.94, 572.2139446062043 
530, 0.6175587177276611, 313, 679.8, 572.7645526810745 
540, 0.6399352550506592, 320, 704.19, 573.4189312367666 
550, 0.6477687358856201, 327, 676.2, 573.3170287713579 
