Nr tasks 1, Time 1.1290335655212402, Makespan 15, Max Temp 371.73, Avg Temp 334.8256512141281 
Nr tasks 2, Time 0.03259444236755371, Makespan 15, Max Temp 403.18, Avg Temp 339.9466151582045 
Nr tasks 3, Time 0.04181194305419922, Makespan 19, Max Temp 407.15, Avg Temp 353.6581093659103 
Nr tasks 4, Time 0.04331827163696289, Makespan 19, Max Temp 416.09, Avg Temp 356.13326352530544 
Nr tasks 5, Time 0.039389610290527344, Makespan 19, Max Temp 447.79, Avg Temp 370.66589877835963 
Nr tasks 6, Time 0.04337668418884277, Makespan 19, Max Temp 463.47, Avg Temp 369.3152850494473 
Nr tasks 7, Time 0.04498410224914551, Makespan 19, Max Temp 486.59, Avg Temp 369.6099418266433 
Nr tasks 8, Time 0.04651641845703125, Makespan 20, Max Temp 487.76, Avg Temp 392.35119402985066 
Nr tasks 9, Time 0.04689168930053711, Makespan 20, Max Temp 517.61, Avg Temp 405.08228302929797 
Nr tasks 10, Time 0.05155754089355469, Makespan 20, Max Temp 519.47, Avg Temp 409.58457711442793 
Nr tasks 11, Time 0.048003435134887695, Makespan 20, Max Temp 532.56, Avg Temp 410.6890353786622 
Nr tasks 12, Time 0.04814767837524414, Makespan 20, Max Temp 536.49, Avg Temp 421.3558623548923 
Nr tasks 13, Time 0.04717898368835449, Makespan 20, Max Temp 543.61, Avg Temp 441.9111111111111 
Nr tasks 14, Time 0.04743003845214844, Makespan 20, Max Temp 603.29, Avg Temp 443.1264427860697 
Nr tasks 15, Time 0.049494028091430664, Makespan 20, Max Temp 564.05, Avg Temp 446.5815422885573 
Nr tasks 16, Time 0.06595921516418457, Makespan 20, Max Temp 609.46, Avg Temp 445.602498618021 
Nr tasks 17, Time 0.05301809310913086, Makespan 20, Max Temp 558.55, Avg Temp 458.9603427307905 
Nr tasks 18, Time 0.05000877380371094, Makespan 20, Max Temp 580.26, Avg Temp 470.28915975677177 
Nr tasks 19, Time 0.05441737174987793, Makespan 20, Max Temp 574.81, Avg Temp 487.0375456053068 
Nr tasks 20, Time 0.05171632766723633, Makespan 20, Max Temp 639.21, Avg Temp 493.0151022664456 
Nr tasks 21, Time 0.05410885810852051, Makespan 20, Max Temp 666.2, Avg Temp 509.4985185185186 
Nr tasks 22, Time 0.05388164520263672, Makespan 20, Max Temp 646.17, Avg Temp 526.7987202874515 
Nr tasks 23, Time 0.049309492111206055, Makespan 20, Max Temp 614.54, Avg Temp 535.037114427861 
Nr tasks 24, Time 0.05423784255981445, Makespan 20, Max Temp 692.36, Avg Temp 556.2021448313986 
Nr tasks 25, Time 0.06308746337890625, Makespan 20, Max Temp 671.11, Avg Temp 559.2705859590934 
Nr tasks 26, Time 0.05609869956970215, Makespan 20, Max Temp 691.3, Avg Temp 578.4578800442234 
Nr tasks 27, Time 0.05568885803222656, Makespan 20, Max Temp 633.59, Avg Temp 575.4532310668878 
Nr tasks 28, Time 0.06137657165527344, Makespan 20, Max Temp 698.74, Avg Temp 584.0153399668325 
Nr tasks 29, Time 0.05559420585632324, Makespan 20, Max Temp 714.45, Avg Temp 598.5779380873412 
Nr tasks 30, Time 0.05129098892211914, Makespan 20, Max Temp 724.13, Avg Temp 612.9923023770039 
