Nrtasks,Time,Makespan,MaxTemp,Top1percenthighs
1,0.003007173538208008,15,342.12,342.12000000000006
2,0.007532596588134766,15,351.49,349.0818518518518
3,0.01158452033996582,19,352.54,352.4864705882353
4,0.009402036666870117,19,353.51,352.6052941176471
5,0.013138294219970703,19,368.07,367.80176470588236
6,0.014261245727539062,19,369.19,368.5538235294118
7,0.019522428512573242,19,366.86,366.6682352941177
8,0.02442479133605957,20,390.61,390.4605555555555
9,0.03302597999572754,20,410.66,410.1877777777778
10,0.03638577461242676,20,407.38,407.06388888888887
11,0.042244911193847656,20,411.3,408.6000000000001
12,0.05292701721191406,20,439.65,437.303611111111
13,0.0825338363647461,20,435.53,430.51222222222225
14,0.06758403778076172,20,438.03,437.3616666666666
15,0.07833576202392578,20,432.56,432.3144444444445
16,0.11521053314208984,20,440.76,439.9461111111111
17,0.9748311042785645,20,447.77,447.2461111111112

