Nr tasks 1, Time 0.0035970211029052734, Makespan 15, Max Temp 342.12, Top 1 percent highs 342.12000000000006, GAP 0.0% 
Nr tasks 2, Time 0.005692481994628906, Makespan 16, Max Temp 345.04, Top 1 percent highs 345.04000000000013, GAP 6.25% 
Nr tasks 3, Time 0.00797414779663086, Makespan 20, Max Temp 348.28, Top 1 percent highs 348.2366666666666, GAP 5.0% 
Nr tasks 4, Time 0.007390737533569336, Makespan 20, Max Temp 362.88, Top 1 percent highs 362.335, GAP 5.0% 
Nr tasks 5, Time 0.010737180709838867, Makespan 19, Max Temp 368.07, Top 1 percent highs 367.80176470588236, GAP 0.0% 
Nr tasks 6, Time 0.014572858810424805, Makespan 19, Max Temp 369.19, Top 1 percent highs 368.5538235294118, GAP 0.0% 
Nr tasks 7, Time 0.02576422691345215, Makespan 19, Max Temp 366.86, Top 1 percent highs 366.6682352941177, GAP 0.0% 
Nr tasks 8, Time 0.024811267852783203, Makespan 20, Max Temp 390.61, Top 1 percent highs 390.4605555555555, GAP 0.0% 
Nr tasks 9, Time 0.03998398780822754, Makespan 20, Max Temp 410.66, Top 1 percent highs 410.1877777777778, GAP 0.0% 
Nr tasks 10, Time 0.03508949279785156, Makespan 20, Max Temp 407.38, Top 1 percent highs 407.06388888888887, GAP 0.0% 
Nr tasks 11, Time 0.04414081573486328, Makespan 20, Max Temp 411.3, Top 1 percent highs 408.6000000000001, GAP 0.0% 
Nr tasks 12, Time 0.07834315299987793, Makespan 20, Max Temp 439.65, Top 1 percent highs 437.303611111111, GAP 0.0% 
Nr tasks 13, Time 0.0554499626159668, Makespan 20, Max Temp 435.53, Top 1 percent highs 430.51222222222225, GAP 0.0% 
Nr tasks 14, Time 0.06374931335449219, Makespan 20, Max Temp 438.03, Top 1 percent highs 437.3616666666666, GAP 0.0% 
Nr tasks 15, Time 0.07587528228759766, Makespan 20, Max Temp 432.56, Top 1 percent highs 432.3144444444445, GAP 0.0% 
Nr tasks 16, Time 0.10549402236938477, Makespan 20, Max Temp 440.76, Top 1 percent highs 439.9461111111111, GAP 0.0% 
Nr tasks 17, Time 0.24018192291259766, Makespan 26, Max Temp 469.13, Top 1 percent highs 468.117391304348, GAP 23.076923076923077% 
Nr tasks 18, Time 0.5241544246673584, Makespan 24, Max Temp 472.73, Top 1 percent highs 470.5379069767441, GAP 16.666666666666664% 
Nr tasks 19, Time 2.315988302230835, Makespan 27, Max Temp 448.88, Top 1 percent highs 448.5374999999999, GAP 22.222222214156368% 
Nr tasks 20, Time 4.66715145111084, Makespan 27, Max Temp 466.31, Top 1 percent highs 465.0841666666667, GAP 22.22222221415642% 
Nr tasks 21, Time 7.084395885467529, Makespan 27, Max Temp 477.2, Top 1 percent highs 476.4770833333334, GAP 22.222220729138606% 
Nr tasks 22, Time 8.857426643371582, Makespan 27, Max Temp 456.63, Top 1 percent highs 456.2714583333334, GAP 14.814814814814813% 
Nr tasks 23, Time 13.754457473754883, Makespan 30, Max Temp 479.95, Top 1 percent highs 479.460925925926, GAP 23.333333325411107% 
Nr tasks 24, Time 11.006770849227905, Makespan 30, Max Temp 462.16, Top 1 percent highs 461.4637037037036, GAP 3.332301178697132e-05% 
Nr tasks 25, Time 15.042110681533813, Makespan 30, Max Temp 481.18, Top 1 percent highs 477.6949999999998, GAP 23.33333163015662% 
Nr tasks 26, Time 12.76537299156189, Makespan 30, Max Temp 466.89, Top 1 percent highs 465.68907407407414, GAP 23.333333333333332% 
Nr tasks 27, Time 21.87510108947754, Makespan 31, Max Temp 484.71, Top 1 percent highs 483.9787272727272, GAP 19.35483870967742% 
Nr tasks 28, Time 43.78784203529358, Makespan 31, Max Temp 471.79, Top 1 percent highs 471.04581818181816, GAP 22.580645153298637% 
Nr tasks 29, Time 109.74029922485352, Makespan 31, Max Temp 496.59, Top 1 percent highs 494.31018181818183, GAP 22.58064516129032% 
Nr tasks 30, Time 91.45124673843384, Makespan 32, Max Temp 478.19, Top 1 percent highs 476.83368421052626, GAP 25.0% 
Nr tasks 31, Time 233.78656888008118, Makespan 32, Max Temp 476.68, Top 1 percent highs 474.4375438596492, GAP 24.90234375% 
Nr tasks 32, Time 119.23920369148254, Makespan 32, Max Temp 498.26, Top 1 percent highs 497.02543859649126, GAP 21.875% 
Nr tasks 33, Time 341.33489179611206, Makespan 32, Max Temp 505.67, Top 1 percent highs 504.5514035087719, GAP 25.0% 
Nr tasks 34, Time 195.42508125305176, Makespan 33, Max Temp 499.81, Top 1 percent highs 498.66355932203413, GAP 24.242424242424242% 
Nr tasks 35, Time 541.3454155921936, Makespan 32, Max Temp 509.33, Top 1 percent highs 507.9363157894736, GAP 21.875% 
Nr tasks 36, Time 1200.5929510593414, Makespan 35, Max Temp 520.67, Top 1 percent highs 515.504761904762, GAP 42.857142851265294% 
