Nrtasks,Time,Makespan,MaxTemp
1,0.05071687698364258,15,345.05
2,0.027991533279418945,15,343.67
3,0.04779958724975586,19,344.85
4,0.07434606552124023,19,355.83
5,0.10903596878051758,19,371.02
6,0.1552562713623047,19,365.07
7,0.18972110748291016,19,394.44
8,0.3286738395690918,20,392.57
9,2.473618984222412,20,398.68
10,2.4812724590301514,25,398.18
11,2.5004167556762695,26,398.18
12,2.5279712677001953,26,398.22
13,2.5524344444274902,36,404.63
14,2.582362174987793,36,399.97
15,2.6485183238983154,36,400.85
16,3.0336782932281494,40,397.99
17,25.334813594818115,41,401.46
18,89.5431637763977,41,401.07
19,89.55375099182129,59,400.62
20,89.56544709205627,59,402.42
21,89.58974552154541,59,400.8
22,89.61529016494751,59,400.85
23,89.9778311252594,59,401.01
24,90.13779187202454,59,401.02
25,91.08460021018982,59,401.03
26,121.24050498008728,62,401.0
27,142.37288355827332,66,401.03
28,142.3805091381073,72,400.91
29,142.3974199295044,72,405.79
30,142.4233911037445,82,400.81
31,142.4644958972931,82,400.83
32,142.50794672966003,82,406.5
33,142.57082533836365,82,400.86
34,142.675883769989,82,400.9
35,142.9084770679474,82,400.92
36,143.59545516967773,82,400.96
37,143.60324382781982,96,400.79
38,143.6240200996399,96,400.79
39,143.64230799674988,96,400.82
40,143.6679151058197,96,400.85
41,143.70421719551086,97,400.87
42,143.77518439292908,101,400.9
43,148.9985990524292,101,400.98
44,163.1321976184845,107,400.96
45,554.3000347614288,111,400.98
46,554.3072471618652,113,400.96
47,554.3217225074768,131,400.8
48,554.3568205833435,131,400.87
49,554.3737936019897,131,400.92
50,554.4329221248627,131,400.93

