Nr tasks 1, Time 0.0028259754180908203, Makespan 15, Max Temp 382.29, Avg Temp 345.3306291390723 
Nr tasks 2, Time 0.005409955978393555, Makespan 15, Max Temp 402.79, Avg Temp 351.8976572847682 
Nr tasks 3, Time 0.005979299545288086, Makespan 19, Max Temp 445.39, Avg Temp 371.225752617801 
Nr tasks 4, Time 0.006457805633544922, Makespan 19, Max Temp 458.21, Avg Temp 374.7182657068063 
Nr tasks 5, Time 0.01793670654296875, Makespan 27, Max Temp 406.24, Avg Temp 369.71881457564575 
Nr tasks 6, Time 0.024487733840942383, Makespan 27, Max Temp 413.07, Avg Temp 370.0225046125462 
Nr tasks 7, Time 0.027065515518188477, Makespan 27, Max Temp 458.88, Avg Temp 371.8830258302581 
Nr tasks 8, Time 0.019929885864257812, Makespan 27, Max Temp 460.57, Avg Temp 393.7490590405904 
Nr tasks 9, Time 0.1894543170928955, Makespan 33, Max Temp 461.22, Avg Temp 390.41677492447127 
Nr tasks 10, Time 0.14635157585144043, Makespan 33, Max Temp 456.41, Avg Temp 396.51875755287006 
Nr tasks 11, Time 0.29579591751098633, Makespan 33, Max Temp 454.37, Avg Temp 397.92548716012084 
Nr tasks 12, Time 1.8119778633117676, Makespan 37, Max Temp 454.34, Avg Temp 393.9512432614555 
Nr tasks 13, Time 0.17813897132873535, Makespan 49, Max Temp 463.92, Avg Temp 387.492151221996 
Nr tasks 14, Time 0.41946864128112793, Makespan 52, Max Temp 464.76, Avg Temp 384.42005278310944 
Nr tasks 15, Time 0.6479802131652832, Makespan 55, Max Temp 453.1, Avg Temp 383.328423321234 
Nr tasks 16, Time 0.9001665115356445, Makespan 55, Max Temp 456.13, Avg Temp 385.0001996370235 
Nr tasks 17, Time 1.2569129467010498, Makespan 55, Max Temp 460.17, Avg Temp 392.6059573502722 
Nr tasks 18, Time 0.5969569683074951, Makespan 65, Max Temp 462.54, Avg Temp 386.85545890937004 
Nr tasks 19, Time 1.4481234550476074, Makespan 65, Max Temp 462.53, Avg Temp 390.4091474654376 
Nr tasks 20, Time 3.469485282897949, Makespan 72, Max Temp 463.91, Avg Temp 386.93637135922324 
Nr tasks 21, Time 1.870408296585083, Makespan 89, Max Temp 457.57, Avg Temp 379.11945987654326 
Nr tasks 22, Time 1.4593017101287842, Makespan 89, Max Temp 466.49, Avg Temp 384.6368013468014 
Nr tasks 23, Time 2.2126734256744385, Makespan 89, Max Temp 457.79, Avg Temp 388.0442424242428 
Nr tasks 24, Time 3.3526952266693115, Makespan 105, Max Temp 460.67, Avg Temp 381.21344671741184 
Nr tasks 25, Time 4.514319896697998, Makespan 105, Max Temp 462.4, Avg Temp 382.4022335870601 
Nr tasks 26, Time 84.18944597244263, Makespan 124, Max Temp 464.42, Avg Temp 377.7522481869459 
Nr tasks 27, Time 22.16365885734558, Makespan 127, Max Temp 457.89, Avg Temp 376.6904376475215 
Nr tasks 28, Time 37.71528482437134, Makespan 127, Max Temp 458.66, Avg Temp 377.7374498426435 
Nr tasks 29, Time 32.92414140701294, Makespan 139, Max Temp 458.3, Avg Temp 374.38046818835346 
Nr tasks 30, Time 103.5343599319458, Makespan 139, Max Temp 464.53, Avg Temp 378.97141355140224 
