Nrtasks,Time,Makespan,MaxTemp,Top1percenthighs
1,0.0007202625274658203,15,346.84,346.8400000000001
2,0.0009248256683349609,15,351.36,350.32666666666665
3,0.0028018951416015625,34,350.64,348.1744444444444
4,0.0035905838012695312,34,371.88,369.4577777777777
5,0.0071849822998046875,46,372.33,369.5577777777778
6,0.008260011672973633,46,373.86,370.3902777777777
7,0.008452415466308594,46,373.99,370.53861111111115
8,0.013950109481811523,66,379.23,379.15423076923065
9,0.019677162170410156,66,396.39,396.0338461538462
10,0.022751808166503906,66,396.39,396.0376923076923
11,0.029476165771484375,66,396.4,396.04480769230764
12,0.026475191116333008,67,396.4,396.037358490566
13,0.0379941463470459,83,396.4,395.93515151515146
14,0.03919529914855957,86,396.4,395.9192647058823
15,0.05593609809875488,86,396.42,395.945
16,0.0706624984741211,106,396.42,395.82797619047625
17,0.07707905769348145,123,396.42,395.7411224489797
18,0.08533883094787598,123,396.42,395.7411224489797
19,0.11400556564331055,141,396.42,395.6616964285716
20,0.1304938793182373,151,396.42,395.6195833333334
21,0.16173338890075684,163,396.42,395.5688461538464
22,0.18368124961853027,163,396.42,395.56907692307703
23,0.20084619522094727,178,396.42,395.50978873239444
24,0.19148778915405273,179,396.42,395.5048951048952
25,0.20131611824035645,179,396.42,395.5065034965036
26,0.23357295989990234,179,396.42,395.5069930069931
27,0.24182367324829102,195,396.42,395.44346153846175
28,0.27294468879699707,195,396.43,395.45230769230756
29,0.2738349437713623,198,396.43,395.44259493670876
30,0.31659722328186035,214,396.42,395.3790058479531
31,0.31957221031188965,217,396.42,395.3693063583813
32,0.3556487560272217,217,396.42,395.36965317919066
33,0.35340142250061035,217,396.49,395.4610982658959
34,0.3659687042236328,221,396.49,395.44704545454533
35,0.3896615505218506,221,396.49,395.4471022727272
36,0.47463274002075195,236,396.49,395.38962765957444
37,0.5242471694946289,250,396.49,395.3320999999999
38,0.5531446933746338,250,396.49,395.3321499999999
39,0.5983037948608398,250,396.49,395.33249999999987
40,0.6533405780792236,250,396.49,395.33274999999986
41,0.8150634765625,250,396.49,395.3328999999999
42,0.7723424434661865,269,396.49,395.26027906976736
43,0.8207805156707764,281,396.49,395.216919642857
44,0.8993089199066162,292,396.49,395.1732188841201
45,0.9210026264190674,307,396.49,395.11371428571437
46,0.8823752403259277,307,396.49,395.11383673469396
47,0.9907417297363281,327,396.49,395.0326053639848
48,1.064023494720459,342,396.49,394.97311355311354
49,1.140089750289917,342,396.49,394.9736263736263
50,1.199547290802002,342,396.49,394.973846153846
51,1.2475028038024902,342,396.49,394.9740293040291
52,1.40189528465271,356,396.49,394.9232746478871
53,1.5514535903930664,373,396.49,394.8635906040268
54,1.6371006965637207,389,396.49,394.8130225080385
55,1.7564246654510498,389,396.49,394.81324758842436
56,1.9715416431427002,389,396.52,394.8536012861733
57,1.9087235927581787,395,396.52,394.83477848101234
58,2.090465545654297,395,396.52,394.8349999999997
59,2.0673773288726807,406,396.52,394.80598765432075
60,2.2116870880126953,406,396.53,394.8111419753083
61,2.377358913421631,419,396.53,394.77304477611915
62,2.358199119567871,419,396.53,394.77310447761164
63,2.3230388164520264,419,396.53,394.77310447761164
64,2.6705734729766846,419,396.53,394.77334328358177
65,2.77402400970459,419,396.53,394.7735522388057
66,2.950697422027588,419,396.53,394.7737611940296
67,3.1845543384552,438,396.53,394.7251714285712
68,3.263855218887329,438,396.53,394.7253142857141
69,3.376281261444092,438,396.55,394.7502285714288
70,3.4658491611480713,438,396.55,394.7504285714288
71,3.563758611679077,453,396.55,394.71386740331513
72,3.595966339111328,453,396.55,394.7140331491715
73,3.6443405151367188,460,396.55,394.69652173913084
74,3.8367512226104736,460,396.55,394.6966576086961
75,4.170848846435547,479,396.55,394.65279373368173
76,4.257719278335571,479,396.58,394.6941253263713
77,4.436885833740234,491,396.58,394.6673724489801
78,4.275087833404541,496,396.58,394.65522727272787
79,4.663899898529053,514,396.58,394.60854014598607
80,4.646718740463257,514,396.58,394.6087104622877
81,4.728492975234985,514,396.59,394.6322141119229
82,4.994197130203247,534,396.59,394.58135831381793
83,5.023833990097046,539,396.59,394.5687470997686
84,5.081141233444214,539,396.59,394.5688631090493
85,5.491118669509888,539,396.61,394.59538283062693
86,5.5216124057769775,539,396.62,394.60726218097443
87,5.443118333816528,539,396.62,394.6073085846868
88,5.551962614059448,539,396.62,394.6073317865429
89,5.643911600112915,539,396.62,394.60765661252907
90,5.7222442626953125,539,396.62,394.607819025522
91,5.7703773975372314,548,396.62,394.58568493150693
92,6.069087982177734,548,396.62,394.58584474885845
93,5.94673228263855,559,396.62,394.5576062639822
94,6.257598638534546,564,396.62,394.54509977827064
95,6.115911245346069,564,396.62,394.5451441241686
96,6.1734232902526855,564,396.62,394.5453215077606
97,6.284852504730225,577,396.62,394.5130802603038
98,6.520287275314331,586,396.62,394.4886324786326
99,6.225779056549072,586,396.62,394.4886965811967
100,6.484119415283203,586,396.62,394.4888034188035
105,7.438641786575317,596,396.62,394.75829831932833
110,8.292154550552368,623,396.62,394.7061646586351
115,9.084202527999878,662,396.62,394.6272589792066
120,9.775766849517822,677,396.64,395.3249353049911
125,10.431843757629395,727,396.64,395.25979345955267
130,11.812865018844604,774,396.64,395.1944426494349
135,13.574664115905762,829,396.64,395.11576168929133
140,14.513886451721191,840,396.65,395.14316964285706
145,17.067553281784058,885,396.65,395.07854519774
150,19.118878841400146,930,396.65,395.0147580645166
100,6.667551755905151,586,396.62,394.4888034188035
110,8.358651161193848,623,396.62,394.7061646586351
120,9.903961658477783,677,396.64,395.3249353049911
130,11.843212842941284,774,396.64,395.1944426494349
140,14.764949560165405,840,396.65,395.14316964285706
150,19.435134887695312,930,396.65,395.0147580645166
160,23.131691694259644,1034,396.65,394.88385731559833
170,31.244539260864258,1090,396.65,394.81397935779785
180,36.043771743774414,1140,396.7,394.7859868421055
190,43.399625062942505,1216,396.7,394.6877983539096
200,50.97584366798401,1262,396.7,394.6275619425176
210,60.55580019950867,1356,396.7,394.80831180811833
220,68.62229371070862,1444,396.7,394.74255411255433
230,77.88262462615967,1483,396.71,394.7357841483984
240,86.4324312210083,1537,396.71,394.6867697314896
250,97.65022492408752,1625,396.75,394.62260769230807
260,111.35768055915833,1690,396.79,394.583713017752
270,132.18387174606323,1730,396.79,394.5457947976882
280,149.41320872306824,1786,396.79,394.4938655462189
290,143.448992729187,1837,396.8,394.4475833900618
300,163.54827070236206,1917,397.05,394.7984018264842
310,184.9034605026245,1965,397.1,394.77356234096726
320,199.95442080497742,2014,397.1,394.73553072625674
340,245.91231966018677,2143,397.96,395.3526429404904
360,294.5567536354065,2279,397.96,395.3074766867799
380,351.0200443267822,2402,397.96,395.2842581988545
400,402.1934471130371,2547,397.96,395.1936082474225
420,514.9286794662476,2656,397.96,395.1264736346516
440,592.7261867523193,2793,397.96,395.0438406445835
460,635.1960277557373,2900,397.96,394.98992241379267
480,710.0648272037506,2987,397.96,394.9429468396811
500,825.148029088974,3100,397.96,394.879717741935

