Nr tasks 1, Time 0.0005710124969482422, Makespan 15, Max Temp 346.84, Top 1 percent highs 346.8400000000001 
Nr tasks 2, Time 0.0015387535095214844, Makespan 15, Max Temp 351.37, Top 1 percent highs 350.5 
Nr tasks 3, Time 0.0031147003173828125, Makespan 34, Max Temp 350.7, Top 1 percent highs 348.65999999999997 
Nr tasks 4, Time 0.005850553512573242, Makespan 34, Max Temp 355.48, Top 1 percent highs 353.03407407407406 
Nr tasks 5, Time 0.008085012435913086, Makespan 34, Max Temp 371.11, Top 1 percent highs 368.86481481481485 
Nr tasks 6, Time 0.010655879974365234, Makespan 34, Max Temp 375.5, Top 1 percent highs 372.02444444444444 
Nr tasks 7, Time 0.012943029403686523, Makespan 34, Max Temp 386.24, Top 1 percent highs 380.7911111111111 
Nr tasks 8, Time 0.014951229095458984, Makespan 34, Max Temp 397.81, Top 1 percent highs 397.6537037037037 
Nr tasks 9, Time 0.017136573791503906, Makespan 54, Max Temp 397.62, Top 1 percent highs 397.33511627906967 
Nr tasks 10, Time 0.020781755447387695, Makespan 54, Max Temp 397.69, Top 1 percent highs 397.4144186046511 
Nr tasks 11, Time 0.024583101272583008, Makespan 54, Max Temp 397.78, Top 1 percent highs 397.5183720930233 
Nr tasks 12, Time 0.02570652961730957, Makespan 54, Max Temp 397.82, Top 1 percent highs 397.56279069767436 
Nr tasks 13, Time 0.028608322143554688, Makespan 54, Max Temp 398.19, Top 1 percent highs 397.9860465116279 
Nr tasks 14, Time 0.032166242599487305, Makespan 54, Max Temp 398.31, Top 1 percent highs 398.1225581395349 
Nr tasks 15, Time 0.03475785255432129, Makespan 69, Max Temp 397.82, Top 1 percent highs 397.4950909090909 
Nr tasks 16, Time 0.038057804107666016, Makespan 69, Max Temp 398.04, Top 1 percent highs 397.7427272727272 
Nr tasks 17, Time 0.04084610939025879, Makespan 86, Max Temp 397.97, Top 1 percent highs 397.58338235294116 
Nr tasks 18, Time 0.04772782325744629, Makespan 86, Max Temp 398.13, Top 1 percent highs 397.7220588235293 
Nr tasks 19, Time 0.051412105560302734, Makespan 86, Max Temp 398.52, Top 1 percent highs 398.3182352941176 
Nr tasks 20, Time 0.054567575454711914, Makespan 86, Max Temp 398.52, Top 1 percent highs 398.35985294117654 
Nr tasks 21, Time 0.056246042251586914, Makespan 98, Max Temp 398.52, Top 1 percent highs 398.29205128205126 
Nr tasks 22, Time 0.06092429161071777, Makespan 98, Max Temp 398.52, Top 1 percent highs 398.3080769230769 
Nr tasks 23, Time 0.07224607467651367, Makespan 113, Max Temp 398.52, Top 1 percent highs 398.2599999999999 
Nr tasks 24, Time 0.07053709030151367, Makespan 113, Max Temp 398.57, Top 1 percent highs 398.31477777777764 
Nr tasks 25, Time 0.07915544509887695, Makespan 113, Max Temp 398.61, Top 1 percent highs 398.3705555555555 
Nr tasks 26, Time 0.08193135261535645, Makespan 113, Max Temp 398.63, Top 1 percent highs 398.38477777777786 
Nr tasks 27, Time 0.08677911758422852, Makespan 129, Max Temp 398.59, Top 1 percent highs 398.32650485436886 
Nr tasks 28, Time 0.09455537796020508, Makespan 129, Max Temp 398.7, Top 1 percent highs 398.5209708737862 
Nr tasks 29, Time 0.09932088851928711, Makespan 129, Max Temp 401.33, Top 1 percent highs 399.7245631067959 
Nr tasks 30, Time 0.10574197769165039, Makespan 129, Max Temp 401.33, Top 1 percent highs 399.72466019417453 
Nr tasks 31, Time 0.11119461059570312, Makespan 129, Max Temp 401.33, Top 1 percent highs 399.72466019417453 
Nr tasks 32, Time 0.1168670654296875, Makespan 129, Max Temp 401.33, Top 1 percent highs 399.72466019417453 
Nr tasks 33, Time 0.12133312225341797, Makespan 129, Max Temp 401.33, Top 1 percent highs 399.7258252427183 
Nr tasks 34, Time 0.12701892852783203, Makespan 129, Max Temp 401.33, Top 1 percent highs 399.7281553398057 
Nr tasks 35, Time 0.13152647018432617, Makespan 129, Max Temp 401.37, Top 1 percent highs 399.77524271844635 
Nr tasks 36, Time 0.14108538627624512, Makespan 144, Max Temp 401.37, Top 1 percent highs 399.687391304347 
Nr tasks 37, Time 0.14756059646606445, Makespan 144, Max Temp 401.37, Top 1 percent highs 399.68817391304276 
Nr tasks 38, Time 0.15559029579162598, Makespan 144, Max Temp 401.37, Top 1 percent highs 399.7448695652173 
Nr tasks 39, Time 0.16561532020568848, Makespan 144, Max Temp 401.37, Top 1 percent highs 399.7466086956521 
Nr tasks 40, Time 0.16952776908874512, Makespan 144, Max Temp 401.37, Top 1 percent highs 399.748 
Nr tasks 41, Time 0.17746567726135254, Makespan 144, Max Temp 401.37, Top 1 percent highs 399.7497391304348 
