Nrtasks,Time,Makespan,MaxTemp,Top1percenthighs
1,0.0007100105285644531,15,346.84,346.8400000000001
2,0.0007274150848388672,15,351.37,350.5
3,0.002555370330810547,34,350.7,348.65999999999997
4,0.0028066635131835938,34,355.48,353.03407407407406
5,0.00467228889465332,34,371.11,368.86481481481485
6,0.004895210266113281,34,375.5,372.02444444444444
7,0.005348920822143555,35,375.55,371.9575
8,0.011561393737792969,55,379.1,379.0170454545454
9,0.020134449005126953,55,397.12,396.93477272727284
10,0.020893096923828125,55,397.13,396.93954545454545
11,0.02691507339477539,55,397.13,396.94545454545454
12,0.02788686752319336,55,397.23,397.0609090909091
13,0.030694961547851562,55,421.3,417.64954545454543
14,0.034662723541259766,55,421.8,418.07386363636357
15,0.04040956497192383,55,424.28,422.1161363636365
16,0.04605364799499512,55,425.11,422.99386363636364
17,0.05125164985656738,55,427.32,426.2702272727274
18,0.056098222732543945,57,427.03,426.11022222222215
19,0.06556820869445801,75,426.17,425.70000000000005
20,0.07542133331298828,85,426.16,425.6276470588236
21,0.09125995635986328,97,426.16,425.54272727272723
22,0.09579277038574219,97,427.27,425.7688311688311
23,0.1114199161529541,97,428.26,426.0380519480519
24,0.1104886531829834,97,428.33,426.06025974025965
25,0.1181190013885498,97,429.37,426.83532467532467
26,0.126906156539917,97,431.62,427.76727272727265
27,0.14948487281799316,97,432.2,428.3340259740258
28,0.15347075462341309,97,432.28,429.6519480519481
29,0.16424250602722168,97,432.43,429.81597402597407
30,0.17513132095336914,97,432.78,430.1885714285714
31,0.18039941787719727,97,432.92,430.3475324675325
32,0.1994037628173828,97,436.9,434.6253246753245
33,0.2040853500366211,97,436.92,434.6510389610388
34,0.19873857498168945,97,437.05,434.78766233766237
35,0.21304011344909668,102,436.85,434.4432098765434
36,0.2346937656402588,117,436.22,433.3421505376344
37,0.2595505714416504,131,435.87,432.60480769230765
38,0.2797987461090088,131,437.1,433.7374038461538
39,0.296417236328125,131,437.54,434.1979807692308
40,0.3110649585723877,131,437.61,434.303076923077
41,0.3487513065338135,131,437.68,434.40423076923094
42,0.3969135284423828,150,437.44,433.55783333333346
43,0.42782139778137207,150,437.6,433.8006666666667
44,0.4476761817932129,150,437.77,434.05258333333353
45,0.4706416130065918,150,437.97,434.3478333333334
46,0.4692232608795166,150,438.0,434.3871666666666
47,0.544295072555542,150,438.13,434.5878333333332
48,0.5706748962402344,150,438.34,434.90349999999995
49,0.5707266330718994,150,438.48,435.1165833333332
50,0.593376874923706,150,438.53,435.1939166666667
51,0.61488938331604,150,438.6,435.30174999999986
52,0.6660802364349365,164,438.29,434.5253435114504
53,0.7192203998565674,164,438.38,434.65893129771
54,0.7529544830322266,180,438.14,433.94319444444454
55,0.8557553291320801,180,438.2,434.0428472222219
56,0.9013113975524902,180,438.25,434.12805555555565
57,0.8965320587158203,180,438.33,434.2494444444444
58,0.9638152122497559,180,438.38,434.3269444444446
59,0.9339690208435059,180,438.49,434.5152777777779
60,0.9559261798858643,180,438.5,434.5359722222222
61,0.9974031448364258,180,438.59,434.6774305555553
62,1.017857551574707,180,438.6,434.7022916666667
63,1.0051145553588867,180,438.62,434.7239583333333
64,1.1002743244171143,197,438.29,433.894076433121
65,1.1244683265686035,208,438.14,433.486626506024
66,1.2200031280517578,208,438.19,433.56114457831313
67,1.2993834018707275,227,437.96,432.9239779005524
68,1.3178277015686035,227,437.98,432.9596685082875
69,1.3436949253082275,227,438.01,432.9956906077347
70,1.428873062133789,227,438.07,433.0867955801108
71,1.5118293762207031,227,438.2,433.2936464088397
72,1.5087828636169434,227,438.26,433.3828176795579
73,1.6176605224609375,227,438.33,433.48502762430934
74,1.6305501461029053,227,438.39,433.58762430939237
75,1.7575132846832275,227,438.48,433.74082872928193
76,1.8581960201263428,227,438.51,433.7881767955802
77,1.8892922401428223,227,438.63,433.97580110497216
78,1.939107894897461,227,438.67,434.05287292817667
79,1.9666996002197266,245,438.48,433.4688265306124
80,2.074894666671753,245,438.52,433.5354081632652
81,2.0623672008514404,245,438.53,433.5565816326533
82,2.2615628242492676,245,438.61,433.68984693877553
83,2.2717862129211426,245,438.66,433.7632653061227
84,2.3451650142669678,245,438.68,433.79306122449
85,2.412750005722046,245,438.69,433.8121938775511
86,2.3855905532836914,245,438.7,433.8230102040817
87,2.4253931045532227,245,438.72,433.86188775510186
88,2.4128952026367188,245,438.73,433.8872959183674
89,2.422084093093872,245,438.81,434.01999999999987
90,2.4678573608398438,245,438.86,434.1010204081632
91,2.529258966445923,254,438.77,433.8204433497537
92,2.5005714893341064,254,438.84,433.9405418719211
93,2.5960981845855713,254,438.94,434.1053201970441
94,2.5995843410491943,254,438.98,435.3799014778322
95,2.784153461456299,254,439.0,435.52857142857164
96,2.757777690887451,263,438.89,435.39952380952394
97,2.701906681060791,276,438.77,435.24377272727304
98,2.780924081802368,276,438.84,435.51613636363646
99,2.781771183013916,276,438.86,435.80168181818215
100,2.912259578704834,276,438.9,435.82227272727306
105,3.44710373878479,276,439.32,437.08618181818156
110,3.5916543006896973,289,439.32,436.9812554112553
115,4.209977626800537,327,439.32,436.60149425287347
120,4.78972601890564,327,439.32,436.67628352490414
125,5.05886697769165,346,439.32,436.83681159420263
130,6.0452024936676025,375,439.32,436.6244333333332
135,6.6848931312561035,390,439.32,436.57317307692296
140,7.4984130859375,390,439.32,436.620705128205
145,8.301618576049805,433,439.32,436.33632947976844
150,9.680144548416138,433,439.32,436.39190751445057
100,3.0374486446380615,276,438.9,435.82227272727306
110,3.660266399383545,289,439.32,436.9812554112553
120,4.468494176864624,327,439.32,436.67628352490414
130,6.059117317199707,375,439.32,436.6244333333332
140,7.529202461242676,390,439.32,436.620705128205
150,9.438896179199219,433,439.32,436.39190751445057
160,11.237935543060303,452,439.32,436.7657340720222
170,13.981613636016846,497,439.32,436.5733753148615
180,15.919200658798218,497,439.32,436.71911838790925
190,17.8498592376709,528,439.32,436.61995260663525
200,21.468801259994507,553,439.33,436.5668099547511
210,27.815028190612793,596,439.35,436.8927100840337
220,30.10498332977295,645,439.32,436.7755426356591
230,35.10474896430969,665,439.32,436.7530263157896
240,37.36152148246765,705,439.32,436.67148936170224
250,42.62413454055786,718,439.41,436.70984320557466
260,45.73227643966675,736,439.49,436.690238095238
270,55.08249640464783,758,439.54,436.6592244224419
280,61.24425721168518,794,439.48,436.63581102362195
290,62.542874574661255,794,439.65,436.6676062992122
300,66.47433185577393,844,439.58,436.5652296296296
310,79.00430059432983,859,439.64,436.55374090247443
320,83.08274364471436,876,439.66,436.542914285714
330,95.2971134185791,896,439.71,436.5296368715083
340,97.70375180244446,926,439.71,436.4774864864864
360,125.20218682289124,1017,439.54,436.2948216482162
380,140.09939670562744,1048,439.67,436.2719451073984
400,154.28662180900574,1125,439.59,436.14207777777756
420,183.6586208343506,1191,439.54,436.0537920168066
440,228.22688007354736,1255,439.55,435.9911952191233
460,249.4603431224823,1288,439.63,436.015844660194
480,275.361221075058,1356,439.57,435.92596863468657
500,307.3508858680725,1405,439.56,435.8637544483984

