Nrtasks,Time,Makespan,MaxTemp,AvgTemp
1,0.058141469955444336,15,375.75,344.5053559602647
2,0.022301673889160156,15,402.76,351.0723013245033
3,0.020887374877929688,19,457.34,370.5733376963351
4,0.021792888641357422,19,458.21,374.25005235602094
5,0.0218353271484375,19,474.67,392.7739528795812
6,0.020315885543823242,19,484.61,394.5020942408377
7,0.0227663516998291,19,485.01,395.6556413612566
8,0.02418971061706543,20,487.79,421.65931592039794
9,0.025127887725830078,20,514.98,440.91348880597
10,0.02500629425048828,20,522.39,451.474906716418
11,0.025783538818359375,20,522.65,452.9492661691543
12,0.03279924392700195,20,522.99,464.1009266169154
13,0.026035547256469727,20,540.19,491.6716106965173
14,0.0311429500579834,20,538.0,494.4833893034827
15,0.02826380729675293,20,538.61,498.66145522388047
16,0.02941751480102539,20,541.98,501.1746890547264
17,0.026551485061645508,20,547.85,524.8327549751244
18,0.033280134201049805,21,545.8,527.907452606635
19,0.03757953643798828,22,550.84,532.7914140271492
20,0.03157329559326172,23,548.82,532.4076136363637
21,0.04652690887451172,25,548.08,534.6421513944223
22,0.03721141815185547,27,549.66,534.8794557195572
23,0.03581643104553223,28,551.91,537.3431361209962
24,0.038407087326049805,30,551.64,538.1675415282392
25,0.04196977615356445,31,550.72,536.375321543409
26,0.042070627212524414,33,549.03,538.8852077039277
27,0.04505181312561035,34,548.52,535.8490872434018
28,0.047928571701049805,34,550.87,538.9366385630499
29,0.04577231407165527,36,552.6,536.9282098337944
30,0.05817413330078125,38,551.47,537.3153772965879

