Nrtasks,Time,Makespan,MaxTemp,Top1percenthighs
1,0.0024366378784179688,15,343.92,343.92
2,0.0056264400482177734,15,351.37,350.5
3,0.011817693710327148,19,352.48,352.4706666666668
4,0.0060002803802490234,19,355.24,355.02399999999994
5,0.007254600524902344,19,372.41,371.7773333333334
6,0.00920867919921875,19,375.64,375.3146666666666
7,0.011974334716796875,19,383.58,383.26800000000003
8,0.023868322372436523,20,400.87,400.8425
9,0.11629962921142578,27,411.0,410.87285714285713
10,0.1507856845855713,27,408.47,408.38904761904763
11,0.22696805000305176,27,405.71,405.52142857142843
12,0.30370187759399414,27,419.5,418.2885714285715
13,0.3013277053833008,31,416.5,415.795
14,0.5982534885406494,31,417.3,416.91166666666663
15,1.1918308734893799,34,413.61,413.54666666666674
16,3.7537052631378174,35,417.76,417.3807142857143
17,1.9205398559570312,36,435.61,435.3639285714286
18,1.8955764770507812,36,436.24,435.7807142857144
19,12.464898109436035,38,431.59,431.5563333333336
20,10.16864824295044,38,439.62,439.4333333333333
21,486.9946520328522,40,435.89,435.4425
22,45.10995054244995,40,437.17,436.865625
23,299.4647967815399,45,440.07,439.8641666666667
24,261.6830050945282,45,441.19,440.9430555555556
25,206.68724608421326,45,438.86,438.5113888888889

