Nr tasks 1, Time 0.003499746322631836, Makespan 15, Max Temp 343.92, Top 1 percent highs 343.92, GAP 0.0% 
Nr tasks 2, Time 0.003980875015258789, Makespan 16, Max Temp 344.45, Top 1 percent highs 344.2366666666666, GAP 6.25% 
Nr tasks 3, Time 0.006232500076293945, Makespan 20, Max Temp 364.85, Top 1 percent highs 364.82750000000004, GAP 5.0% 
Nr tasks 4, Time 0.008207559585571289, Makespan 19, Max Temp 355.24, Top 1 percent highs 355.02399999999994, GAP 0.0% 
Nr tasks 5, Time 0.007688283920288086, Makespan 19, Max Temp 372.41, Top 1 percent highs 371.7773333333334, GAP 0.0% 
Nr tasks 6, Time 0.010947227478027344, Makespan 19, Max Temp 375.64, Top 1 percent highs 375.3146666666666, GAP 0.0% 
Nr tasks 7, Time 0.012684106826782227, Makespan 19, Max Temp 383.58, Top 1 percent highs 383.26800000000003, GAP 0.0% 
Nr tasks 8, Time 0.017393112182617188, Makespan 24, Max Temp 401.18, Top 1 percent highs 401.0484210526317, GAP 16.666666666666664% 
Nr tasks 9, Time 0.13283491134643555, Makespan 27, Max Temp 411.0, Top 1 percent highs 410.87285714285713, GAP 20.58823639261524% 
Nr tasks 10, Time 0.16248703002929688, Makespan 27, Max Temp 408.47, Top 1 percent highs 408.38904761904763, GAP 0.0% 
Nr tasks 11, Time 0.234238862991333, Makespan 27, Max Temp 405.71, Top 1 percent highs 405.52142857142843, GAP 22.22222222222222% 
Nr tasks 12, Time 0.3487105369567871, Makespan 27, Max Temp 412.71, Top 1 percent highs 412.6214285714286, GAP 3.7037037037034404% 
Nr tasks 13, Time 0.3140065670013428, Makespan 31, Max Temp 416.5, Top 1 percent highs 415.795, GAP 0.0% 
Nr tasks 14, Time 0.630955696105957, Makespan 31, Max Temp 417.3, Top 1 percent highs 416.91166666666663, GAP 0.0% 
Nr tasks 15, Time 1.106492042541504, Makespan 34, Max Temp 415.29, Top 1 percent highs 415.0877777777777, GAP 2.941176470588235% 
Nr tasks 16, Time 2.6489927768707275, Makespan 36, Max Temp 424.11, Top 1 percent highs 423.76285714285706, GAP 24.427489070670603% 
Nr tasks 17, Time 1.930645227432251, Makespan 36, Max Temp 435.61, Top 1 percent highs 435.3639285714286, GAP 11.111111101728385% 
Nr tasks 18, Time 2.0273778438568115, Makespan 36, Max Temp 436.24, Top 1 percent highs 435.7807142857144, GAP 2.7777777777777777% 
Nr tasks 19, Time 6.52344012260437, Makespan 38, Max Temp 426.31, Top 1 percent highs 426.2426666666666, GAP 21.052631578947366% 
Nr tasks 20, Time 3.7004783153533936, Makespan 38, Max Temp 439.53, Top 1 percent highs 439.4403333333333, GAP 7.894736842105263% 
Nr tasks 21, Time 9.740826606750488, Makespan 41, Max Temp 437.94, Top 1 percent highs 437.704375, GAP 21.951219504199873% 
Nr tasks 22, Time 11.879515886306763, Makespan 41, Max Temp 438.56, Top 1 percent highs 438.38, GAP 21.951219504199845% 
Nr tasks 23, Time 19.332796335220337, Makespan 46, Max Temp 439.32, Top 1 percent highs 439.0269444444445, GAP 23.91304347826087% 
Nr tasks 24, Time 17.88131093978882, Makespan 46, Max Temp 440.38, Top 1 percent highs 440.0280555555557, GAP 23.91304347826087% 
Nr tasks 24, Time 18.23525047302246, Makespan 46, Max Temp 440.38, Top 1 percent highs 440.0280555555557, GAP 23.91304347826087% 
Nr tasks 25, Time 27.92832040786743, Makespan 46, Max Temp 439.72, Top 1 percent highs 439.4755555555555, GAP 23.91304347826087% 
Nr tasks 26, Time 34.53103446960449, Makespan 48, Max Temp 440.6, Top 1 percent highs 440.4436842105263, GAP 22.916666666666664% 
Nr tasks 27, Time 419.1750328540802, Makespan 50, Max Temp 440.05, Top 1 percent highs 439.89849999999996, GAP 24.0% 
Nr tasks 28, Time 584.2539260387421, Makespan 51, Max Temp 440.12, Top 1 percent highs 439.8817499999999, GAP 24.434389140271588% 
