Nr tasks 1, Time 1.1596314907073975, Makespan 15, Max Temp 346.84 
Nr tasks 2, Time 0.012293577194213867, Makespan 15, Max Temp 346.07 
Nr tasks 3, Time 0.01723504066467285, Makespan 19, Max Temp 353.36 
Nr tasks 4, Time 0.0227048397064209, Makespan 19, Max Temp 355.67 
Nr tasks 5, Time 0.03596687316894531, Makespan 19, Max Temp 375.17 
Nr tasks 6, Time 0.04677915573120117, Makespan 19, Max Temp 375.93 
Nr tasks 7, Time 0.10348153114318848, Makespan 19, Max Temp 385.92 
Nr tasks 8, Time 0.23769855499267578, Makespan 20, Max Temp 398.82 
Nr tasks 9, Time 5.753358840942383, Makespan 35, Max Temp 394.78 
Nr tasks 10, Time 3.910696029663086, Makespan 35, Max Temp 397.98 
Nr tasks 11, Time 3.9151973724365234, Makespan 41, Max Temp 397.95 
Nr tasks 12, Time 3.9210996627807617, Makespan 41, Max Temp 401.55 
Nr tasks 13, Time 3.928347587585449, Makespan 51, Max Temp 397.94 
Nr tasks 14, Time 3.940391778945923, Makespan 51, Max Temp 400.26 
Nr tasks 15, Time 3.9784674644470215, Makespan 51, Max Temp 397.96 
Nr tasks 16, Time 4.013556480407715, Makespan 55, Max Temp 397.96 
Nr tasks 17, Time 5.064096212387085, Makespan 68, Max Temp 397.96 
Nr tasks 18, Time 5.118052959442139, Makespan 68, Max Temp 399.21 
Nr tasks 19, Time 8.601105690002441, Makespan 68, Max Temp 398.33 
Nr tasks 20, Time 63.62984490394592, Makespan 69, Max Temp 399.73 
Nr tasks 21, Time 63.6367347240448, Makespan 81, Max Temp 399.73 
Nr tasks 22, Time 63.641568183898926, Makespan 81, Max Temp 399.73 
Nr tasks 23, Time 63.73671007156372, Makespan 89, Max Temp 399.73 
Nr tasks 24, Time 63.76592445373535, Makespan 89, Max Temp 399.73 
Nr tasks 25, Time 64.06967067718506, Makespan 89, Max Temp 399.73 
Nr tasks 26, Time 64.48554730415344, Makespan 92, Max Temp 399.73 
Nr tasks 27, Time 65.44363498687744, Makespan 96, Max Temp 399.73 
Nr tasks 28, Time 65.49870562553406, Makespan 96, Max Temp 399.73 
Nr tasks 29, Time 72.28620982170105, Makespan 98, Max Temp 399.73 
Nr tasks 30, Time 73.2239716053009, Makespan 100, Max Temp 404.23 
Nr tasks 31, Time 73.22969651222229, Makespan 103, Max Temp 404.23 
Nr tasks 32, Time 73.2336962223053, Makespan 107, Max Temp 404.23 
Nr tasks 33, Time 73.24604773521423, Makespan 107, Max Temp 404.23 
Nr tasks 34, Time 73.38791275024414, Makespan 108, Max Temp 404.23 
Nr tasks 35, Time 73.59430932998657, Makespan 110, Max Temp 404.23 
Nr tasks 36, Time 73.27972197532654, Makespan 115, Max Temp 404.23 
Nr tasks 37, Time 73.62992095947266, Makespan 115, Max Temp 404.23 
Nr tasks 38, Time 74.11141586303711, Makespan 115, Max Temp 404.23 
Nr tasks 39, Time 89.63921189308167, Makespan 117, Max Temp 404.23 
Nr tasks 40, Time 472.5589783191681, Makespan 118, Max Temp 404.23 
Nr tasks 41, Time 472.5635643005371, Makespan 133, Max Temp 404.23 
Nr tasks 42, Time 472.5705635547638, Makespan 137, Max Temp 404.23 
Nr tasks 43, Time 472.5764935016632, Makespan 137, Max Temp 404.23 
Nr tasks 44, Time 472.58138155937195, Makespan 148, Max Temp 404.23 
Nr tasks 45, Time 472.9710578918457, Makespan 156, Max Temp 404.23 
Nr tasks 46, Time 473.62414622306824, Makespan 156, Max Temp 404.23 
Nr tasks 47, Time 474.95162439346313, Makespan 156, Max Temp 404.23 
Nr tasks 48, Time 481.9993758201599, Makespan 163, Max Temp 404.23 
Nr tasks 49, Time 887.1370897293091, Makespan 171, Max Temp 404.23 
Nr tasks 50, Time 1424.2059247493744, Makespan 171, Max Temp 404.23 
