Nr tasks 1, Time 0.054151058197021484, Makespan 15, Max Temp 384.25, Avg Temp 335.5625484424825 
Nr tasks 2, Time 0.04250645637512207, Makespan 15, Max Temp 391.26, Avg Temp 339.77652685798387 
Nr tasks 3, Time 0.05488395690917969, Makespan 19, Max Temp 405.03, Avg Temp 356.58775063021136 
Nr tasks 4, Time 0.05618119239807129, Makespan 19, Max Temp 416.52, Avg Temp 356.3522047702153 
Nr tasks 5, Time 0.06675195693969727, Makespan 19, Max Temp 409.63, Avg Temp 366.6104401783983 
Nr tasks 6, Time 0.06483721733093262, Makespan 19, Max Temp 417.9, Avg Temp 367.892278456467 
Nr tasks 7, Time 0.06650590896606445, Makespan 19, Max Temp 460.67, Avg Temp 373.7922047702152 
Nr tasks 8, Time 0.1149282455444336, Makespan 24, Max Temp 435.66, Avg Temp 376.9130059935455 
Nr tasks 9, Time 0.13342738151550293, Makespan 24, Max Temp 462.4, Avg Temp 388.4320900568618 
Nr tasks 10, Time 0.17588281631469727, Makespan 30, Max Temp 477.24, Avg Temp 378.9166555924695 
Nr tasks 11, Time 0.17230677604675293, Makespan 31, Max Temp 484.6, Avg Temp 373.48628319637965 
Nr tasks 12, Time 0.17343997955322266, Makespan 31, Max Temp 562.02, Avg Temp 382.17522567583666 
Nr tasks 13, Time 0.27028775215148926, Makespan 49, Max Temp 481.63, Avg Temp 365.07581579542887 
Nr tasks 14, Time 0.29187798500061035, Makespan 52, Max Temp 509.18, Avg Temp 362.3798222790928 
Nr tasks 15, Time 0.4364161491394043, Makespan 55, Max Temp 515.61, Avg Temp 362.3007924984875 
Nr tasks 16, Time 0.5117559432983398, Makespan 55, Max Temp 504.33, Avg Temp 362.5382657793911 
Nr tasks 17, Time 0.5432918071746826, Makespan 55, Max Temp 461.26, Avg Temp 369.6554392686697 
Nr tasks 18, Time 0.4046175479888916, Makespan 65, Max Temp 522.34, Avg Temp 364.03898788189116 
Nr tasks 19, Time 0.9778430461883545, Makespan 65, Max Temp 507.97, Avg Temp 368.0624111054219 
Nr tasks 20, Time 10.820719480514526, Makespan 72, Max Temp 512.01, Avg Temp 363.50621667437196 
Nr tasks 21, Time 1.4062364101409912, Makespan 89, Max Temp 534.9, Avg Temp 357.9977761150601 
Nr tasks 22, Time 0.800635814666748, Makespan 89, Max Temp 507.52, Avg Temp 361.81242424242413 
Nr tasks 23, Time 1.6257624626159668, Makespan 89, Max Temp 614.92, Avg Temp 364.27096645467014 
Nr tasks 24, Time 5.739711284637451, Makespan 105, Max Temp 537.97, Avg Temp 360.31222292701835 
Nr tasks 25, Time 5.58907413482666, Makespan 105, Max Temp 571.31, Avg Temp 361.36204249920695 
Nr tasks 26, Time 12.608543872833252, Makespan 124, Max Temp 575.55, Avg Temp 357.4467839555918 
Nr tasks 27, Time 4.600728988647461, Makespan 127, Max Temp 563.34, Avg Temp 356.89006439956904 
Nr tasks 28, Time 4.89149284362793, Makespan 127, Max Temp 576.41, Avg Temp 357.642568114929 
Nr tasks 29, Time 39.656001329422, Makespan 139, Max Temp 557.04, Avg Temp 355.9998405090931 
Nr tasks 30, Time 85.06893491744995, Makespan 139, Max Temp 650.46, Avg Temp 358.64011955161556 
