Nr tasks 1, Time 0.003442049026489258, Makespan 15, Max Temp 347.72, Avg Temp 325.9415869511893 
Nr tasks 2, Time 0.00893855094909668, Makespan 15, Max Temp 354.07, Avg Temp 327.3741918077017 
Nr tasks 3, Time 0.010355472564697266, Makespan 19, Max Temp 355.24, Avg Temp 331.2006922629436 
Nr tasks 4, Time 0.011505365371704102, Makespan 19, Max Temp 355.56, Avg Temp 332.35866007368634 
Nr tasks 5, Time 0.018266677856445312, Makespan 19, Max Temp 370.1, Avg Temp 339.3310316075237 
Nr tasks 6, Time 0.017943382263183594, Makespan 19, Max Temp 369.63, Avg Temp 339.46937366686063 
Nr tasks 7, Time 0.0225675106048584, Makespan 19, Max Temp 367.59, Avg Temp 339.79987395772736 
Nr tasks 8, Time 0.029354095458984375, Makespan 20, Max Temp 424.19, Avg Temp 361.38734107241567 
Nr tasks 9, Time 0.03818321228027344, Makespan 20, Max Temp 425.96, Avg Temp 378.73235304956694 
Nr tasks 10, Time 0.04526925086975098, Makespan 20, Max Temp 455.58, Avg Temp 381.0359388243964 
Nr tasks 11, Time 0.08655643463134766, Makespan 20, Max Temp 471.41, Avg Temp 382.26920029482216 
Nr tasks 12, Time 0.07617950439453125, Makespan 21, Max Temp 442.62, Avg Temp 379.95774091627175 
Nr tasks 13, Time 0.11953234672546387, Makespan 28, Max Temp 465.94, Avg Temp 374.73249769342306 
Nr tasks 14, Time 0.13597631454467773, Makespan 28, Max Temp 427.28, Avg Temp 374.51316594174244 
Nr tasks 15, Time 0.1493990421295166, Makespan 28, Max Temp 450.26, Avg Temp 379.14347700013167 
Nr tasks 16, Time 0.17191028594970703, Makespan 28, Max Temp 458.3, Avg Temp 385.78629893238434 
Nr tasks 17, Time 0.2818458080291748, Makespan 41, Max Temp 460.89, Avg Temp 374.24401189510684 
Nr tasks 18, Time 0.3150362968444824, Makespan 41, Max Temp 443.91, Avg Temp 373.0743002613319 
Nr tasks 19, Time 0.3193538188934326, Makespan 41, Max Temp 461.35, Avg Temp 375.72587365954763 
Nr tasks 20, Time 0.45304107666015625, Makespan 51, Max Temp 445.1, Avg Temp 369.4654751032834 
Nr tasks 21, Time 0.4435555934906006, Makespan 51, Max Temp 449.85, Avg Temp 371.8840465318547 
Nr tasks 22, Time 0.5229325294494629, Makespan 51, Max Temp 467.32, Avg Temp 374.40171848952673 
Nr tasks 23, Time 0.7988712787628174, Makespan 66, Max Temp 487.96, Avg Temp 364.5826609514203 
Nr tasks 24, Time 3.537400722503662, Makespan 67, Max Temp 446.16, Avg Temp 364.88117017166184 
Nr tasks 25, Time 4.465261697769165, Makespan 67, Max Temp 451.78, Avg Temp 364.75750289783076 
Nr tasks 26, Time 4.401526927947998, Makespan 67, Max Temp 442.43, Avg Temp 365.8931600154552 
Nr tasks 27, Time 4.829487323760986, Makespan 67, Max Temp 479.07, Avg Temp 370.1646795827124 
Nr tasks 28, Time 1.6210591793060303, Makespan 67, Max Temp 465.14, Avg Temp 370.87482861400895 
Nr tasks 29, Time 9.475036859512329, Makespan 70, Max Temp 446.55, Avg Temp 368.8697458656944 
Nr tasks 30, Time 21.947211980819702, Makespan 70, Max Temp 501.28, Avg Temp 372.1554873989538 
