Nrtasks,Time,Makespan,MaxTemp,Avgtemp
0, 0.009439945220947266, 0, 318.15, 318.14999999999986 
10, 0.048171281814575195, 20, 376.56, 356.14400405380513 
20, 0.08233761787414551, 36, 380.32, 358.2140535549399 
30, 0.1250147819519043, 60, 379.42, 359.03278301596106 
40, 0.17170333862304688, 83, 384.64, 359.1620189864955 
50, 0.2156534194946289, 105, 382.09, 360.0589798075906 
60, 0.25019240379333496, 121, 385.38, 360.18125974860084 
70, 0.29254746437072754, 143, 383.86, 360.46582498641214 
80, 0.324735164642334, 159, 382.62, 360.26533859440855 
90, 0.37407565116882324, 183, 383.99, 360.5314717721545 
100, 0.44174909591674805, 214, 384.25, 360.3484814987803 
110, 0.488051176071167, 240, 383.53, 360.3764843352311 
120, 0.5598890781402588, 267, 384.66, 360.33311216495446 
130, 0.5910623073577881, 285, 385.65, 360.5312123101706 
140, 0.638167142868042, 304, 388.12, 360.65960575833986 
150, 0.700380802154541, 330, 385.71, 360.68375228606357 
160, 0.7078416347503662, 348, 385.71, 360.7944100779893 
170, 0.7657384872436523, 368, 384.4, 360.87041222695154 
180, 0.7929599285125732, 387, 385.63, 360.9280615593638 
190, 0.8454723358154297, 412, 385.27, 361.06790800506957 
200, 0.9064602851867676, 438, 386.83, 361.0172822879944 
210, 0.997506856918335, 455, 385.7, 361.05857044035946 
220, 1.0005178451538086, 483, 388.23, 361.10721191073094 
230, 1.0413713455200195, 509, 388.43, 361.13599969444977 
240, 1.0938332080841064, 531, 385.6, 361.2045473057321 
250, 1.1851086616516113, 554, 385.89, 361.0737537682052 
260, 1.2223052978515625, 577, 385.71, 361.1402285373223 
270, 1.2392475605010986, 595, 388.49, 361.17476427864557 
280, 1.3542358875274658, 622, 385.15, 361.15293170682384 
290, 1.3637194633483887, 644, 386.0, 361.05847941715984 
300, 1.4178369045257568, 662, 384.7, 361.1174175323181 
310, 1.4919843673706055, 684, 386.54, 361.12806710086795 
320, 1.5260705947875977, 714, 387.28, 361.0737511604865 
330, 1.582711935043335, 740, 388.34, 361.06332537645056 
340, 1.7155933380126953, 764, 388.45, 361.0579239192085 
350, 1.6864428520202637, 781, 388.66, 361.00866901852555 
360, 1.7509205341339111, 799, 385.21, 361.0067455517089 
370, 1.768991470336914, 823, 388.48, 360.95341117815695 
380, 1.8257362842559814, 841, 386.57, 360.9887201944538 
390, 1.92901611328125, 868, 386.91, 360.9876259775505 
400, 1.9195690155029297, 894, 388.5, 360.9846428645393 
410, 2.160904884338379, 914, 388.68, 361.0127661695169 
420, 2.1081292629241943, 940, 385.21, 360.9912103125355 
430, 2.1567635536193848, 952, 388.15, 361.0100299532801 
440, 2.162726402282715, 977, 388.5, 360.94484089349885 
450, 2.1929843425750732, 1000, 385.73, 360.95601217655894 
460, 2.2610249519348145, 1018, 388.48, 360.9321154510762 
470, 2.5383970737457275, 1037, 388.89, 360.94625247752776 
480, 2.4423956871032715, 1053, 401.72, 360.96241755381794 
490, 2.4870505332946777, 1075, 401.74, 361.0222753783445 
500, 2.563779354095459, 1104, 401.75, 361.0365133660061 
510, 2.6259939670562744, 1124, 401.76, 361.0557937049221 
520, 2.592137575149536, 1144, 401.77, 361.07953167134445 
530, 2.7086563110351562, 1170, 401.78, 361.10614350783646 
540, 2.75301456451416, 1191, 401.78, 361.1089794991866 
550, 2.8268580436706543, 1212, 401.79, 361.1453579798752 
560, 2.886139392852783, 1228, 401.79, 361.1390687813458 
570, 2.8910558223724365, 1252, 401.78, 361.1119868546771 
580, 2.945582151412964, 1272, 401.77, 361.1017783658979 
590, 3.0169224739074707, 1292, 401.76, 361.0559945480651 
600, 3.006023645401001, 1315, 401.77, 361.0948882636723 
610, 3.046252489089966, 1331, 401.77, 361.0940516476213 
620, 3.232616901397705, 1364, 401.79, 361.1268635947733 
630, 3.266103506088257, 1394, 401.8, 361.18206786802597 
640, 3.3920562267303467, 1414, 401.81, 361.1668077588941 
650, 3.450416326522827, 1434, 401.81, 361.16615502818973 
660, 3.3622970581054688, 1455, 401.81, 361.1670767186681 
670, 3.5198428630828857, 1476, 401.81, 361.1959317721624 
680, 3.6468141078948975, 1501, 401.83, 361.22882076600604 
690, 3.5859127044677734, 1521, 401.84, 361.23727302609956 
700, 3.6429388523101807, 1544, 401.82, 361.2088397412379 
710, 3.704056978225708, 1560, 401.83, 361.22749652800076 
720, 3.8425722122192383, 1581, 401.82, 361.20799398918246 
730, 3.8190367221832275, 1607, 401.81, 361.20252813326016 
740, 3.9235072135925293, 1628, 401.81, 361.19675324793593 
750, 4.065587520599365, 1653, 401.82, 361.191155561829 
760, 4.110060930252075, 1676, 401.82, 361.206230490977 
770, 4.120490550994873, 1700, 401.81, 361.1818866210491 
780, 4.140944480895996, 1730, 401.82, 361.1956232031127 
790, 4.236806631088257, 1750, 401.82, 361.19748124445846 
800, 4.314931869506836, 1766, 401.82, 361.192083834018 
810, 4.387436389923096, 1785, 401.81, 361.2064182938192 
820, 4.422430992126465, 1804, 405.23, 361.22862662618314 
830, 4.462920427322388, 1821, 405.23, 361.2301846665728 
840, 4.5275726318359375, 1835, 405.23, 361.2250044906221 
850, 4.561360597610474, 1851, 405.22, 361.2042809380611 
860, 4.669224739074707, 1874, 405.2, 361.1571921534686 
870, 4.691219091415405, 1894, 405.2, 361.15751847354437 
880, 4.75614857673645, 1919, 405.23, 361.22931399170545 
890, 4.82720422744751, 1938, 405.22, 361.2086624357188 
900, 5.039184093475342, 1956, 405.22, 361.19473591632624 
910, 4.956965208053589, 1976, 405.21, 361.17977490267987 
920, 5.062993049621582, 1994, 405.21, 361.1810263239521 
930, 5.049296140670776, 2022, 405.21, 361.1787939747272 
940, 5.162761926651001, 2040, 405.22, 361.1823647715161 
950, 5.219938039779663, 2066, 405.2, 361.15082536968 
960, 5.34884786605835, 2086, 405.2, 361.1472329013737 
970, 5.346952676773071, 2109, 405.21, 361.1772419164211 
980, 5.380928039550781, 2126, 405.2, 361.15166566500585 
990, 5.788640022277832, 2143, 405.21, 361.17399234753367 
1000, 5.665992975234985, 2153, 404.73, 361.19476795731174 
