Nrtasks,Time,Makespan,MaxTemp,Top1percenthighs
1,0.0018167495727539062,15,342.01,342.002
2,0.0027022361755371094,15,346.72,346.2422499999999
3,0.016401290893554688,34,346.05,343.9229347826087
4,0.023210763931274414,34,350.69,346.81119565217386
5,0.045706987380981445,46,352.63,352.4054032258065
6,0.04986262321472168,46,352.84,352.43943548387097
7,0.05642127990722656,46,363.27,354.66516129032277
8,0.09561657905578613,66,374.66,374.43162921348306
9,0.14744114875793457,66,382.44,381.8785955056179
10,0.16918182373046875,66,382.44,381.8800561797752
11,0.19844627380371094,66,382.45,381.882415730337
12,0.19208502769470215,67,383.78,382.199226519337
13,0.2320709228515625,67,384.42,383.0598895027626
14,0.23174095153808594,70,386.16,384.3087301587298
15,0.27782344818115234,70,388.07,386.69587301587296
16,0.3245820999145508,90,388.07,386.53995884773667
17,0.39771389961242676,107,388.07,386.41346020761256
18,0.4056437015533447,107,388.07,386.4147058823529
19,0.4836142063140869,107,389.79,387.28069204152257
20,0.5568995475769043,107,391.77,389.6441868512114
21,0.573075532913208,119,391.77,389.4757632398757
22,0.6513717174530029,119,391.77,390.5451401869163
23,0.6934599876403809,134,391.77,390.4248618784533
24,0.7295324802398682,134,391.77,390.4248618784533
25,0.7506070137023926,134,391.77,390.42488950276277
26,0.8197376728057861,134,391.77,390.42488950276277
27,0.9434523582458496,150,391.77,390.28229629629647
28,0.9877407550811768,150,391.77,390.2824444444447
29,1.0283982753753662,153,391.77,390.2544309927363
30,1.1689984798431396,153,391.77,390.2544552058113
31,1.1108803749084473,153,391.77,390.3794188861988
32,1.2640464305877686,153,391.77,390.3795157384989
33,1.2723491191864014,153,391.77,390.379564164649
34,1.2462732791900635,157,391.77,390.34896226415106
35,1.2625479698181152,157,391.77,390.35898584905647
36,1.4511711597442627,157,391.77,390.36035377358456
37,1.4990332126617432,171,391.77,390.2560520607373
38,1.63995361328125,171,391.77,390.2560737527113
39,1.8848950862884521,171,391.77,390.25611713665927
40,1.8945419788360596,171,391.77,390.25611713665927
41,1.9528398513793945,186,391.77,390.13169322709126
42,2.2231528759002686,205,391.77,389.95915009041573
43,2.3608853816986084,217,391.77,389.8387713310579
44,2.8297808170318604,217,392.84,390.67013651877005
45,2.678302526473999,232,392.84,390.5767731629381
46,2.9438986778259277,232,392.84,390.5767731629381
47,3.230414628982544,252,392.84,390.44422058823426
48,3.2832934856414795,267,392.84,390.338668515949
49,3.775036334991455,267,392.84,390.338668515949
50,3.8952746391296387,267,393.03,390.42750346740553
51,4.247470378875732,267,393.03,390.443897364771
52,4.472381353378296,267,393.03,390.443897364771
53,5.292957544326782,267,393.03,390.4439112343965
54,5.413984060287476,267,393.03,390.4439112343965
55,5.826866865158081,267,393.27,390.5646324549236
56,5.7517409324646,279,393.27,390.48029216467467
57,6.280237436294556,285,393.27,390.4361508452535
58,6.674830675125122,285,393.49,390.5549674902474
59,6.765280485153198,296,393.49,390.47035043804783
60,6.853192090988159,296,393.49,390.47046307884887
61,7.056831359863281,296,393.49,390.47046307884887
