Nrtasks,Time,Makespan,MaxTemp,Top1percenthighs,GAP
1,0.003283977508544922,15,343.97,343.96999999999986,0.0%
2,0.007227659225463867,16,343.96,343.95558139534916,6.25%
3,0.009196281433105469,20,345.25,345.202777777778,5.0%
4,0.011756181716918945,20,349.21,348.8157407407408,5.0%
5,0.01602768898010254,19,360.24,360.0649019607842,0.0%
6,0.02193284034729004,19,360.47,360.0576470588236,0.0%
7,0.029020309448242188,19,370.72,370.2796078431373,0.0%
8,0.0621798038482666,27,383.23,383.03452054794525,24.69135802469136%
9,0.11877942085266113,34,387.49,387.2658695652175,24.653979238754324%
10,0.15163826942443848,34,386.32,386.1310869565217,0.0%
11,0.16909551620483398,34,386.64,386.3753260869566,0.0%
12,0.27178025245666504,34,386.47,386.3072826086955,23.529411764705895%
13,0.5248668193817139,36,391.39,391.10082474226795,5.555555555555555%
14,1.8369371891021729,37,392.59,392.02799999999996,21.62162162162162%
15,1.514054775238037,38,393.58,392.4111764705882,13.157894736842104%
16,2.644570827484131,40,396.11,394.740648148148,2.4999999900062275%
17,4.187659025192261,53,395.51,394.6979020979018,24.528301886792665%
18,3.09621000289917,53,397.74,397.2241958041958,24.528301886792693%
19,11.400801420211792,55,395.51,394.89128378378365,21.818181818181817%
20,30.569003582000732,55,397.29,396.85628378378374,3.6363636363636362%
21,104.12438249588013,58,401.24,399.45358974358965,22.79369562729959%
22,92.49072456359863,60,399.45,398.51030864197526,25.0%
23,128.62486600875854,66,397.59,397.3399438202248,24.242424242424242%
24,320.58225750923157,66,397.0,396.86893258426926,24.242424242424242%
25,120.15220093727112,66,401.92,400.137584269663,22.727272727272727%
26,96.85270833969116,68,396.63,396.4742076502734,25.0%
27,358.34264636039734,71,398.43,397.9685340314138,23.943661981971832%
28,1201.2533962726593,70,397.86,397.5640740740739,25.714285706751006%

