Nr tasks 1, Time 0.002026081085205078, Makespan 15, Max Temp 347.72, Top 1 percent highs 347.71999999999986 
Nr tasks 2, Time 0.0022771358489990234, Makespan 15, Max Temp 349.29, Top 1 percent highs 348.39275000000004 
Nr tasks 3, Time 0.007004976272583008, Makespan 34, Max Temp 348.63, Top 1 percent highs 347.76978260869544 
Nr tasks 4, Time 0.00949549674987793, Makespan 34, Max Temp 350.37, Top 1 percent highs 348.98499999999996 
Nr tasks 5, Time 0.03486132621765137, Makespan 46, Max Temp 356.74, Top 1 percent highs 356.42241935483867 
Nr tasks 6, Time 0.03159379959106445, Makespan 46, Max Temp 356.74, Top 1 percent highs 356.42419354838717 
Nr tasks 7, Time 0.03586173057556152, Makespan 47, Max Temp 361.09, Top 1 percent highs 357.45834645669294 
Nr tasks 8, Time 0.08883094787597656, Makespan 67, Max Temp 374.68, Top 1 percent highs 374.45906077348064 
Nr tasks 9, Time 0.18507170677185059, Makespan 67, Max Temp 396.27, Top 1 percent highs 395.6613259668508 
Nr tasks 10, Time 0.18425464630126953, Makespan 67, Max Temp 396.27, Top 1 percent highs 395.66270718232045 
Nr tasks 11, Time 0.208235502243042, Makespan 67, Max Temp 396.28, Top 1 percent highs 395.66408839778995 
Nr tasks 12, Time 0.2241361141204834, Makespan 67, Max Temp 396.38, Top 1 percent highs 395.81364640883965 
Nr tasks 13, Time 0.29786133766174316, Makespan 67, Max Temp 402.18, Top 1 percent highs 397.5425414364642 
Nr tasks 14, Time 0.3083763122558594, Makespan 67, Max Temp 423.75, Top 1 percent highs 415.86121546961306 
Nr tasks 15, Time 0.3374626636505127, Makespan 67, Max Temp 423.79, Top 1 percent highs 415.90883977900546 
Nr tasks 16, Time 0.3823263645172119, Makespan 67, Max Temp 423.88, Top 1 percent highs 416.01408839779015 
Nr tasks 17, Time 0.47179484367370605, Makespan 67, Max Temp 441.24, Top 1 percent highs 428.2658011049725 
Nr tasks 18, Time 0.5157923698425293, Makespan 67, Max Temp 441.5, Top 1 percent highs 428.5670165745855 
Nr tasks 19, Time 0.5443193912506104, Makespan 67, Max Temp 441.56, Top 1 percent highs 428.6388397790057 
Nr tasks 20, Time 0.5946907997131348, Makespan 67, Max Temp 449.29, Top 1 percent highs 433.33690607734786 
Nr tasks 21, Time 0.6987667083740234, Makespan 67, Max Temp 452.41, Top 1 percent highs 437.03883977900557 
Nr tasks 21, Time 0.6487715244293213, Makespan 67, Max Temp 452.41, Top 1 percent highs 437.03883977900557 
Nr tasks 22, Time 0.6997535228729248, Makespan 67, Max Temp 453.69, Top 1 percent highs 438.5353038674032 
Nr tasks 23, Time 0.7871482372283936, Makespan 67, Max Temp 469.76, Top 1 percent highs 449.8048066298345 
Nr tasks 24, Time 0.7830278873443604, Makespan 67, Max Temp 470.61, Top 1 percent highs 453.17298342541443 
Nr tasks 25, Time 0.7898802757263184, Makespan 67, Max Temp 470.62, Top 1 percent highs 453.17569060773457 
Nr tasks 26, Time 0.8761565685272217, Makespan 67, Max Temp 473.86, Top 1 percent highs 455.06651933701676 
Nr tasks 27, Time 0.9760351181030273, Makespan 67, Max Temp 479.67, Top 1 percent highs 461.4287292817677 
Nr tasks 28, Time 0.9793314933776855, Makespan 67, Max Temp 479.67, Top 1 percent highs 461.43569060773467 
Nr tasks 29, Time 1.0187914371490479, Makespan 67, Max Temp 488.48, Top 1 percent highs 478.3461325966854 
Nr tasks 30, Time 1.1641623973846436, Makespan 67, Max Temp 494.08, Top 1 percent highs 480.6156353591161 
Nr tasks 31, Time 1.1664235591888428, Makespan 67, Max Temp 499.08, Top 1 percent highs 492.25718232044187 
Nr tasks 32, Time 1.2119684219360352, Makespan 67, Max Temp 499.08, Top 1 percent highs 492.25817679557986 
Nr tasks 33, Time 1.1432900428771973, Makespan 67, Max Temp 499.08, Top 1 percent highs 492.258397790055 
Nr tasks 34, Time 1.2298593521118164, Makespan 67, Max Temp 499.09, Top 1 percent highs 492.25917127071796 
Nr tasks 35, Time 1.2236273288726807, Makespan 67, Max Temp 499.09, Top 1 percent highs 492.2600552486186 
Nr tasks 36, Time 1.2717914581298828, Makespan 67, Max Temp 499.1, Top 1 percent highs 492.28508287292834 
Nr tasks 37, Time 1.4595255851745605, Makespan 81, Max Temp 499.1, Top 1 percent highs 489.6927522935779 
Nr tasks 38, Time 1.4467401504516602, Makespan 81, Max Temp 499.19, Top 1 percent highs 489.8364678899082 
Nr tasks 39, Time 1.6024956703186035, Makespan 81, Max Temp 499.2, Top 1 percent highs 489.8373853211008 
Nr tasks 40, Time 1.766035556793213, Makespan 81, Max Temp 499.2, Top 1 percent highs 489.8381651376146 
Nr tasks 41, Time 1.761204719543457, Makespan 81, Max Temp 499.21, Top 1 percent highs 489.863990825688 
Nr tasks 42, Time 2.0018911361694336, Makespan 100, Max Temp 499.21, Top 1 percent highs 486.9978148148146 
Nr tasks 43, Time 2.3133208751678467, Makespan 100, Max Temp 499.21, Top 1 percent highs 486.9989999999998 
Nr tasks 44, Time 2.484436511993408, Makespan 100, Max Temp 499.21, Top 1 percent highs 487.00074074074047 
Nr tasks 45, Time 2.8227856159210205, Makespan 100, Max Temp 499.21, Top 1 percent highs 487.00307407407394 
Nr tasks 46, Time 2.777446985244751, Makespan 100, Max Temp 499.21, Top 1 percent highs 488.7254444444443 
Nr tasks 47, Time 3.1567680835723877, Makespan 100, Max Temp 499.21, Top 1 percent highs 488.80996296296297 
Nr tasks 48, Time 3.3833887577056885, Makespan 100, Max Temp 499.22, Top 1 percent highs 488.8120000000002 
Nr tasks 49, Time 3.507286787033081, Makespan 100, Max Temp 499.22, Top 1 percent highs 488.81344444444454 
Nr tasks 50, Time 3.6287856101989746, Makespan 100, Max Temp 499.22, Top 1 percent highs 488.86562962962955 
