Nrtasks,Time,Makespan,MaxTemp,GAP
1,1.1216683387756348,15,347.72,0.0%
2,0.07755279541015625,16,342.0,6.25%
3,0.15331268310546875,20,344.26,5.0%
4,0.17169809341430664,19,363.26,0.0%
5,0.23084783554077148,19,370.25,0.0%
6,0.3081638813018799,19,380.94,0.0%
7,0.4295504093170166,19,382.28,0.0%
8,1.1043117046356201,25,396.68,20.0%
9,3.3250744342803955,23,397.9,13.043478260869565%
10,9.65904188156128,26,398.29,23.07692280867627%
11,4.770161867141724,25,397.78,19.999999999999986%
12,22.390177965164185,25,398.18,19.999999991679665%
13,1200.8688831329346,28,398.4,28.57142856403036%

