Nr tasks 1, Time 0.0033049583435058594, Makespan 15, Max Temp 352.96, Top 1 percent highs 349.76025000000004 
Nr tasks 2, Time 0.00918436050415039, Makespan 15, Max Temp 349.29, Top 1 percent highs 348.392 
Nr tasks 3, Time 0.009234428405761719, Makespan 19, Max Temp 351.06, Top 1 percent highs 351.01823529411774 
Nr tasks 4, Time 0.011654376983642578, Makespan 19, Max Temp 354.0, Top 1 percent highs 353.3792156862745 
Nr tasks 5, Time 0.015804290771484375, Makespan 19, Max Temp 383.42, Top 1 percent highs 383.19274509803915 
Nr tasks 6, Time 0.020074844360351562, Makespan 19, Max Temp 368.85, Top 1 percent highs 368.1170588235294 
Nr tasks 7, Time 0.027660846710205078, Makespan 19, Max Temp 369.4, Top 1 percent highs 367.3937254901961 
Nr tasks 8, Time 0.032790184020996094, Makespan 20, Max Temp 395.87, Top 1 percent highs 395.6781481481482 
Nr tasks 9, Time 0.044442176818847656, Makespan 20, Max Temp 416.95, Top 1 percent highs 414.74555555555537 
Nr tasks 10, Time 0.05133414268493652, Makespan 20, Max Temp 405.47, Top 1 percent highs 405.33222222222224 
Nr tasks 11, Time 0.08427119255065918, Makespan 20, Max Temp 421.75, Top 1 percent highs 421.2574074074074 
Nr tasks 12, Time 0.07090902328491211, Makespan 20, Max Temp 425.81, Top 1 percent highs 423.93037037037044 
Nr tasks 13, Time 0.08399367332458496, Makespan 20, Max Temp 447.48, Top 1 percent highs 442.15092592592595 
Nr tasks 14, Time 0.09764623641967773, Makespan 20, Max Temp 446.61, Top 1 percent highs 445.8983333333334 
Nr tasks 15, Time 0.13122129440307617, Makespan 20, Max Temp 428.18, Top 1 percent highs 427.0981481481483 
Nr tasks 16, Time 0.20265960693359375, Makespan 20, Max Temp 463.81, Top 1 percent highs 461.00166666666667 
Nr tasks 17, Time 0.3632066249847412, Makespan 20, Max Temp 452.62, Top 1 percent highs 452.5140740740742 
Nr tasks 18, Time 1.1593616008758545, Makespan 20, Max Temp 459.42, Top 1 percent highs 459.2755555555557 
Nr tasks 19, Time 5.513434410095215, Makespan 27, Max Temp 467.17, Top 1 percent highs 466.5136986301369 
Nr tasks 20, Time 2.9365358352661133, Makespan 27, Max Temp 445.14, Top 1 percent highs 444.54520547945197 
Nr tasks 21, Time 7.3026628494262695, Makespan 27, Max Temp 458.87, Top 1 percent highs 458.2191780821918 
Nr tasks 21, Time 6.586894989013672, Makespan 27, Max Temp 458.87, Top 1 percent highs 458.2191780821918 
Nr tasks 22, Time 4.406278133392334, Makespan 27, Max Temp 460.35, Top 1 percent highs 459.7609589041097 
Nr tasks 23, Time 5.529897689819336, Makespan 30, Max Temp 482.8, Top 1 percent highs 482.03901234567917 
Nr tasks 24, Time 9.8431556224823, Makespan 30, Max Temp 471.78, Top 1 percent highs 462.8428395061729 
Nr tasks 25, Time 26.19585871696472, Makespan 30, Max Temp 453.92, Top 1 percent highs 453.5537037037035 
Nr tasks 26, Time 20.002511501312256, Makespan 30, Max Temp 492.2, Top 1 percent highs 491.2574074074074 
Nr tasks 27, Time 77.6408269405365, Makespan 31, Max Temp 481.1, Top 1 percent highs 475.3918072289157 
Nr tasks 28, Time 56.83341121673584, Makespan 31, Max Temp 483.44, Top 1 percent highs 477.78072289156603 
Nr tasks 29, Time 112.18016052246094, Makespan 31, Max Temp 499.88, Top 1 percent highs 498.615542168675 
Nr tasks 30, Time 154.0229151248932, Makespan 31, Max Temp 487.07, Top 1 percent highs 486.19421686747006 
