Nrtasks,Time,Makespan,MaxTemp,Top1percenthighs,GAP
1,0.0032434463500976562,15,352.96,349.76025000000004,0.0%
2,0.0057468414306640625,16,346.99,345.1832558139539,6.25%
3,0.008602380752563477,20,350.52,350.44851851851854,5.0%
4,0.010639429092407227,19,354.0,353.3792156862745,0.0%
5,0.014518976211547852,19,383.42,383.19274509803915,0.0%
6,0.01837635040283203,19,368.85,368.1170588235294,0.0%
7,0.025676488876342773,19,369.4,367.3937254901961,0.0%
8,0.03167867660522461,20,395.87,395.6781481481482,0.0%
9,0.05675220489501953,20,416.95,414.74555555555537,0.0%
10,0.04799199104309082,20,405.47,405.33222222222224,0.0%
11,0.057166337966918945,20,421.75,421.2574074074074,0.0%
12,0.06788516044616699,20,425.81,423.93037037037044,0.0%
13,0.07871818542480469,20,447.48,442.15092592592595,0.0%
14,0.11801004409790039,20,446.61,445.8983333333334,0.0%
15,0.10371065139770508,20,428.18,427.0981481481483,0.0%
16,0.17838716506958008,23,435.03,433.27258064516127,13.043478260869565%
17,0.21807193756103516,26,465.38,464.37014285714275,23.076923076923077%
18,0.6360659599304199,25,445.18,444.81731343283576,20.0%
19,4.763367176055908,27,467.17,466.5136986301369,22.222221475683014%
20,2.403420925140381,27,445.14,444.54520547945197,22.222222214156368%
21,4.106633424758911,27,458.87,458.2191780821918,22.22221944824184%
22,3.8224942684173584,27,460.35,459.7609589041097,24.211249085185994%
23,5.304218292236328,30,482.8,482.03901234567917,0.0%
24,8.805990219116211,30,471.78,462.8428395061729,23.333333333333332%
25,14.837138414382935,30,453.92,453.5537037037035,23.333333325411107%
26,13.655152320861816,30,492.05,490.98827160493823,23.333333333333332%
27,51.485984563827515,31,481.1,475.3918072289157,19.35483869302803%
28,28.857722759246826,31,483.44,477.78072289156603,19.35483870967742%
29,103.72150325775146,31,499.88,498.615542168675,22.58064516129032%
30,141.95555567741394,31,487.07,486.19421686747006,22.58064516129032%
31,449.2712790966034,32,495.87,491.9845348837211,21.875%
32,115.50925874710083,32,501.27,500.6129069767443,21.875%
33,209.88617300987244,32,492.78,489.8595348837211,21.875%
34,615.054105758667,33,481.3,479.91573033707874,24.242424242424242%
35,637.2732186317444,32,505.74,503.7241860465114,21.875%
36,1200.6163895130157,33,507.66,504.23999999999984,27.27272727272727%

