Nr tasks 1, Time 1.1566433906555176, Makespan 15, Max Temp 347.72 
Nr tasks 2, Time 0.05828356742858887, Makespan 15, Max Temp 343.57 
Nr tasks 3, Time 0.10977697372436523, Makespan 19, Max Temp 345.88 
Nr tasks 4, Time 0.14841866493225098, Makespan 19, Max Temp 363.26 
Nr tasks 5, Time 0.21585631370544434, Makespan 19, Max Temp 370.25 
Nr tasks 6, Time 0.3071579933166504, Makespan 19, Max Temp 380.94 
Nr tasks 7, Time 0.44166994094848633, Makespan 19, Max Temp 382.28 
Nr tasks 8, Time 1.859868049621582, Makespan 20, Max Temp 400.22 
Nr tasks 9, Time 4.597897052764893, Makespan 20, Max Temp 399.46 
Nr tasks 10, Time 4.609703302383423, Makespan 25, Max Temp 399.06 
Nr tasks 11, Time 4.644352674484253, Makespan 26, Max Temp 399.06 
Nr tasks 12, Time 4.701944589614868, Makespan 26, Max Temp 399.09 
Nr tasks 13, Time 4.7312610149383545, Makespan 36, Max Temp 399.38 
Nr tasks 14, Time 4.894333839416504, Makespan 36, Max Temp 398.84 
Nr tasks 15, Time 5.028469800949097, Makespan 36, Max Temp 400.25 
Nr tasks 16, Time 5.150487184524536, Makespan 40, Max Temp 398.92 
Nr tasks 17, Time 23.838279724121094, Makespan 41, Max Temp 399.73 
Nr tasks 18, Time 115.96331000328064, Makespan 41, Max Temp 400.74 
Nr tasks 19, Time 115.97925162315369, Makespan 59, Max Temp 400.25 
Nr tasks 20, Time 116.0121955871582, Makespan 59, Max Temp 410.3 
Nr tasks 21, Time 116.04954195022583, Makespan 59, Max Temp 400.45 
Nr tasks 22, Time 116.13305306434631, Makespan 59, Max Temp 400.5 
Nr tasks 23, Time 116.46606373786926, Makespan 59, Max Temp 400.68 
Nr tasks 24, Time 117.34861135482788, Makespan 59, Max Temp 400.69 
Nr tasks 25, Time 118.19872617721558, Makespan 59, Max Temp 400.7 
Nr tasks 26, Time 145.12748289108276, Makespan 62, Max Temp 402.88 
Nr tasks 27, Time 213.09827256202698, Makespan 66, Max Temp 400.7 
Nr tasks 28, Time 213.1097400188446, Makespan 72, Max Temp 400.57 
Nr tasks 29, Time 213.13844537734985, Makespan 72, Max Temp 403.96 
Nr tasks 30, Time 213.18369150161743, Makespan 82, Max Temp 400.46 
Nr tasks 31, Time 213.24918603897095, Makespan 82, Max Temp 400.48 
Nr tasks 32, Time 213.30480313301086, Makespan 82, Max Temp 400.51 
Nr tasks 33, Time 213.5556719303131, Makespan 82, Max Temp 400.52 
Nr tasks 34, Time 213.7458257675171, Makespan 82, Max Temp 400.55 
Nr tasks 35, Time 214.5388445854187, Makespan 82, Max Temp 400.58 
Nr tasks 36, Time 215.6439402103424, Makespan 82, Max Temp 400.62 
Nr tasks 37, Time 215.65450429916382, Makespan 96, Max Temp 400.43 
Nr tasks 38, Time 215.68255472183228, Makespan 96, Max Temp 400.44 
Nr tasks 39, Time 215.72355461120605, Makespan 96, Max Temp 400.47 
Nr tasks 40, Time 215.76865935325623, Makespan 96, Max Temp 400.5 
Nr tasks 41, Time 215.82865118980408, Makespan 97, Max Temp 400.52 
Nr tasks 42, Time 216.10287046432495, Makespan 101, Max Temp 400.56 
Nr tasks 43, Time 224.7012197971344, Makespan 101, Max Temp 400.64 
Nr tasks 44, Time 239.54534816741943, Makespan 107, Max Temp 400.62 
Nr tasks 45, Time 1063.7827529907227, Makespan 111, Max Temp 400.65 
Nr tasks 46, Time 1063.7943139076233, Makespan 113, Max Temp 402.57 
Nr tasks 47, Time 1063.8279240131378, Makespan 131, Max Temp 407.07 
Nr tasks 48, Time 1063.8869853019714, Makespan 131, Max Temp 400.52 
Nr tasks 49, Time 1063.9356064796448, Makespan 131, Max Temp 400.58 
Nr tasks 50, Time 1064.0595786571503, Makespan 131, Max Temp 400.59 
