Nrtasks,Time,Makespan,MaxTemp,AvgTemp
1,0.018964290618896484,15,349.49,330.663824503311
2,0.02033233642578125,15,354.08,331.47424392935983
3,0.028951406478881836,19,355.19,337.75177574171033
4,0.0276644229888916,19,358.0,339.71434554973825
5,0.02973794937133789,19,388.62,350.4186082024433
6,0.032944440841674805,19,382.9,351.58978184991275
7,0.03329038619995117,19,412.18,352.7591404886563
8,0.03875470161437988,20,424.77,379.5080306799337
9,0.042639732360839844,20,454.56,408.33232587064686
10,0.044281005859375,20,455.92,409.2644734660034
11,0.0493626594543457,20,476.11,413.2641542288557
12,0.053856849670410156,21,460.29,410.48334913112177
13,0.06289005279541016,21,466.13,424.38484992101104
14,0.18527483940124512,24,468.75,416.6518810511756
15,0.13900470733642578,24,501.64,423.76579183955727
16,0.1996314525604248,24,487.65,433.9752316735822
17,0.4411344528198242,41,479.77,399.5249472830494
18,0.24780964851379395,41,516.99,402.0351155717761
19,0.23299074172973633,41,514.92,406.31943430656924
20,0.507582426071167,51,527.45,395.35653294194407
21,0.3719215393066406,51,493.27,397.0458186562296
22,1.043809413909912,51,502.36,401.42550717547283
23,1.1436572074890137,66,548.53,390.326087997983
24,1.5410075187683105,67,476.03,387.47216716343763
25,2.212618350982666,67,472.84,389.7841145057128
26,2.643559217453003,67,487.49,388.7498596621958
27,3.116880178451538,67,518.76,397.37039990064574
28,3.894777774810791,67,509.78,399.0495081967215
29,9.57286286354065,70,537.75,395.4095779838326
30,11.744710683822632,70,493.04,398.560205658583

