Nrtasks,Time,Makespan,MaxTemp,AvgTemp
1,0.024551868438720703,15,388.2,346.1228752759382
2,0.024831771850585938,15,403.58,352.7458057395143
3,0.031795501708984375,19,418.54,373.2853664921465
4,0.03375840187072754,19,422.32,377.7691361256545
5,0.04126596450805664,19,465.75,394.5700305410123
6,0.05150723457336426,19,431.69,394.94246509598594
7,0.039905548095703125,19,474.72,396.5914528795811
8,0.11282515525817871,24,526.22,403.9705428769018
9,0.11622309684753418,24,499.01,421.5313934993084
10,0.12123775482177734,30,492.19,408.62688261351053
11,0.12608981132507324,31,493.96,406.1860262593784
12,0.15239572525024414,31,483.04,410.12857449088966
13,0.3889024257659912,49,463.94,388.5141259334691
14,0.4971883296966553,52,500.98,388.51221369161857
15,0.9752621650695801,55,477.49,382.7465184513007
16,1.4107334613800049,55,480.68,384.8787447065941
17,1.5163204669952393,55,493.89,393.4581170598911
18,0.7496442794799805,65,535.14,389.17336405529977
19,5.29067325592041,65,544.6,392.181145673323
20,1.3655719757080078,72,501.54,387.3032905686546
21,1.6135826110839844,89,496.89,378.7403591470258
22,2.1338729858398438,89,505.56,386.1340591096146
23,2.2843267917633057,89,523.08,388.96746165357285
24,8.086842060089111,105,571.46,382.9188621947353
25,4.401270627975464,105,566.23,384.8942982873454
26,7.592079162597656,124,549.17,378.844970453935
27,35.21522045135498,127,574.64,378.5207317073169
28,12.184359550476074,127,549.6,378.33177419354774
29,42.02277398109436,139,573.14,376.2746111909896
30,41.01644444465637,139,577.71,380.23547447879236

