Nr tasks 1, Time 0.0029611587524414062, Makespan 15, Max Temp 349.49, Avg Temp 330.663824503311 
Nr tasks 2, Time 0.0037217140197753906, Makespan 15, Max Temp 354.08, Avg Temp 331.47424392935983 
Nr tasks 3, Time 0.008701801300048828, Makespan 19, Max Temp 355.19, Avg Temp 337.75177574171033 
Nr tasks 4, Time 0.009016990661621094, Makespan 19, Max Temp 358.0, Avg Temp 339.71434554973825 
Nr tasks 5, Time 0.008686542510986328, Makespan 19, Max Temp 388.62, Avg Temp 350.4186082024433 
Nr tasks 6, Time 0.010584592819213867, Makespan 19, Max Temp 382.9, Avg Temp 351.58978184991275 
Nr tasks 7, Time 0.014194965362548828, Makespan 19, Max Temp 412.18, Avg Temp 352.7591404886563 
Nr tasks 8, Time 0.01679205894470215, Makespan 20, Max Temp 424.77, Avg Temp 379.5080306799337 
Nr tasks 9, Time 0.02037835121154785, Makespan 20, Max Temp 454.56, Avg Temp 408.33232587064686 
Nr tasks 10, Time 0.025954723358154297, Makespan 20, Max Temp 438.76, Avg Temp 408.4481135986733 
Nr tasks 11, Time 0.028751134872436523, Makespan 20, Max Temp 476.11, Avg Temp 413.2641542288557 
Nr tasks 12, Time 0.03221321105957031, Makespan 21, Max Temp 460.29, Avg Temp 410.48334913112177 
Nr tasks 13, Time 0.08865737915039062, Makespan 28, Max Temp 491.79, Avg Temp 399.8908540925266 
Nr tasks 14, Time 0.10426521301269531, Makespan 28, Max Temp 459.49, Avg Temp 402.58905990510084 
Nr tasks 15, Time 0.08722496032714844, Makespan 28, Max Temp 455.53, Avg Temp 407.5537396204033 
Nr tasks 16, Time 0.11019372940063477, Makespan 28, Max Temp 474.35, Avg Temp 418.6675771055753 
Nr tasks 17, Time 0.4058868885040283, Makespan 41, Max Temp 460.33, Avg Temp 399.4194870235199 
Nr tasks 18, Time 0.17183661460876465, Makespan 41, Max Temp 473.19, Avg Temp 400.49600162205996 
Nr tasks 19, Time 0.39884352684020996, Makespan 41, Max Temp 508.48, Avg Temp 406.84622668288733 
Nr tasks 20, Time 0.4792633056640625, Makespan 51, Max Temp 474.62, Avg Temp 393.5706180691454 
Nr tasks 21, Time 0.5347065925598145, Makespan 51, Max Temp 495.07, Avg Temp 396.32630300065244 
Nr tasks 22, Time 0.27515339851379395, Makespan 51, Max Temp 490.24, Avg Temp 399.5656523157208 
Nr tasks 23, Time 0.41822338104248047, Makespan 66, Max Temp 481.74, Avg Temp 388.87973903177004 
Nr tasks 24, Time 1.3937249183654785, Makespan 67, Max Temp 492.52, Avg Temp 387.8010692995527 
Nr tasks 25, Time 1.5757231712341309, Makespan 67, Max Temp 494.52, Avg Temp 388.20434550422254 
Nr tasks 26, Time 1.957144021987915, Makespan 67, Max Temp 509.39, Avg Temp 390.3949441132638 
Nr tasks 27, Time 2.3349475860595703, Makespan 67, Max Temp 511.15, Avg Temp 396.2275571286637 
Nr tasks 28, Time 3.640117645263672, Makespan 67, Max Temp 486.15, Avg Temp 395.40627545951315 
Nr tasks 29, Time 9.682963132858276, Makespan 70, Max Temp 482.31, Avg Temp 395.0474952448883 
Nr tasks 30, Time 8.481935977935791, Makespan 70, Max Temp 483.63, Avg Temp 399.11502377555877 
