Nrtasks,Time,Makespan,MaxTemp,Avgtemp
0, 0.006906032562255859, 0, 318.15, 318.15000000000003 
10, 0.022711753845214844, 20, 397.15, 375.0364510779436 
20, 0.036101341247558594, 36, 408.52, 378.2891181902124 
30, 0.05621695518493652, 60, 407.09, 379.37348585690455 
40, 0.07829833030700684, 83, 405.63, 379.6053469715203 
50, 0.10898637771606445, 105, 408.95, 380.8717626070411 
60, 0.11204099655151367, 121, 411.16, 380.9771855216074 
70, 0.1529092788696289, 143, 410.81, 381.49986431399935 
80, 0.1462719440460205, 159, 408.0, 381.15211083176195 
90, 0.16863107681274414, 183, 408.57, 381.67069952667043 
100, 0.20216703414916992, 214, 411.07, 381.28369414603793 
110, 0.22795557975769043, 240, 409.78, 381.37921733999764 
120, 0.26047182083129883, 267, 409.29, 381.3266214276801 
130, 0.26989269256591797, 285, 411.83, 381.5962518999176 
140, 0.3027644157409668, 304, 414.27, 381.81191603639127 
150, 0.3147695064544678, 330, 413.16, 381.91212915278123 
160, 0.335953950881958, 348, 411.32, 382.03170329407266 
170, 0.355457067489624, 368, 410.39, 382.1225715385308 
180, 0.4057285785675049, 387, 411.1, 382.2624278825452 
190, 0.41169023513793945, 412, 413.9, 382.4705957291919 
200, 0.4448280334472656, 438, 413.27, 382.34587708285807 
210, 0.4646639823913574, 455, 411.74, 382.38681535193746 
220, 0.5149564743041992, 483, 414.48, 382.4678073897742 
230, 0.5148992538452148, 509, 414.71, 382.49777384927665 
240, 0.5388801097869873, 531, 411.5, 382.5993828845804 
250, 0.6161708831787109, 554, 411.62, 382.4803341755396 
260, 0.5922327041625977, 577, 411.21, 382.5494413157746 
270, 0.6117732524871826, 595, 411.26, 382.61245336918205 
280, 0.658754825592041, 622, 411.3, 382.5703922199011 
290, 0.7005248069763184, 644, 412.08, 382.41653457020135 
300, 0.7189409732818604, 662, 410.45, 382.4935048834521 
310, 0.728471040725708, 684, 413.01, 382.49524777079324 
320, 0.7472953796386719, 714, 412.14, 382.4377455305054 
330, 0.8073692321777344, 740, 414.61, 382.3886863261728 
340, 0.817101001739502, 764, 411.94, 382.44911867992806 
350, 0.8627879619598389, 781, 412.22, 382.360351854223 
360, 0.8584954738616943, 799, 411.74, 382.32278886664216 
370, 0.918463945388794, 823, 412.2, 382.2558844611836 
380, 0.9212236404418945, 841, 410.88, 382.3111120358258 
390, 0.9594309329986572, 868, 412.14, 382.3169547479179 
400, 1.008535623550415, 894, 414.49, 382.3094098348436 
410, 1.0278618335723877, 914, 414.77, 382.36407714327333 
420, 1.0675089359283447, 940, 411.5, 382.3207999149027 
430, 1.1363017559051514, 952, 412.96, 382.35264853131685 
440, 1.097498893737793, 977, 412.99, 382.2482623750557 
450, 1.171203374862671, 1000, 411.64, 382.2641307535908 
460, 1.156590223312378, 1018, 412.2, 382.256580067445 
470, 1.2191271781921387, 1037, 415.2, 382.2505566001348 
480, 1.2378249168395996, 1053, 417.55, 382.2999579811977 
490, 1.250462293624878, 1075, 417.56, 382.33936207484504 
500, 1.3291490077972412, 1104, 417.57, 382.3801218941519 
510, 1.3223638534545898, 1124, 417.58, 382.403560329745 
520, 1.3618977069854736, 1144, 417.59, 382.4455181656606 
530, 1.3823590278625488, 1170, 417.6, 382.4729053072383 
540, 1.4148328304290771, 1191, 417.61, 382.4962037192513 
550, 1.4480621814727783, 1212, 417.62, 382.529541910734 
560, 1.5049560070037842, 1228, 417.61, 382.5233578291671 
570, 1.5031235218048096, 1252, 417.6, 382.49838910630234 
580, 1.543086290359497, 1272, 417.6, 382.4743951602338 
590, 1.585143804550171, 1292, 417.59, 382.433789825348 
600, 1.608346939086914, 1315, 417.59, 382.45946429929245 
610, 1.658630132675171, 1331, 417.59, 382.4539828587888 
620, 1.6948175430297852, 1364, 417.61, 382.5059364538277 
630, 1.793971300125122, 1394, 417.62, 382.58169278865785 
640, 1.8908603191375732, 1414, 417.63, 382.58914928222845 
650, 1.8305366039276123, 1434, 417.63, 382.57857576180146 
660, 2.015993118286133, 1455, 417.63, 382.5846038072977 
670, 1.955153465270996, 1476, 417.63, 382.6063322268135 
680, 2.0008585453033447, 1501, 417.65, 382.66898946328166 
690, 2.075227737426758, 1521, 417.66, 382.6938536804503 
700, 1.9976963996887207, 1544, 417.64, 382.6406515122073 
710, 2.028905153274536, 1560, 417.65, 382.6614588808409 
720, 2.080721139907837, 1581, 417.64, 382.6310791010478 
730, 2.088836908340454, 1607, 417.63, 382.6166054798494 
740, 2.1692898273468018, 1628, 417.63, 382.6036425383377 
750, 2.252436399459839, 1653, 417.64, 382.61772906458623 
760, 2.2844550609588623, 1676, 417.64, 382.6269190879621 
770, 2.35690975189209, 1700, 417.63, 382.6018862615931 
780, 2.3693807125091553, 1730, 417.64, 382.62812664971017 
790, 2.3760969638824463, 1750, 417.64, 382.6214290135808 
800, 2.4576542377471924, 1766, 417.64, 382.6245848668439 
810, 2.4961235523223877, 1785, 417.64, 382.6152934942959 
820, 2.490939140319824, 1804, 424.34, 382.65076386194465 
830, 2.5249571800231934, 1821, 424.35, 382.6669550912448 
840, 2.62758731842041, 1835, 424.34, 382.6522471981554 
850, 2.598372459411621, 1851, 424.34, 382.626012776186 
860, 2.613006591796875, 1874, 424.32, 382.576324947086 
870, 2.650322914123535, 1894, 424.32, 382.56224314978067 
880, 2.709015369415283, 1919, 424.35, 382.66423197505725 
890, 2.8062853813171387, 1938, 424.34, 382.6332095007147 
900, 2.7914021015167236, 1956, 424.34, 382.6194785968681 
910, 2.8066251277923584, 1976, 424.33, 382.60022700436747 
920, 2.8785667419433594, 1994, 424.33, 382.6004971332093 
930, 2.9133551120758057, 2022, 424.33, 382.58664639071634 
940, 2.9810616970062256, 2040, 424.33, 382.5966021273461 
950, 3.019076347351074, 2066, 424.32, 382.55742901279336 
960, 3.106959342956543, 2086, 424.32, 382.54726211590986 
970, 3.0710020065307617, 2109, 424.33, 382.58492295291745 
980, 3.1189346313476562, 2126, 424.32, 382.548902528887 
990, 3.1718571186065674, 2143, 424.33, 382.59246632603845 
1000, 3.207085132598877, 2153, 424.25, 382.6192484866784 
