Nr tasks 1, Time 0.0008549690246582031, Makespan 15, Max Temp 346.57, Top 1 percent highs 346.56999999999994 
Nr tasks 2, Time 0.00115966796875, Makespan 15, Max Temp 366.92, Top 1 percent highs 366.1905555555556 
Nr tasks 3, Time 0.005625009536743164, Makespan 34, Max Temp 366.24, Top 1 percent highs 359.84675 
Nr tasks 4, Time 0.0071353912353515625, Makespan 34, Max Temp 371.05, Top 1 percent highs 364.21025 
Nr tasks 5, Time 0.014053821563720703, Makespan 46, Max Temp 371.53, Top 1 percent highs 362.4261818181819 
Nr tasks 6, Time 0.015720844268798828, Makespan 46, Max Temp 374.84, Top 1 percent highs 364.0794545454546 
Nr tasks 7, Time 0.017952442169189453, Makespan 46, Max Temp 374.97, Top 1 percent highs 369.90345454545445 
Nr tasks 8, Time 0.027270078659057617, Makespan 66, Max Temp 378.91, Top 1 percent highs 378.78683544303806 
Nr tasks 9, Time 0.03942441940307617, Makespan 66, Max Temp 389.88, Top 1 percent highs 389.4665822784809 
Nr tasks 10, Time 0.04329419136047363, Makespan 66, Max Temp 389.88, Top 1 percent highs 389.46999999999997 
Nr tasks 11, Time 0.04904460906982422, Makespan 66, Max Temp 389.89, Top 1 percent highs 389.47734177215193 
Nr tasks 12, Time 0.047181129455566406, Makespan 66, Max Temp 392.2, Top 1 percent highs 390.71202531645554 
Nr tasks 13, Time 0.06355714797973633, Makespan 82, Max Temp 392.2, Top 1 percent highs 390.4927551020407 
Nr tasks 14, Time 0.06627368927001953, Makespan 82, Max Temp 396.29, Top 1 percent highs 395.45510204081626 
Nr tasks 15, Time 0.08365893363952637, Makespan 82, Max Temp 396.3, Top 1 percent highs 395.47163265306125 
Nr tasks 16, Time 0.11073565483093262, Makespan 82, Max Temp 396.3, Top 1 percent highs 395.4722448979592 
Nr tasks 17, Time 0.12199854850769043, Makespan 99, Max Temp 396.3, Top 1 percent highs 394.86059322033896 
Nr tasks 18, Time 0.12434887886047363, Makespan 99, Max Temp 396.3, Top 1 percent highs 394.86067796610166 
Nr tasks 19, Time 0.15435290336608887, Makespan 117, Max Temp 396.3, Top 1 percent highs 394.32085714285705 
Nr tasks 20, Time 0.17102622985839844, Makespan 127, Max Temp 396.3, Top 1 percent highs 394.0813815789473 
Nr tasks 21, Time 0.195420503616333, Makespan 139, Max Temp 396.3, Top 1 percent highs 393.8356626506024 
Nr tasks 22, Time 0.22630691528320312, Makespan 139, Max Temp 396.3, Top 1 percent highs 393.8360240963855 
Nr tasks 23, Time 0.23976588249206543, Makespan 139, Max Temp 396.3, Top 1 percent highs 394.0515060240965 
Nr tasks 24, Time 0.24544477462768555, Makespan 139, Max Temp 396.3, Top 1 percent highs 394.0525903614459 
Nr tasks 25, Time 0.26372790336608887, Makespan 139, Max Temp 396.31, Top 1 percent highs 394.0531325301206 
Nr tasks 26, Time 0.2864077091217041, Makespan 150, Max Temp 396.31, Top 1 percent highs 393.86244444444463 
Nr tasks 27, Time 0.31139183044433594, Makespan 150, Max Temp 396.31, Top 1 percent highs 393.8627222222224 
Nr tasks 28, Time 0.3377707004547119, Makespan 150, Max Temp 396.31, Top 1 percent highs 393.86644444444454 
Nr tasks 29, Time 0.33654356002807617, Makespan 153, Max Temp 396.31, Top 1 percent highs 393.8286338797815 
Nr tasks 30, Time 0.3769958019256592, Makespan 169, Max Temp 396.31, Top 1 percent highs 393.61153465346524 
Nr tasks 31, Time 0.37891578674316406, Makespan 172, Max Temp 396.31, Top 1 percent highs 393.57048543689314 
Nr tasks 32, Time 0.3868672847747803, Makespan 172, Max Temp 396.31, Top 1 percent highs 393.57063106796113 
Nr tasks 33, Time 0.40738487243652344, Makespan 172, Max Temp 396.35, Top 1 percent highs 393.6020873786407 
Nr tasks 34, Time 0.43226003646850586, Makespan 172, Max Temp 396.35, Top 1 percent highs 393.60223300970864 
Nr tasks 35, Time 0.41993045806884766, Makespan 177, Max Temp 396.35, Top 1 percent highs 393.54259433962255 
Nr tasks 36, Time 0.5025303363800049, Makespan 192, Max Temp 396.35, Top 1 percent highs 393.3800869565217 
Nr tasks 37, Time 0.6017758846282959, Makespan 206, Max Temp 396.35, Top 1 percent highs 393.24591093117397 
Nr tasks 38, Time 0.592388391494751, Makespan 206, Max Temp 396.35, Top 1 percent highs 393.2461133603237 
Nr tasks 39, Time 0.6696977615356445, Makespan 206, Max Temp 396.35, Top 1 percent highs 393.2461943319836 
Nr tasks 40, Time 0.7081019878387451, Makespan 206, Max Temp 396.35, Top 1 percent highs 393.2462753036435 
Nr tasks 41, Time 0.7962372303009033, Makespan 206, Max Temp 396.35, Top 1 percent highs 393.24635627530336 
Nr tasks 42, Time 0.8578987121582031, Makespan 225, Max Temp 396.35, Top 1 percent highs 393.0880370370367 
Nr tasks 43, Time 0.8956665992736816, Makespan 225, Max Temp 396.35, Top 1 percent highs 393.08833333333297 
Nr tasks 44, Time 0.8943145275115967, Makespan 236, Max Temp 396.35, Top 1 percent highs 393.00840989399256 
Nr tasks 45, Time 0.9307682514190674, Makespan 251, Max Temp 396.35, Top 1 percent highs 392.9069767441858 
Nr tasks 46, Time 0.9271650314331055, Makespan 251, Max Temp 396.35, Top 1 percent highs 392.9069767441858 
Nr tasks 47, Time 1.0282351970672607, Makespan 271, Max Temp 396.35, Top 1 percent highs 392.7855384615382 
Nr tasks 48, Time 1.1148991584777832, Makespan 271, Max Temp 396.35, Top 1 percent highs 394.2298461538464 
Nr tasks 49, Time 1.214125394821167, Makespan 271, Max Temp 396.35, Top 1 percent highs 394.22993846153867 
Nr tasks 50, Time 1.2563745975494385, Makespan 271, Max Temp 396.36, Top 1 percent highs 394.2336000000002 
Nr tasks 51, Time 1.264749526977539, Makespan 271, Max Temp 396.36, Top 1 percent highs 394.34301538461506 
Nr tasks 52, Time 1.3939554691314697, Makespan 271, Max Temp 396.39, Top 1 percent highs 394.3527999999997 
Nr tasks 53, Time 1.528850793838501, Makespan 271, Max Temp 396.39, Top 1 percent highs 394.3528615384612 
Nr tasks 54, Time 1.6454267501831055, Makespan 287, Max Temp 396.39, Top 1 percent highs 394.2560465116275 
Nr tasks 55, Time 1.6249098777770996, Makespan 287, Max Temp 396.39, Top 1 percent highs 394.2561046511624 
Nr tasks 56, Time 1.7388408184051514, Makespan 287, Max Temp 396.43, Top 1 percent highs 394.2665116279066 
Nr tasks 57, Time 1.751962661743164, Makespan 293, Max Temp 396.43, Top 1 percent highs 394.23039886039845 
Nr tasks 58, Time 1.8673288822174072, Makespan 293, Max Temp 396.43, Top 1 percent highs 394.23039886039845 
Nr tasks 59, Time 1.8946871757507324, Makespan 304, Max Temp 396.43, Top 1 percent highs 394.16439560439517 
Nr tasks 60, Time 1.900918960571289, Makespan 304, Max Temp 396.43, Top 1 percent highs 394.1663186813182 
Nr tasks 61, Time 2.05373477935791, Makespan 317, Max Temp 396.43, Top 1 percent highs 394.08773684210473 
Nr tasks 62, Time 1.999251127243042, Makespan 317, Max Temp 396.43, Top 1 percent highs 394.08778947368364 
Nr tasks 63, Time 2.042269706726074, Makespan 317, Max Temp 396.43, Top 1 percent highs 394.08784210526255 
Nr tasks 64, Time 2.2124905586242676, Makespan 317, Max Temp 396.43, Top 1 percent highs 394.08784210526255 
Nr tasks 65, Time 2.2740111351013184, Makespan 317, Max Temp 396.43, Top 1 percent highs 394.08786842105195 
Nr tasks 66, Time 2.5576274394989014, Makespan 332, Max Temp 396.43, Top 1 percent highs 394.00331658291407 
Nr tasks 67, Time 2.7464001178741455, Makespan 351, Max Temp 396.43, Top 1 percent highs 393.9000712589069 
Nr tasks 68, Time 2.7209551334381104, Makespan 351, Max Temp 396.43, Top 1 percent highs 394.003966745843 
Nr tasks 69, Time 2.953380584716797, Makespan 351, Max Temp 396.46, Top 1 percent highs 394.0115439429928 
Nr tasks 70, Time 3.0207366943359375, Makespan 351, Max Temp 396.46, Top 1 percent highs 394.01156769596184 
Nr tasks 71, Time 3.194828510284424, Makespan 366, Max Temp 396.46, Top 1 percent highs 393.9336674259679 
Nr tasks 72, Time 3.153237819671631, Makespan 366, Max Temp 396.46, Top 1 percent highs 393.9336674259679 
Nr tasks 73, Time 3.279845952987671, Makespan 366, Max Temp 396.46, Top 1 percent highs 393.9336674259679 
Nr tasks 74, Time 3.3466620445251465, Makespan 366, Max Temp 396.46, Top 1 percent highs 393.9337357630977 
Nr tasks 75, Time 3.547534227371216, Makespan 385, Max Temp 396.46, Top 1 percent highs 393.83664502164476 
Nr tasks 76, Time 3.7298848628997803, Makespan 385, Max Temp 396.46, Top 1 percent highs 393.83731601731574 
Nr tasks 77, Time 3.7956573963165283, Makespan 385, Max Temp 396.46, Top 1 percent highs 393.8374025974023 
Nr tasks 78, Time 3.924375295639038, Makespan 385, Max Temp 396.46, Top 1 percent highs 393.8374458874456 
Nr tasks 79, Time 3.9810478687286377, Makespan 403, Max Temp 396.46, Top 1 percent highs 393.75076604554835 
Nr tasks 80, Time 4.065510988235474, Makespan 403, Max Temp 396.46, Top 1 percent highs 393.75103519668704 
Nr tasks 81, Time 4.3298938274383545, Makespan 403, Max Temp 396.47, Top 1 percent highs 393.75569358178024 
Nr tasks 82, Time 4.530679225921631, Makespan 423, Max Temp 396.47, Top 1 percent highs 393.65954635108454 
Nr tasks 83, Time 4.513005495071411, Makespan 423, Max Temp 396.47, Top 1 percent highs 393.9848520710056 
Nr tasks 84, Time 4.651543855667114, Makespan 423, Max Temp 396.47, Top 1 percent highs 393.98491124260323 
Nr tasks 85, Time 4.9556052684783936, Makespan 423, Max Temp 396.49, Top 1 percent highs 393.9903155818536 
Nr tasks 86, Time 5.893527984619141, Makespan 423, Max Temp 396.5, Top 1 percent highs 393.9924852071004 
Nr tasks 87, Time 4.902899265289307, Makespan 423, Max Temp 396.5, Top 1 percent highs 393.99552268244554 
Nr tasks 88, Time 5.040597915649414, Makespan 423, Max Temp 396.5, Top 1 percent highs 393.99558185404317 
Nr tasks 89, Time 5.2012317180633545, Makespan 423, Max Temp 396.5, Top 1 percent highs 393.99564102564074 
Nr tasks 90, Time 5.186464786529541, Makespan 423, Max Temp 396.5, Top 1 percent highs 393.99566074950667 
Nr tasks 91, Time 5.148554563522339, Makespan 423, Max Temp 396.5, Top 1 percent highs 393.9956804733725 
Nr tasks 92, Time 5.187809705734253, Makespan 433, Max Temp 396.5, Top 1 percent highs 393.956107899807 
Nr tasks 93, Time 5.234335660934448, Makespan 444, Max Temp 396.5, Top 1 percent highs 393.913834586466 
Nr tasks 94, Time 5.274983882904053, Makespan 444, Max Temp 396.5, Top 1 percent highs 394.1439285714286 
Nr tasks 95, Time 5.368934631347656, Makespan 444, Max Temp 396.5, Top 1 percent highs 394.1439661654135 
Nr tasks 96, Time 5.405048847198486, Makespan 453, Max Temp 396.5, Top 1 percent highs 394.11744014732955 
Nr tasks 97, Time 5.528183937072754, Makespan 466, Max Temp 396.5, Top 1 percent highs 394.078533094812 
Nr tasks 98, Time 5.552523136138916, Makespan 475, Max Temp 396.5, Top 1 percent highs 394.0516315789473 
Nr tasks 99, Time 5.688571929931641, Makespan 475, Max Temp 396.5, Top 1 percent highs 394.0516315789473 
Nr tasks 100, Time 5.842099189758301, Makespan 475, Max Temp 396.5, Top 1 percent highs 394.0516491228069 
Nr tasks 100, Time 5.777592897415161, Makespan 475, Max Temp 396.5, Top 1 percent highs 394.0516491228069 
Nr tasks 120, Time 8.568411827087402, Makespan 586, Max Temp 396.52, Top 1 percent highs 393.7319061166429 
Nr tasks 140, Time 13.06443166732788, Makespan 714, Max Temp 396.53, Top 1 percent highs 393.6600817757006 
Nr tasks 160, Time 20.5912868976593, Makespan 874, Max Temp 396.53, Top 1 percent highs 393.327729007633 
Nr tasks 180, Time 31.074520587921143, Makespan 968, Max Temp 396.53, Top 1 percent highs 393.3867011197244 
Nr tasks 200, Time 41.36087346076965, Makespan 1066, Max Temp 396.53, Top 1 percent highs 393.38179046129784 
Nr tasks 220, Time 54.56989502906799, Makespan 1234, Max Temp 396.53, Top 1 percent highs 393.22015540540497 
Nr tasks 240, Time 72.99545168876648, Makespan 1314, Max Temp 396.54, Top 1 percent highs 393.15713197969603 
Nr tasks 260, Time 89.64231371879578, Makespan 1440, Max Temp 396.59, Top 1 percent highs 393.8161458333335 
Nr tasks 280, Time 114.32281589508057, Makespan 1516, Max Temp 396.59, Top 1 percent highs 393.83782847718476 
Nr tasks 300, Time 133.7753210067749, Makespan 1653, Max Temp 396.6, Top 1 percent highs 393.76342410489264 
Nr tasks 320, Time 161.84506464004517, Makespan 1739, Max Temp 396.62, Top 1 percent highs 393.72204697986564 
Nr tasks 340, Time 197.4085717201233, Makespan 1860, Max Temp 396.65, Top 1 percent highs 393.6638396057354 
Nr tasks 360, Time 248.78932905197144, Makespan 1967, Max Temp 396.65, Top 1 percent highs 393.6249661016948 
Nr tasks 380, Time 294.0089621543884, Makespan 2059, Max Temp 396.68, Top 1 percent highs 393.5786963562757 
Nr tasks 400, Time 343.40645456314087, Makespan 2215, Max Temp 396.68, Top 1 percent highs 393.51462753950454 
Nr tasks 420, Time 419.3278257846832, Makespan 2333, Max Temp 396.68, Top 1 percent highs 393.45444444444786 
Nr tasks 440, Time 473.6792573928833, Makespan 2485, Max Temp 396.68, Top 1 percent highs 393.37902079141696 
Nr tasks 460, Time 542.5386006832123, Makespan 2577, Max Temp 396.7, Top 1 percent highs 393.35829560155213 
Nr tasks 480, Time 616.2418038845062, Makespan 2672, Max Temp 396.7, Top 1 percent highs 393.34116968184605 
Nr tasks 500, Time 720.7102766036987, Makespan 2762, Max Temp 396.72, Top 1 percent highs 393.4314574532291 
