Nrtasks,Time,Makespan,MaxTemp,Top1percenthighs,GAP
1,0.002623319625854492,15,343.79,343.7894444444444,0.0%
2,0.003682374954223633,16,344.07,343.9515789473684,6.25%
3,0.00661778450012207,20,350.23,350.2104166666666,5.0%
4,0.0071811676025390625,19,362.2,361.5209090909091,0.0%
5,0.00939035415649414,19,367.4,367.0054545454546,0.0%
6,0.01226663589477539,19,371.33,371.13545454545454,0.0%
7,0.01524043083190918,19,375.71,375.0781818181818,0.0%
8,0.06578588485717773,34,382.98,382.9505000000002,0.0%
9,0.14273595809936523,39,391.26,391.14021739130436,0.0%
10,0.09901857376098633,39,391.58,391.5067391304346,17.948717948717928%
11,0.21004796028137207,40,391.53,391.4420833333333,2.5%
12,0.2294011116027832,39,391.39,391.2884782608697,24.983563445101908%
13,0.5475759506225586,42,391.67,391.50499999999977,16.666666666666664%
14,0.2946000099182129,46,392.97,391.85672727272737,23.9130434782609%
15,0.9819390773773193,47,394.37,394.25535714285695,17.021276587270233%
16,1.0445177555084229,52,393.67,393.60112903225814,23.076923069082827%
17,2.994427442550659,68,393.55,392.8839506172841,16.176470588235293%
18,6.061033725738525,69,395.04,394.7168292682926,24.63768115942031%
19,12.895919799804688,71,393.75,392.94917647058816,22.535211267605636%
20,8.401089668273926,76,393.81,392.9520879120879,25.0%
21,108.96740961074829,78,396.87,396.39215053763434,24.358974358974486%
22,99.2573606967926,79,396.75,396.0730851063831,24.050632911392405%
23,316.4170219898224,87,396.69,395.94528846153844,24.137931034482758%
24,286.2200517654419,87,398.02,397.4654807692307,24.137931034482857%
25,237.02922677993774,87,399.14,397.9675000000001,24.13793103448289%
26,976.3713636398315,90,397.16,396.3989814814814,24.672815107597724%
27,1201.8006255626678,100,396.05,395.80133333333345,28.999957407169646%

