Nr tasks 1, Time 0.0008475780487060547, Makespan 15, Max Temp 346.57, Top 1 percent highs 346.56999999999994 
Nr tasks 2, Time 0.0010614395141601562, Makespan 15, Max Temp 351.16, Top 1 percent highs 350.64166666666665 
Nr tasks 3, Time 0.004341602325439453, Makespan 34, Max Temp 350.49, Top 1 percent highs 348.88024999999993 
Nr tasks 4, Time 0.005419015884399414, Makespan 34, Max Temp 355.31, Top 1 percent highs 353.16775 
Nr tasks 5, Time 0.009615182876586914, Makespan 46, Max Temp 359.34, Top 1 percent highs 359.21199999999993 
Nr tasks 6, Time 0.011998176574707031, Makespan 46, Max Temp 359.34, Top 1 percent highs 359.2141818181817 
Nr tasks 7, Time 0.012152671813964844, Makespan 47, Max Temp 364.44, Top 1 percent highs 361.70303571428576 
Nr tasks 8, Time 0.02597212791442871, Makespan 67, Max Temp 378.92, Top 1 percent highs 378.790125 
Nr tasks 9, Time 0.047646522521972656, Makespan 67, Max Temp 397.06, Top 1 percent highs 396.81612500000006 
Nr tasks 10, Time 0.053357839584350586, Makespan 67, Max Temp 397.06, Top 1 percent highs 396.81775000000005 
Nr tasks 11, Time 0.0805063247680664, Makespan 67, Max Temp 397.06, Top 1 percent highs 396.81925000000007 
Nr tasks 12, Time 0.05796241760253906, Makespan 67, Max Temp 397.16, Top 1 percent highs 396.938125 
Nr tasks 13, Time 0.07429862022399902, Makespan 67, Max Temp 402.62, Top 1 percent highs 400.60887499999995 
Nr tasks 14, Time 0.0741422176361084, Makespan 67, Max Temp 415.1, Top 1 percent highs 413.1170000000001 
Nr tasks 15, Time 0.09291434288024902, Makespan 67, Max Temp 415.13, Top 1 percent highs 413.15587500000004 
Nr tasks 16, Time 0.10635137557983398, Makespan 67, Max Temp 415.22, Top 1 percent highs 413.2522499999999 
Nr tasks 17, Time 0.12298798561096191, Makespan 67, Max Temp 419.73, Top 1 percent highs 419.4617499999998 
Nr tasks 18, Time 0.11989974975585938, Makespan 67, Max Temp 422.14, Top 1 percent highs 420.4938750000001 
Nr tasks 19, Time 0.14065814018249512, Makespan 67, Max Temp 422.18, Top 1 percent highs 420.52787500000005 
Nr tasks 20, Time 0.14663910865783691, Makespan 67, Max Temp 436.13, Top 1 percent highs 435.3599999999998 
Nr tasks 21, Time 0.1612529754638672, Makespan 79, Max Temp 436.13, Top 1 percent highs 435.20372340425513 
Nr tasks 22, Time 0.17044496536254883, Makespan 79, Max Temp 436.13, Top 1 percent highs 435.20882978723387 
Nr tasks 23, Time 0.19465112686157227, Makespan 79, Max Temp 438.84, Top 1 percent highs 438.1874468085106 
Nr tasks 24, Time 0.19464969635009766, Makespan 79, Max Temp 439.58, Top 1 percent highs 438.7051063829787 
Nr tasks 25, Time 0.2012932300567627, Makespan 79, Max Temp 439.58, Top 1 percent highs 438.70542553191495 
Nr tasks 26, Time 0.21869826316833496, Makespan 79, Max Temp 439.58, Top 1 percent highs 438.7056382978724 
Nr tasks 27, Time 0.2448408603668213, Makespan 95, Max Temp 439.58, Top 1 percent highs 438.5421929824562 
Nr tasks 28, Time 0.2600095272064209, Makespan 95, Max Temp 439.58, Top 1 percent highs 438.5442982456141 
Nr tasks 29, Time 0.2654104232788086, Makespan 95, Max Temp 439.58, Top 1 percent highs 438.5492982456141 
Nr tasks 30, Time 0.29442429542541504, Makespan 95, Max Temp 439.58, Top 1 percent highs 438.5496491228071 
Nr tasks 31, Time 0.30740976333618164, Makespan 95, Max Temp 439.58, Top 1 percent highs 438.54982456140357 
Nr tasks 32, Time 0.3085176944732666, Makespan 95, Max Temp 439.58, Top 1 percent highs 438.54991228070185 
Nr tasks 33, Time 0.31393885612487793, Makespan 95, Max Temp 439.58, Top 1 percent highs 438.54991228070185 
Nr tasks 34, Time 0.3368492126464844, Makespan 95, Max Temp 439.58, Top 1 percent highs 438.55 
Nr tasks 35, Time 0.32930445671081543, Makespan 95, Max Temp 439.58, Top 1 percent highs 438.5500877192983 
Nr tasks 36, Time 0.37164807319641113, Makespan 95, Max Temp 439.59, Top 1 percent highs 438.55973684210517 
Nr tasks 37, Time 0.41351819038391113, Makespan 109, Max Temp 439.59, Top 1 percent highs 438.43184615384615 
Nr tasks 38, Time 0.41387128829956055, Makespan 109, Max Temp 439.59, Top 1 percent highs 438.43246153846155 
Nr tasks 39, Time 0.43860960006713867, Makespan 109, Max Temp 439.59, Top 1 percent highs 438.4327692307692 
Nr tasks 40, Time 0.4630248546600342, Makespan 109, Max Temp 439.59, Top 1 percent highs 438.433 
Nr tasks 41, Time 0.5255575180053711, Makespan 109, Max Temp 439.6, Top 1 percent highs 438.44676923076935 
Nr tasks 42, Time 0.5400412082672119, Makespan 109, Max Temp 439.6, Top 1 percent highs 438.447076923077 
Nr tasks 43, Time 0.5746524333953857, Makespan 109, Max Temp 439.6, Top 1 percent highs 438.4474615384617 
Nr tasks 44, Time 0.6160280704498291, Makespan 109, Max Temp 439.6, Top 1 percent highs 438.44753846153856 
Nr tasks 45, Time 0.6226558685302734, Makespan 124, Max Temp 439.6, Top 1 percent highs 438.2916891891893 
Nr tasks 46, Time 0.6223011016845703, Makespan 124, Max Temp 439.6, Top 1 percent highs 438.29182432432447 
Nr tasks 47, Time 0.7003824710845947, Makespan 144, Max Temp 439.6, Top 1 percent highs 438.0131395348836 
Nr tasks 48, Time 0.7884743213653564, Makespan 159, Max Temp 439.6, Top 1 percent highs 437.82484210526326 
Nr tasks 49, Time 0.8940796852111816, Makespan 159, Max Temp 439.6, Top 1 percent highs 437.8251052631579 
Nr tasks 50, Time 0.9332153797149658, Makespan 159, Max Temp 439.6, Top 1 percent highs 437.82526315789465 
Nr tasks 51, Time 0.9622957706451416, Makespan 159, Max Temp 439.6, Top 1 percent highs 437.8253684210526 
Nr tasks 52, Time 1.13911771774292, Makespan 159, Max Temp 439.6, Top 1 percent highs 437.8255263157895 
Nr tasks 53, Time 1.2358202934265137, Makespan 159, Max Temp 439.6, Top 1 percent highs 437.8255789473685 
Nr tasks 54, Time 1.4110662937164307, Makespan 175, Max Temp 439.6, Top 1 percent highs 437.63347619047624 
Nr tasks 55, Time 1.3647089004516602, Makespan 175, Max Temp 439.6, Top 1 percent highs 437.6336190476191 
Nr tasks 56, Time 1.474442481994629, Makespan 175, Max Temp 439.6, Top 1 percent highs 437.633761904762 
Nr tasks 57, Time 1.4502649307250977, Makespan 175, Max Temp 439.6, Top 1 percent highs 437.63385714285727 
Nr tasks 58, Time 1.52384614944458, Makespan 175, Max Temp 439.6, Top 1 percent highs 437.63390476190494 
Nr tasks 59, Time 1.6030943393707275, Makespan 175, Max Temp 439.6, Top 1 percent highs 437.634142857143 
Nr tasks 60, Time 1.6706523895263672, Makespan 175, Max Temp 439.6, Top 1 percent highs 437.63552380952393 
Nr tasks 61, Time 1.7129709720611572, Makespan 175, Max Temp 439.6, Top 1 percent highs 437.6357142857144 
Nr tasks 62, Time 1.6868140697479248, Makespan 175, Max Temp 439.6, Top 1 percent highs 437.6357142857144 
Nr tasks 63, Time 1.7786762714385986, Makespan 175, Max Temp 439.6, Top 1 percent highs 437.6378571428572 
Nr tasks 64, Time 1.9118318557739258, Makespan 175, Max Temp 439.63, Top 1 percent highs 437.68080952380967 
Nr tasks 65, Time 1.8972883224487305, Makespan 175, Max Temp 439.63, Top 1 percent highs 437.6809523809526 
Nr tasks 66, Time 2.081273078918457, Makespan 175, Max Temp 439.66, Top 1 percent highs 437.71876190476206 
Nr tasks 67, Time 2.147559881210327, Makespan 194, Max Temp 439.66, Top 1 percent highs 437.5191379310347 
Nr tasks 68, Time 2.165104866027832, Makespan 194, Max Temp 439.66, Top 1 percent highs 437.5191379310347 
Nr tasks 69, Time 2.1584179401397705, Makespan 194, Max Temp 439.67, Top 1 percent highs 437.5259482758622 
Nr tasks 70, Time 2.3958094120025635, Makespan 194, Max Temp 439.67, Top 1 percent highs 437.52603448275875 
Nr tasks 71, Time 2.322533369064331, Makespan 194, Max Temp 439.67, Top 1 percent highs 437.52642241379317 
Nr tasks 72, Time 2.434993267059326, Makespan 194, Max Temp 439.67, Top 1 percent highs 437.5264655172415 
Nr tasks 73, Time 2.385338544845581, Makespan 194, Max Temp 439.67, Top 1 percent highs 437.5265517241381 
Nr tasks 74, Time 2.464495897293091, Makespan 194, Max Temp 439.67, Top 1 percent highs 437.52663793103466 
Nr tasks 75, Time 2.671802520751953, Makespan 213, Max Temp 439.67, Top 1 percent highs 437.32298039215704 
Nr tasks 76, Time 2.747734546661377, Makespan 213, Max Temp 439.68, Top 1 percent highs 437.34094117647055 
Nr tasks 77, Time 2.9397640228271484, Makespan 225, Max Temp 439.68, Top 1 percent highs 437.21544444444436 
Nr tasks 78, Time 2.9343557357788086, Makespan 225, Max Temp 439.68, Top 1 percent highs 437.2155185185185 
Nr tasks 79, Time 3.132859468460083, Makespan 243, Max Temp 439.68, Top 1 percent highs 437.0510309278351 
Nr tasks 80, Time 3.250019073486328, Makespan 243, Max Temp 439.68, Top 1 percent highs 437.05116838487965 
Nr tasks 81, Time 3.381786346435547, Makespan 243, Max Temp 439.68, Top 1 percent highs 437.0566666666664 
Nr tasks 82, Time 3.7385597229003906, Makespan 243, Max Temp 439.68, Top 1 percent highs 437.05690721649466 
Nr tasks 83, Time 3.681156873703003, Makespan 243, Max Temp 439.68, Top 1 percent highs 437.05690721649466 
Nr tasks 84, Time 3.571021795272827, Makespan 243, Max Temp 439.68, Top 1 percent highs 437.056975945017 
Nr tasks 85, Time 3.883986234664917, Makespan 243, Max Temp 439.69, Top 1 percent highs 437.0632989690722 
Nr tasks 86, Time 3.951624870300293, Makespan 243, Max Temp 439.69, Top 1 percent highs 437.0657388316152 
Nr tasks 87, Time 3.9086852073669434, Makespan 243, Max Temp 439.76, Top 1 percent highs 437.17797250859087 
