Nr tasks 1, Time 0.06119108200073242, Makespan 15, Max Temp 343.79, Avg Temp 329.9420750551877 
Nr tasks 2, Time 0.02077770233154297, Makespan 15, Max Temp 354.08, Avg Temp 331.47424392935983 
Nr tasks 3, Time 0.023073911666870117, Makespan 19, Max Temp 357.16, Avg Temp 337.8416492146595 
Nr tasks 4, Time 0.027315378189086914, Makespan 19, Max Temp 373.57, Avg Temp 339.8131326352531 
Nr tasks 5, Time 0.02415180206298828, Makespan 19, Max Temp 395.44, Avg Temp 351.34641797556725 
Nr tasks 6, Time 0.02592301368713379, Makespan 19, Max Temp 395.57, Avg Temp 351.75876963350794 
Nr tasks 7, Time 0.023728609085083008, Makespan 19, Max Temp 401.1, Avg Temp 353.0622687609075 
Nr tasks 8, Time 0.029867172241210938, Makespan 20, Max Temp 430.42, Avg Temp 379.6125953565506 
Nr tasks 9, Time 0.029381275177001953, Makespan 20, Max Temp 508.43, Avg Temp 407.68572553897184 
Nr tasks 10, Time 0.026800155639648438, Makespan 20, Max Temp 473.86, Avg Temp 409.8087437810944 
Nr tasks 11, Time 0.029149770736694336, Makespan 20, Max Temp 478.01, Avg Temp 413.77046849087895 
Nr tasks 12, Time 0.02892160415649414, Makespan 20, Max Temp 509.92, Avg Temp 414.8099129353233 
Nr tasks 13, Time 0.028401613235473633, Makespan 20, Max Temp 508.43, Avg Temp 432.0317288557214 
Nr tasks 14, Time 0.0319058895111084, Makespan 20, Max Temp 544.22, Avg Temp 437.3351616915423 
Nr tasks 15, Time 0.028424739837646484, Makespan 20, Max Temp 518.57, Avg Temp 446.233880597015 
Nr tasks 16, Time 0.03050971031188965, Makespan 20, Max Temp 506.16, Avg Temp 455.4418573797678 
Nr tasks 17, Time 0.03005504608154297, Makespan 20, Max Temp 591.6, Avg Temp 484.8179892205638 
Nr tasks 18, Time 0.03531217575073242, Makespan 20, Max Temp 548.35, Avg Temp 484.7764842454396 
Nr tasks 19, Time 0.035665035247802734, Makespan 20, Max Temp 568.46, Avg Temp 496.5426533996683 
Nr tasks 20, Time 0.034319162368774414, Makespan 20, Max Temp 594.65, Avg Temp 511.0760737976782 
Nr tasks 21, Time 0.031647443771362305, Makespan 20, Max Temp 566.28, Avg Temp 521.2684908789387 
Nr tasks 22, Time 0.03507280349731445, Makespan 20, Max Temp 579.21, Avg Temp 527.7219361525705 
Nr tasks 23, Time 0.05985593795776367, Makespan 22, Max Temp 612.94, Avg Temp 531.8793514328808 
Nr tasks 24, Time 0.0382235050201416, Makespan 22, Max Temp 610.33, Avg Temp 531.5826583710408 
Nr tasks 25, Time 0.04114246368408203, Makespan 22, Max Temp 569.14, Avg Temp 531.9314404223227 
Nr tasks 26, Time 0.045850515365600586, Makespan 23, Max Temp 577.0, Avg Temp 529.7628427128427 
Nr tasks 27, Time 0.04425644874572754, Makespan 26, Max Temp 614.93, Avg Temp 522.4439974457214 
Nr tasks 28, Time 0.05197596549987793, Makespan 26, Max Temp 596.68, Avg Temp 525.0493263090677 
Nr tasks 29, Time 0.04913020133972168, Makespan 26, Max Temp 605.16, Avg Temp 526.9508748403576 
Nr tasks 30, Time 0.06284880638122559, Makespan 27, Max Temp 594.15, Avg Temp 528.520897908979 
