Nr tasks 1, Time 0.0760030746459961, Makespan 15, Max Temp 375.45, Avg Temp 344.508830022075 
Nr tasks 2, Time 0.020389080047607422, Makespan 15, Max Temp 403.58, Avg Temp 352.7458057395143 
Nr tasks 3, Time 0.026923418045043945, Makespan 19, Max Temp 418.63, Avg Temp 373.4740706806283 
Nr tasks 4, Time 0.0281984806060791, Makespan 19, Max Temp 470.31, Avg Temp 378.094162303665 
Nr tasks 5, Time 0.028496742248535156, Makespan 19, Max Temp 480.69, Avg Temp 396.08527486911 
Nr tasks 6, Time 0.03368520736694336, Makespan 19, Max Temp 481.02, Avg Temp 397.64752181500876 
Nr tasks 7, Time 0.03000330924987793, Makespan 19, Max Temp 481.34, Avg Temp 399.2564746945898 
Nr tasks 8, Time 0.025599002838134766, Makespan 20, Max Temp 508.56, Avg Temp 423.42110696517403 
Nr tasks 9, Time 0.030502796173095703, Makespan 20, Max Temp 512.77, Avg Temp 443.85695688225536 
Nr tasks 10, Time 0.029524564743041992, Makespan 20, Max Temp 516.53, Avg Temp 453.24798092868974 
Nr tasks 11, Time 0.028029680252075195, Makespan 20, Max Temp 517.71, Avg Temp 454.7567703150914 
Nr tasks 12, Time 0.030764102935791016, Makespan 20, Max Temp 597.28, Avg Temp 466.647085406302 
Nr tasks 13, Time 0.028455257415771484, Makespan 20, Max Temp 608.12, Avg Temp 494.4704560530679 
Nr tasks 14, Time 0.030562639236450195, Makespan 20, Max Temp 629.77, Avg Temp 500.83434079601994 
Nr tasks 15, Time 0.02971363067626953, Makespan 20, Max Temp 600.98, Avg Temp 503.97302653399674 
Nr tasks 16, Time 0.03087902069091797, Makespan 20, Max Temp 636.43, Avg Temp 507.6100829187397 
Nr tasks 17, Time 0.03362011909484863, Makespan 20, Max Temp 645.15, Avg Temp 531.3498714759536 
Nr tasks 18, Time 0.029700756072998047, Makespan 20, Max Temp 646.65, Avg Temp 544.1040257048093 
Nr tasks 19, Time 0.031881093978881836, Makespan 20, Max Temp 649.19, Avg Temp 562.2537520729685 
Nr tasks 20, Time 0.03409695625305176, Makespan 20, Max Temp 659.18, Avg Temp 574.862508291874 
Nr tasks 21, Time 0.035665273666381836, Makespan 20, Max Temp 658.56, Avg Temp 596.0937645107796 
Nr tasks 22, Time 0.028596878051757812, Makespan 20, Max Temp 666.99, Avg Temp 619.4297802653401 
Nr tasks 23, Time 0.03573250770568848, Makespan 20, Max Temp 667.39, Avg Temp 633.1760737976783 
Nr tasks 24, Time 0.04546546936035156, Makespan 21, Max Temp 670.45, Avg Temp 640.2141666666668 
Nr tasks 25, Time 0.04147028923034668, Makespan 21, Max Temp 669.19, Avg Temp 646.547859399684 
Nr tasks 26, Time 0.050838470458984375, Makespan 23, Max Temp 671.29, Avg Temp 643.0421608946609 
Nr tasks 27, Time 0.05119633674621582, Makespan 23, Max Temp 669.38, Avg Temp 645.7119877344877 
Nr tasks 28, Time 0.047777414321899414, Makespan 23, Max Temp 670.49, Avg Temp 650.810212842713 
Nr tasks 29, Time 0.05163288116455078, Makespan 25, Max Temp 672.55, Avg Temp 640.7767762284196 
Nr tasks 30, Time 0.04906916618347168, Makespan 27, Max Temp 671.67, Avg Temp 635.282118696187 
