Nrtasks,Time,Makespan,MaxTemp,GAP
1,1.1046993732452393,15,349.49,0.0%
2,0.03285503387451172,16,343.78,6.25%
3,0.0455479621887207,19,350.95,0.0%
4,0.05374717712402344,19,375.87,0.0%
5,0.09444594383239746,19,384.74,0.0%
6,0.11479520797729492,19,388.9,0.0%
7,0.11810421943664551,19,393.53,0.0%
8,0.9080896377563477,20,399.93,0.0%
9,10.10481309890747,34,398.65,5.882352931487874%
10,9.00026273727417,34,399.07,5.88235292179908%
11,11.481897592544556,34,397.36,5.88235294117647%
12,32.18511390686035,34,399.04,20.00000000000022%
13,62.73342204093933,36,399.03,0.0%
14,133.5265064239502,37,399.63,2.7027026927099973%
15,129.63113808631897,38,399.63,15.789473666935375%
16,1200.4136517047882,43,399.06,46.21370171804398%

