Nr tasks 1, Time 0.0029554367065429688, Makespan 15, Max Temp 346.57, Top 1 percent highs 346.56999999999994 
Nr tasks 2, Time 0.003687620162963867, Makespan 15, Max Temp 349.23, Top 1 percent highs 348.81555555555553 
Nr tasks 3, Time 0.006460428237915039, Makespan 19, Max Temp 352.24, Top 1 percent highs 352.22727272727286 
Nr tasks 4, Time 0.006947994232177734, Makespan 19, Max Temp 357.56, Top 1 percent highs 357.39272727272726 
Nr tasks 5, Time 0.00925302505493164, Makespan 19, Max Temp 387.76, Top 1 percent highs 386.53 
Nr tasks 6, Time 0.011615991592407227, Makespan 19, Max Temp 390.2, Top 1 percent highs 389.93318181818177 
Nr tasks 7, Time 0.015176534652709961, Makespan 19, Max Temp 375.09, Top 1 percent highs 374.8204545454546 
Nr tasks 8, Time 0.027967214584350586, Makespan 20, Max Temp 401.86, Top 1 percent highs 401.80541666666676 
Nr tasks 9, Time 0.07114315032958984, Makespan 27, Max Temp 410.42, Top 1 percent highs 410.243125 
Nr tasks 10, Time 0.16993165016174316, Makespan 27, Max Temp 412.85, Top 1 percent highs 412.76374999999996 
Nr tasks 11, Time 0.29216670989990234, Makespan 27, Max Temp 410.71, Top 1 percent highs 410.6181249999999 
Nr tasks 12, Time 0.3042256832122803, Makespan 27, Max Temp 414.18, Top 1 percent highs 413.25406250000003 
Nr tasks 13, Time 0.44111013412475586, Makespan 31, Max Temp 415.67, Top 1 percent highs 415.4656756756757 
Nr tasks 14, Time 0.46753811836242676, Makespan 31, Max Temp 411.65, Top 1 percent highs 411.08459459459465 
Nr tasks 15, Time 1.311666488647461, Makespan 34, Max Temp 413.22, Top 1 percent highs 412.84075 
Nr tasks 16, Time 2.2700510025024414, Makespan 35, Max Temp 425.83, Top 1 percent highs 425.2985714285716 
Nr tasks 17, Time 1.6475484371185303, Makespan 36, Max Temp 437.0, Top 1 percent highs 436.50651162790706 
Nr tasks 18, Time 2.6616592407226562, Makespan 36, Max Temp 436.67, Top 1 percent highs 436.3304651162791 
Nr tasks 19, Time 26.922450065612793, Makespan 38, Max Temp 436.91, Top 1 percent highs 436.4722222222223 
Nr tasks 20, Time 14.73048210144043, Makespan 38, Max Temp 438.3, Top 1 percent highs 438.11155555555547 
Nr tasks 21, Time 35.27339696884155, Makespan 40, Max Temp 436.24, Top 1 percent highs 435.8279166666666 
Nr tasks 22, Time 357.13872265815735, Makespan 40, Max Temp 438.5, Top 1 percent highs 438.2972916666665 
Nr tasks 23, Time 97.29284954071045, Makespan 45, Max Temp 439.08, Top 1 percent highs 438.9201851851852 
Nr tasks 24, Time 83.63134455680847, Makespan 45, Max Temp 440.34, Top 1 percent highs 440.17351851851856 
Nr tasks 25, Time 353.6505093574524, Makespan 45, Max Temp 438.98, Top 1 percent highs 438.6611111111111 
