Nrtasks,Time,Makespan,MaxTemp,Top1percenthighs,GAP
1,0.003111124038696289,15,346.57,346.56999999999994,0.0%
2,0.003927707672119141,15,349.23,348.81555555555553,0.0%
3,0.006155729293823242,20,350.24,350.2150000000001,5.0%
4,0.006880998611450195,19,357.56,357.39272727272726,0.0%
5,0.008731603622436523,19,387.76,386.53,0.0%
6,0.010962247848510742,19,390.2,389.93318181818177,0.0%
7,0.014028072357177734,19,375.09,374.8204545454546,0.0%
8,0.0204770565032959,23,401.46,401.3722222222222,13.043478260869565%
9,0.05216479301452637,28,407.63,407.46636363636355,3.5714285614405976%
10,0.18149566650390625,27,412.85,412.76374999999996,0.0%
11,0.19016504287719727,27,411.68,411.58750000000003,0.0%
12,0.3008565902709961,27,414.18,413.25406250000003,0.0%
13,0.36766529083251953,31,415.67,415.4656756756757,16.129032258064516%
14,0.406203031539917,31,411.65,411.08459459459465,19.35483870967742%
15,1.2592906951904297,34,413.22,412.84075,8.823529411764707%
16,2.1711511611938477,35,425.83,425.2985714285716,0.0%
17,0.8639657497406006,36,434.79,434.09906976744185,11.11111111111111%
18,2.56310772895813,36,436.67,436.3304651162791,2.777777777777817%
19,11.838876008987427,39,433.94,432.94673913043476,15.384615375936866%
20,6.520627498626709,38,438.3,438.11155555555547,7.894736842105263%
21,12.802751541137695,40,438.11,437.87937500000004,20.0%
22,10.003679037094116,42,438.11,437.86980000000005,21.428571420527025%
23,16.399308443069458,46,439.28,439.04927272727275,23.91304347826087%
24,19.064077854156494,46,439.02,438.75163636363635,23.913043462711848%
25,22.625102281570435,46,437.33,436.816909090909,23.91304347826087%
26,55.79889225959778,47,439.02,438.69,23.404255319148938%
27,245.68335008621216,50,439.43,439.0986666666667,24.0%
28,825.0904359817505,51,440.1,439.9686885245898,24.69136716816289%
29,1200.8396530151367,52,438.69,438.26161290322574,26.923076915628684%

